rank,2023 RANK,Institution_name,location_QS,SIZE,FOCUS,RESEARCH,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,scores_overall_QS,Rank,scores_overall_THE,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location_THE,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,Country
28.0,24.0,Johns Hopkins University,United States,L,FC,VH,5.0,B,87.3,51.0,59.7,134.0,100.0,8.0,89.4,77.0,64.4,300.0,91.4,111.0,98.1,21.0,74.5,60.0,84.6,122.0,84.5,15.0,91.1,150.0,84.4,23.0,92.3,17.0,97.2,27.0,100.0,11.0,84.2,198.0,United States,15772,4.1,28,0.888888889,United States
28.0,23.0,The University of Tokyo,Japan,L,FC,VH,5.0,A,100.0,7.0,99.8,9.0,90.4,84.0,70.0,148.0,10.3,701.0,29.2,427.0,70.0,196.0,99.8,11.0,99.7,5.0,84.3,29.0,83.1,290.0,93.9,11.0,94.2,14.0,67.8,607.0,100.0,27.0,49.7,812.0,Japan,26345,10.3,15,0.888888889,Japan
30.0,31.0,McGill University,Canada,XL,FC,VH,5.0,A,93.7,34.0,87.6,58.0,64.0,219.0,62.1,195.0,88.9,188.0,93.3,98.0,86.2,107.0,92.5,33.0,94.2,64.0,83.7,49.0,76.0,490.0,62.3,68.0,72.3,53.0,88.8,141.0,76.1,315.0,92.5,93.0,Canada,30821,11.9,29,0.888888889,Canada
33.0,25.0,University of Michigan-Ann Arbor,United States,XL,FC,VH,5.0,A,98.3,22.0,89.9,48.0,82.2,127.0,56.2,231.0,67.0,292.0,27.6,445.0,95.4,48.0,94.3,29.0,83.7,126.0,81.7,23.0,87.4,230.0,84.7,22.0,87.4,23.0,95.5,45.0,80.7,255.0,69.0,421.0,United States,45783,8.1,16,0.888888889,United States
34.0,47.0,University of British Columbia,Canada,XL,FC,VH,5.0,A,98.2,24.0,93.5,43.0,44.4,354.0,57.0,227.0,96.4,134.0,74.1,189.0,96.3,37.0,60.1,99.0,99.9,3.0,81.5,41.0,78.0,410.0,62.5,66.0,76.6,39.0,90.5,118.0,76.7,304.0,95.0,49.0,Canada,58987,19.4,34,0.888888889,Canada
37.0,49.0,Technical University of Munich,Germany,XL,FO,VH,5.0,A,83.9,59.0,98.2,19.0,88.8,89.0,59.6,210.0,76.5,243.0,97.3,71.0,86.7,103.0,25.0,330.0,84.8,120.0,80.0,30.0,82.5,310.0,69.8,44.0,85.1,25.0,90.0,128.0,100.0,26.0,83.1,208.0,Germany,35506,44.4,39,0.888888889,Germany
38.0,48.0,Institut Polytechnique de Paris,France,M,CO,VH,1.0,A,44.8,185.0,99.6,10.0,97.3,51.0,93.8,59.0,98.5,106.0,98.3,58.0,76.9,163.0,90.3,35.0,72.5,189.0,79.5,71.0,71.3,710.0,71.0,39.0,61.6,79.0,70.8,542.0,98.8,71.0,97.1,21.0,France,6073,6.8,42,0.888888889,France
41.0,29.0,Seoul National University,South Korea,L,FC,VH,4.0,A,99.0,18.0,98.2,17.0,85.1,105.0,64.9,175.0,11.5,701.0,14.5,631.0,36.9,401.0,100.0,8.0,73.8,181.0,78.5,62.0,73.4,620.0,74.2,35.0,75.3,44.0,74.6,451.0,100.0,23.0,43.7,998.0,South Korea,28620,16.1,13,0.888888889,South Korea
42.0,57.0,Monash University,Australia,XL,FC,VH,4.0,A,88.4,49.0,75.2,84.0,9.6,701.0,88.4,81.0,100.0,50.0,100.0,19.0,86.8,102.0,61.0,95.0,71.8,194.0,78.2,54.0,75.2,540.0,55.3,96.0,67.8,58.0,94.7,50.0,99.7,48.0,91.1,115.0,Australia,58460,43.1,38,0.888888889,Australia
43.0,50.0,The University of Queensland,Australia,XL,FC,VH,5.0,A,87.1,52.0,73.7,89.0,21.6,635.0,87.0,84.0,100.0,41.0,100.0,22.0,95.0,53.0,44.4,163.0,73.1,187.0,78.1,70.0,72.0,700.0,52.9,113.0,64.3,70.0,89.1,136.0,99.8,43.0,94.0,64.0,Australia,42847,39.1,42,0.888888889,Australia
