rank,clean_rank,name,location,ranking_source,stats_number_students_clean,stats_student_staff_ratio_clean,KPI_Global_Ranking_Score,KPI_Research_Impact_Score,KPI_Faculty_To_Student_Ratio,KPI_International_Student_Pct,KPI_Academic_Reputation_Score,KPI_Research_Productivity_Index,scores_overall,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook
801–1000,801.0,San Diego State University,United States,THE World University Rankings 2024,32069.0,28.1,34.8,47.42,0.0356,5.0,21.5,39.58,34.8,21.5,11.9,71.1,58.3,37.0
801–1000,801.0,Savitribai Phule Pune University,India,THE World University Rankings 2024,5871.0,9.6,34.8,37.42,0.1042,4.0,44.0,28.4,34.8,44.0,11.8,54.5,22.8,25.2
801–1000,801.0,Sechenov University,Russia,THE World University Rankings 2024,15885.0,8.1,34.8,35.46,0.1235,26.0,32.6,31.16,34.8,32.6,17.1,47.7,39.4,62.1
801–1000,801.0,University of Seoul,"Korea, South",THE World University Rankings 2024,9929.0,14.4,34.8,35.04,0.0694,4.0,28.8,35.21,34.8,28.8,26.1,41.0,52.1,34.9
801–1000,801.0,University of Seville,Spain,THE World University Rankings 2024,52335.0,16.7,34.8,41.96,0.0599,8.0,23.8,38.63,34.8,23.8,24.5,53.6,50.8,44.6
801–1000,801.0,Shahrekord University of Medical Sciences,Iran,THE World University Rankings 2024,2755.0,9.2,34.8,41.46,0.1087,0.0,33.7,29.58,34.8,33.7,10.5,62.1,17.3,20.6
801–1000,801.0,Shantou University,China,THE World University Rankings 2024,16620.0,13.3,34.8,44.36,0.0752,1.0,21.2,35.32,34.8,21.2,16.4,63.0,33.8,42.9
801–1000,801.0,Sheffield Hallam University,United Kingdom,THE World University Rankings 2024,26580.0,17.7,34.8,45.78,0.0565,12.0,19.4,35.51,34.8,19.4,14.4,66.7,33.1,64.0
801–1000,801.0,Shiraz University,Iran,THE World University Rankings 2024,14857.0,20.8,34.8,42.84,0.0481,2.0,29.3,40.16,34.8,29.3,24.6,55.0,57.4,29.1
801–1000,801.0,Shiraz University of Medical Sciences,Iran,THE World University Rankings 2024,9938.0,10.1,34.8,38.5,0.099,2.0,41.7,29.52,34.8,41.7,12.7,55.7,24.5,24.1
801–1000,801.0,Shri Mata Vaishno Devi University,India,THE World University Rankings 2024,2502.0,20.3,34.8,47.68,0.0493,0.0,24.7,36.32,34.8,24.7,17.2,68.0,26.1,22.8
801–1000,801.0,Siksha ‘O’ Anusandhan,India,THE World University Rankings 2024,13808.0,11.9,34.8,35.3,0.084,2.0,37.9,31.16,34.8,37.9,16.7,47.7,40.8,19.9
801–1000,801.0,Sogang University,"Korea, South",THE World University Rankings 2024,9688.0,23.9,34.8,36.12,0.0418,19.0,27.2,40.22,34.8,27.2,30.6,39.8,73.3,45.0
801–1000,801.0,Institute of Space Technology,Pakistan,THE World University Rankings 2024,1869.0,13.4,34.8,47.62,0.0746,0.0,18.6,33.8,34.8,18.6,13.3,70.5,16.5,47.1
801–1000,801.0,University of Tabuk,Saudi Arabia,THE World University Rankings 2024,31635.0,19.5,34.8,45.56,0.0513,2.0,16.9,33.26,34.8,16.9,10.4,69.0,26.1,75.6
801–1000,801.0,Technical University of Madrid,Spain,THE World University Rankings 2024,39221.0,15.8,34.8,36.2,0.0633,14.0,26.6,33.94,34.8,26.6,15.8,49.8,57.4,53.8
801–1000,801.0,"University of Technology, Iraq",Iraq,THE World University Rankings 2024,10321.0,6.9,34.8,43.1,0.1449,0.0,25.8,30.6,34.8,25.8,9.2,65.7,20.0,25.0
801–1000,801.0,University of Texas at El Paso,United States,THE World University Rankings 2024,18012.0,22.9,34.8,38.36,0.0437,6.0,24.5,37.82,34.8,24.5,28.7,44.8,51.9,46.8
801–1000,801.0,Tokyo University of Agriculture and Technology,Japan,THE World University Rankings 2024,5834.0,15.6,34.8,29.4,0.0641,7.0,35.0,37.58,34.8,35.0,29.1,29.6,84.5,38.1
801–1000,801.0,Tokyo Medical University,Japan,THE World University Rankings 2024,1367.0,3.4,34.8,39.2,0.2941,1.0,35.1,37.96,34.8,35.1,17.0,54.0,70.4,21.4
801–1000,801.0,Tomsk Polytechnic University,Russia,THE World University Rankings 2024,9741.0,10.6,34.8,28.42,0.0943,29.0,40.5,31.08,34.8,40.5,23.5,31.7,54.9,69.4
801–1000,801.0,University of Tours,France,THE World University Rankings 2024,29490.0,21.8,34.8,31.68,0.0459,11.0,32.7,30.65,34.8,32.7,15.9,42.2,52.9,61.2
801–1000,801.0,University of Trás-os-Montes and Alto Douro,Portugal,THE World University Rankings 2024,6375.0,9.2,34.8,39.24,0.1087,6.0,22.5,34.74,34.8,22.5,31.2,44.6,23.5,40.5
801–1000,801.0,University of Tunis El Manar,Tunisia,THE World University Rankings 2024,21302.0,9.6,34.8,26.62,0.1042,6.0,42.3,28.26,34.8,42.3,19.9,31.1,49.5,50.5
801–1000,801.0,Urmia University,Iran,THE World University Rankings 2024,13300.0,26.4,34.8,41.94,0.0379,12.0,29.6,33.53,34.8,29.6,19.5,56.9,25.8,38.0
801–1000,801.0,"University of Veterinary and Animal Sciences, Lahore",Pakistan,THE World University Rankings 2024,6980.0,19.2,34.8,39.02,0.0521,1.0,22.2,34.3,34.8,22.2,17.0,53.7,46.7,55.5
801–1000,801.0,University of Vic – Central University of Catalonia,Spain,THE World University Rankings 2024,6925.0,13.1,34.8,47.72,0.0763,19.0,19.1,34.36,34.8,19.1,13.1,70.8,20.2,59.1
801–1000,801.0,University of Vigo,Spain,THE World University Rankings 2024,17367.0,15.1,34.8,41.84,0.0662,5.0,25.1,36.6,34.8,25.1,17.9,57.8,49.5,47.4
801–1000,801.0,Vilnius University,Lithuania,THE World University Rankings 2024,20901.0,9.1,34.8,37.84,0.1099,9.0,26.6,33.4,34.8,26.6,17.5,51.4,44.4,46.7
801–1000,801.0,Waseda University,Japan,THE World University Rankings 2024,46013.0,14.3,34.8,36.34,0.0699,13.0,33.7,36.69,34.8,33.7,26.2,43.1,56.7,54.8
801–1000,801.0,Wenzhou University,China,THE World University Rankings 2024,22633.0,18.6,34.8,52.86,0.0538,2.0,16.2,39.0,34.8,16.2,15.0,78.1,27.8,34.8
801–1000,801.0,Wenzhou Medical University,China,THE World University Rankings 2024,27976.0,14.6,34.8,46.66,0.0685,3.0,18.4,36.59,34.8,18.4,13.6,68.7,38.3,42.8
801–1000,801.0,University of Westminster,United Kingdom,THE World University Rankings 2024,17315.0,19.8,34.8,40.42,0.0505,48.0,19.4,34.4,34.8,19.4,18.1,55.3,40.0,87.1
801–1000,801.0,Yıldız Technical University,Turkey,THE World University Rankings 2024,19651.0,24.8,34.8,35.92,0.0403,13.0,32.1,38.03,34.8,32.1,28.0,41.2,64.1,40.9
801–1000,801.0,Yokohama City University,Japan,THE World University Rankings 2024,5144.0,6.0,34.8,40.16,0.1667,3.0,28.4,35.8,34.8,28.4,11.3,59.4,62.4,29.0
801–1000,801.0,Zagazig University,Egypt,THE World University Rankings 2024,166653.0,25.2,34.8,46.52,0.0397,2.0,14.2,37.06,34.8,14.2,9.2,71.4,49.8,49.0
801–1000,801.0,University of Zaragoza,Spain,THE World University Rankings 2024,28491.0,10.2,34.8,35.24,0.098,7.0,28.3,33.84,34.8,28.3,18.5,46.4,55.7,42.8
801–1000,801.0,ZHAW Zurich University of Applied Sciences,Switzerland,THE World University Rankings 2024,11120.0,12.3,34.8,33.92,0.0813,11.0,22.2,32.88,34.8,22.2,15.8,46.0,59.2,72.4
801–1000,801.0,Zhejiang Gongshang University,China,THE World University Rankings 2024,17459.0,11.5,34.8,41.7,0.087,7.0,21.8,32.3,34.8,21.8,12.6,61.1,30.8,44.1
1001–1200,1001.0,University of A Coruña,Spain,THE World University Rankings 2024,15359.0,12.4,30.45,34.36,0.0806,5.0,24.2,30.12,30.450000000000003,24.2,17.5,45.6,36.1,36.5
1001–1200,1001.0,"Adam Mickiewicz University, Poznań",Poland,THE World University Rankings 2024,33268.0,25.0,30.45,37.46,0.04,6.0,19.7,33.86,30.450000000000003,19.7,28.4,43.5,29.6,37.8
1001–1200,1001.0,AGH University of Krakow,Poland,THE World University Rankings 2024,19189.0,12.2,30.45,31.52,0.082,3.0,25.8,34.24,30.450000000000003,25.8,20.9,38.6,68.5,29.9
1001–1200,1001.0,Aichi Medical University,Japan,THE World University Rankings 2024,1315.0,2.9,30.45,31.26,0.3448,1.0,30.5,27.76,30.450000000000003,30.5,13.5,43.1,39.5,21.5
1001–1200,1001.0,Ain Shams University,Egypt,THE World University Rankings 2024,152995.0,13.3,30.45,33.6,0.0752,6.0,27.9,30.88,30.450000000000003,27.9,15.3,45.8,48.0,51.8
1001–1200,1001.0,Akdeniz University,Turkey,THE World University Rankings 2024,46464.0,47.3,30.45,36.48,0.0211,4.0,22.7,36.76,30.450000000000003,22.7,27.3,42.6,54.7,25.2
1001–1200,1001.0,Al-Balqa Applied University,Jordan,THE World University Rankings 2024,27973.0,27.3,30.45,40.96,0.0366,2.0,12.0,30.9,30.450000000000003,12.0,13.6,59.2,22.5,39.3
1001–1200,1001.0,University of Alicante,Spain,THE World University Rankings 2024,22767.0,14.5,30.45,34.2,0.069,10.0,25.0,32.97,30.450000000000003,25.0,19.8,43.8,51.6,44.6
1001–1200,1001.0,University of Almería,Spain,THE World University Rankings 2024,12902.0,17.0,30.45,36.9,0.0588,10.0,21.7,31.62,30.450000000000003,21.7,18.9,48.9,33.7,42.2
1001–1200,1001.0,An-Najah National University,Palestine,THE World University Rankings 2024,24835.0,21.7,30.45,43.16,0.0461,11.0,13.3,30.94,30.450000000000003,13.3,9.8,65.4,21.0,61.2
1001–1200,1001.0,University of Applied Sciences and Arts of Western Switzerland,Switzerland,THE World University Rankings 2024,17933.0,6.5,30.45,28.22,0.1538,29.0,24.0,25.02,30.450000000000003,24.0,13.1,38.3,33.8,87.4
1001–1200,1001.0,Ateneo de Manila University,Philippines,THE World University Rankings 2024,14168.0,11.1,30.45,35.76,0.0901,1.0,30.8,27.88,30.450000000000003,30.8,10.8,52.4,27.6,33.5
1001–1200,1001.0,Universidad Autónoma de Chile,Chile,THE World University Rankings 2024,30336.0,25.5,30.45,37.58,0.0392,1.0,12.5,27.59,30.450000000000003,12.5,12.2,54.5,16.1,55.4
1001–1200,1001.0,Azarbaijan Shahid Madani University,Iran,THE World University Rankings 2024,7477.0,27.1,30.45,46.86,0.0369,2.0,14.9,34.26,30.450000000000003,14.9,15.3,67.9,19.0,27.9
1001–1200,1001.0,Babeş-Bolyai University,Romania,THE World University Rankings 2024,43018.0,21.1,30.45,34.32,0.0474,4.0,23.3,29.78,30.450000000000003,23.3,16.8,46.0,35.2,39.0
1001–1200,1001.0,Bahauddin Zakariya University,Pakistan,THE World University Rankings 2024,26994.0,27.2,30.45,40.14,0.0368,0.0,19.6,29.65,30.450000000000003,19.6,12.6,58.5,19.2,48.1
1001–1200,1001.0,Bangladesh Agricultural University (BAU),Bangladesh,THE World University Rankings 2024,6810.0,11.4,30.45,31.08,0.0877,1.0,29.5,24.16,30.450000000000003,29.5,9.9,45.2,22.6,49.5
1001–1200,1001.0,Bangladesh University of Engineering and Technology,Bangladesh,THE World University Rankings 2024,6237.0,13.2,30.45,36.74,0.0758,0.0,21.7,30.93,30.450000000000003,21.7,15.8,50.7,35.2,29.8
1001–1200,1001.0,Bartin University,Turkey,THE World University Rankings 2024,11828.0,31.8,30.45,46.96,0.0314,11.0,11.1,33.3,30.450000000000003,11.1,13.0,69.6,16.3,37.4
1001–1200,1001.0,University of Bedfordshire,United Kingdom,THE World University Rankings 2024,13545.0,29.1,30.45,37.16,0.0344,64.0,17.5,29.33,30.450000000000003,17.5,14.3,52.4,25.6,83.9
1001–1200,1001.0,Benha University,Egypt,THE World University Rankings 2024,110873.0,30.9,30.45,43.58,0.0324,2.0,15.7,30.71,30.450000000000003,15.7,9.2,66.5,18.9,49.1
1001–1200,1001.0,Beni-Suef University,Egypt,THE World University Rankings 2024,85158.0,31.6,30.45,40.58,0.0316,0.0,16.8,29.21,30.450000000000003,16.8,9.8,61.1,19.5,51.4
1001–1200,1001.0,Bowling Green State University,United States,THE World University Rankings 2024,15159.0,17.6,30.45,37.18,0.0568,3.0,22.4,31.47,30.450000000000003,22.4,13.9,52.7,40.5,28.9
1001–1200,1001.0,Brno University of Technology,Czech Republic,THE World University Rankings 2024,18137.0,15.5,30.45,31.12,0.0645,25.0,22.2,33.84,30.450000000000003,22.2,19.3,39.0,70.3,58.3
1001–1200,1001.0,University of Bucharest,Romania,THE World University Rankings 2024,32362.0,33.3,30.45,34.36,0.03,2.0,24.8,29.47,30.450000000000003,24.8,21.1,43.2,25.3,29.1
1001–1200,1001.0,University of Cadiz,Spain,THE World University Rankings 2024,19416.0,17.7,30.45,32.9,0.0565,8.0,20.4,28.14,30.450000000000003,20.4,16.7,43.7,30.0,42.3
1001–1200,1001.0,University of Calcutta,India,THE World University Rankings 2024,17879.0,14.2,30.45,26.3,0.0704,0.0,40.0,23.94,30.450000000000003,40.0,15.2,33.7,30.3,19.3
1001–1200,1001.0,Canterbury Christ Church University,United Kingdom,THE World University Rankings 2024,11155.0,20.1,30.45,32.28,0.0498,15.0,20.7,25.21,30.450000000000003,20.7,13.8,44.6,18.0,59.6
1001–1200,1001.0,University of Central Lancashire,United Kingdom,THE World University Rankings 2024,21525.0,16.3,30.45,36.66,0.0613,28.0,18.3,30.21,30.450000000000003,18.3,13.8,51.9,34.3,82.3
1001–1200,1001.0,Central Michigan University,United States,THE World University Rankings 2024,13780.0,18.3,30.45,34.2,0.0546,3.0,28.8,30.76,30.450000000000003,28.8,15.3,46.8,44.9,33.4
1001–1200,1001.0,"University of Chemistry and Technology, Prague",Czech Republic,THE World University Rankings 2024,4061.0,8.3,30.45,23.28,0.1205,23.0,32.8,24.36,30.450000000000003,32.8,14.7,29.0,45.7,51.0
1001–1200,1001.0,China Pharmaceutical University,China,THE World University Rankings 2024,18448.0,16.4,30.45,39.0,0.061,3.0,23.4,38.64,30.450000000000003,23.4,18.3,52.8,73.4,22.2
1001–1200,1001.0,Chung Yuan Christian University,Taiwan,THE World University Rankings 2024,15939.0,33.5,30.45,33.16,0.0299,7.0,18.1,35.24,30.450000000000003,18.1,24.4,39.0,62.6,41.2
1001–1200,1001.0,University of Colombo,Sri Lanka,THE World University Rankings 2024,34058.0,32.0,30.45,40.36,0.0312,0.0,25.4,29.18,30.450000000000003,25.4,10.6,60.2,18.7,39.3
1001–1200,1001.0,Comenius University in Bratislava,Slovakia,THE World University Rankings 2024,21812.0,10.5,30.45,31.72,0.0952,15.0,31.2,26.68,30.450000000000003,31.2,16.6,41.8,25.0,52.6
1001–1200,1001.0,Czech Technical University in Prague,Czech Republic,THE World University Rankings 2024,15663.0,8.7,30.45,26.84,0.1149,21.0,30.9,28.46,30.450000000000003,30.9,18.8,32.2,51.9,60.2
1001–1200,1001.0,Democritus University of Thrace,Greece,THE World University Rankings 2024,22266.0,36.4,30.45,39.18,0.0275,3.0,16.1,32.07,30.450000000000003,16.1,16.5,54.3,32.1,30.4
1001–1200,1001.0,University of Desarrollo,Chile,THE World University Rankings 2024,16638.0,14.4,30.45,36.12,0.0694,4.0,17.8,27.13,30.450000000000003,17.8,10.8,53.0,21.2,52.2
1001–1200,1001.0,Diego Portales University,Chile,THE World University Rankings 2024,18126.0,17.6,30.45,37.0,0.0568,2.0,15.3,27.43,30.450000000000003,15.3,11.8,53.8,18.0,53.0
1001–1200,1001.0,Université Djillali Liabès de Sidi Bel-Abbès,Algeria,THE World University Rankings 2024,27917.0,19.7,30.45,31.32,0.0508,1.0,30.6,23.28,30.450000000000003,30.6,9.3,46.0,16.9,37.4
1001–1200,1001.0,Don State Technical University,Russia,THE World University Rankings 2024,26030.0,12.4,30.45,36.54,0.0806,12.0,20.6,26.4,30.450000000000003,20.6,9.0,54.9,17.9,31.7
1001–1200,1001.0,Dr B.R. Ambedkar National Institute of Technology Jalandhar,India,THE World University Rankings 2024,5462.0,24.1,30.45,38.04,0.0415,1.0,25.4,29.04,30.450000000000003,25.4,13.2,54.6,22.2,17.8
1001–1200,1001.0,Durban University of Technology,South Africa,THE World University Rankings 2024,27163.0,35.3,30.45,41.92,0.0283,1.0,17.3,30.36,30.450000000000003,17.3,11.8,62.0,18.4,46.5
1001–1200,1001.0,University of East London,United Kingdom,THE World University Rankings 2024,14480.0,26.1,30.45,30.64,0.0383,52.0,21.8,26.13,30.450000000000003,21.8,15.1,41.0,28.2,84.9
1001–1200,1001.0,Edge Hill University,United Kingdom,THE World University Rankings 2024,11910.0,16.4,30.45,38.88,0.061,6.0,18.1,29.66,30.450000000000003,18.1,13.8,55.6,22.0,54.7
1001–1200,1001.0,"University of Engineering and Technology, Peshawar",Pakistan,THE World University Rankings 2024,9307.0,21.7,30.45,41.14,0.0461,2.0,13.7,30.82,30.450000000000003,13.7,11.5,60.9,25.0,49.8
1001–1200,1001.0,University of Engineering & Technology (UET) Lahore,Pakistan,THE World University Rankings 2024,12720.0,13.4,30.45,36.06,0.0746,2.0,18.8,27.29,30.450000000000003,18.8,9.9,53.5,24.1,50.6
1001–1200,1001.0,European University of Madrid,Spain,THE World University Rankings 2024,11416.0,12.0,30.45,36.94,0.0833,30.0,21.5,27.11,30.450000000000003,21.5,10.9,54.3,17.7,61.7
1001–1200,1001.0,University of Extremadura,Spain,THE World University Rankings 2024,20146.0,10.7,30.45,36.1,0.0935,3.0,24.7,27.72,30.450000000000003,24.7,12.4,51.9,22.4,35.7
1001–1200,1001.0,Fayoum University,Egypt,THE World University Rankings 2024,46689.0,18.0,30.45,44.06,0.0556,0.0,15.9,32.61,30.450000000000003,15.9,11.9,65.5,24.9,46.4
1001–1200,1001.0,Federal University of São Carlos,Brazil,THE World University Rankings 2024,21119.0,16.1,30.45,28.02,0.0621,1.0,33.4,28.34,30.450000000000003,33.4,19.8,33.5,44.8,29.5
1001–1200,1001.0,Federal University of Technology Akure,Nigeria,THE World University Rankings 2024,19711.0,24.5,30.45,34.8,0.0408,0.0,24.8,25.99,30.450000000000003,24.8,11.1,50.6,18.2,40.4
1001–1200,1001.0,Financial University under the Government of the Russian Federation,Russia,THE World University Rankings 2024,16580.0,13.0,30.45,37.38,0.0769,9.0,26.7,31.24,30.450000000000003,26.7,18.0,50.3,30.9,34.5
1001–1200,1001.0,Firat University,Turkey,THE World University Rankings 2024,35348.0,25.4,30.45,42.82,0.0394,6.0,19.2,30.68,30.450000000000003,19.2,10.3,64.5,19.7,31.5
1001–1200,1001.0,Florida Agricultural and Mechanical University,United States,THE World University Rankings 2024,8850.0,15.7,30.45,30.56,0.0637,1.0,33.4,27.87,30.450000000000003,33.4,16.7,39.8,37.3,50.3
1001–1200,1001.0,University of Franche-Comté,France,THE World University Rankings 2024,24908.0,33.5,30.45,30.64,0.0299,11.0,21.3,28.8,30.450000000000003,21.3,15.7,40.6,44.9,70.6
1001–1200,1001.0,Fu Jen Catholic University,Taiwan,THE World University Rankings 2024,16382.0,27.2,30.45,27.46,0.0368,6.0,24.0,33.63,30.450000000000003,24.0,29.2,26.3,65.5,31.1
1001–1200,1001.0,Fujian Agriculture and Forestry University,China,THE World University Rankings 2024,30262.0,17.1,30.45,43.4,0.0585,1.0,18.3,34.67,30.450000000000003,18.3,15.5,62.0,34.8,32.7
1001–1200,1001.0,Fujita Health University,Japan,THE World University Rankings 2024,3071.0,3.6,30.45,38.44,0.2778,1.0,27.6,33.88,30.450000000000003,27.6,13.0,55.4,53.3,22.3
1001–1200,1001.0,Gauhati University,India,THE World University Rankings 2024,6817.0,17.3,30.45,24.62,0.0578,0.0,36.2,26.6,30.450000000000003,36.2,26.6,23.3,34.3,22.2
1001–1200,1001.0,Gdańsk University of Technology,Poland,THE World University Rankings 2024,13903.0,17.9,30.45,35.78,0.0559,5.0,19.7,33.01,30.450000000000003,19.7,17.0,48.3,50.7,35.0
1001–1200,1001.0,University of Ghana,Ghana,THE World University Rankings 2024,59744.0,35.9,30.45,33.78,0.0279,1.0,14.9,30.98,30.450000000000003,14.9,21.3,42.1,37.3,52.3
1001–1200,1001.0,Gifu University,Japan,THE World University Rankings 2024,7134.0,14.6,30.45,26.98,0.0685,4.0,30.6,31.81,30.450000000000003,30.6,23.2,29.5,65.9,29.5
1001–1200,1001.0,GLA University,India,THE World University Rankings 2024,10719.0,16.8,30.45,42.58,0.0595,0.0,16.8,30.06,30.450000000000003,16.8,10.6,63.9,16.0,20.9
1001–1200,1001.0,University of Gujrat,Pakistan,THE World University Rankings 2024,14741.0,24.7,30.45,46.22,0.0405,0.0,13.4,32.38,30.450000000000003,13.4,11.3,69.5,16.0,45.8
1001–1200,1001.0,Guru Ghasidas Vishwavidyalaya,India,THE World University Rankings 2024,8928.0,21.7,30.45,42.14,0.0461,0.0,16.6,30.44,30.450000000000003,16.6,9.8,63.7,21.6,22.3
1001–1200,1001.0,Hakim Sabzevari University,Iran,THE World University Rankings 2024,9464.0,22.8,30.45,41.56,0.0439,3.0,15.3,29.78,30.450000000000003,15.3,11.5,61.6,16.5,38.0
1001–1200,1001.0,Hamamatsu University School of Medicine,Japan,THE World University Rankings 2024,1216.0,4.1,30.45,29.46,0.2439,3.0,33.6,30.81,30.450000000000003,33.6,18.3,36.9,58.3,24.0
1001–1200,1001.0,Huaqiao University,China,THE World University Rankings 2024,33228.0,17.8,30.45,34.58,0.0562,19.0,15.5,28.24,30.450000000000003,15.5,14.3,48.1,28.4,70.9
1001–1200,1001.0,Icesi University,Colombia,THE World University Rankings 2024,6013.0,7.2,30.45,37.68,0.1389,2.0,23.5,27.19,30.450000000000003,23.5,10.5,55.8,16.1,41.1
1001–1200,1001.0,Ilmenau University of Technology,Germany,THE World University Rankings 2024,5224.0,18.4,30.45,28.24,0.0543,31.0,31.0,31.92,30.450000000000003,31.0,21.4,32.8,64.9,57.1
1001–1200,1001.0,IMT Nord Europe,France,THE World University Rankings 2024,1592.0,15.0,30.45,21.9,0.0667,19.0,32.2,29.21,30.450000000000003,32.2,25.2,19.7,64.8,73.4
1001–1200,1001.0,Indian Institute of Science Education and Research Kolkata,India,THE World University Rankings 2024,1589.0,12.6,30.45,27.8,0.0794,0.0,40.8,25.71,30.450000000000003,40.8,19.4,33.4,28.8,24.0
1001–1200,1001.0,Indian Institute of Technology Ropar,India,THE World University Rankings 2024,2486.0,14.9,30.45,34.18,0.0671,1.0,36.5,28.92,30.450000000000003,36.5,18.4,44.7,27.2,23.7
1001–1200,1001.0,Indian Institute of Technology Mandi,India,THE World University Rankings 2024,2058.0,12.9,30.45,34.88,0.0775,1.0,36.5,26.66,30.450000000000003,36.5,13.4,49.2,18.3,26.8
1001–1200,1001.0,University of Ioannina,Greece,THE World University Rankings 2024,32155.0,32.6,30.45,38.5,0.0307,5.0,14.0,32.88,30.450000000000003,14.0,12.4,55.9,47.4,43.2
1001–1200,1001.0,University of Isfahan,Iran,THE World University Rankings 2024,17182.0,24.0,30.45,31.26,0.0417,8.0,30.4,26.64,30.450000000000003,30.4,16.8,40.9,26.2,35.5
1001–1200,1001.0,The Islamia University of Bahawalpur,Pakistan,THE World University Rankings 2024,64226.0,47.8,30.45,44.58,0.0209,0.0,16.4,31.78,30.450000000000003,16.4,11.4,66.7,18.2,48.2
1001–1200,1001.0,Istanbul University,Turkey,THE World University Rankings 2024,61369.0,25.4,30.45,29.44,0.0394,9.0,23.5,30.67,30.450000000000003,23.5,22.0,34.4,50.9,38.2
1001–1200,1001.0,Istanbul University-Cerrahpaşa,Turkey,THE World University Rankings 2024,22236.0,27.8,30.45,34.66,0.036,6.0,26.0,35.62,30.450000000000003,26.0,24.1,41.7,59.8,26.9
1001–1200,1001.0,Iuliu Haţieganu University of Medicine and Pharmacy Cluj-Napoca,Romania,THE World University Rankings 2024,8258.0,8.9,30.45,36.94,0.1124,36.0,25.8,28.24,30.450000000000003,25.8,10.9,54.3,25.2,50.2
1001–1200,1001.0,Jadavpur University,India,THE World University Rankings 2024,14338.0,21.3,30.45,33.92,0.0469,0.0,35.3,29.31,30.450000000000003,35.3,15.8,46.0,35.4,19.2
1001–1200,1001.0,University of Jeddah,Saudi Arabia,THE World University Rankings 2024,28561.0,14.6,30.45,34.58,0.0685,2.0,17.4,25.02,30.450000000000003,17.4,9.2,51.5,16.0,73.2
1001–1200,1001.0,Jimma University,Ethiopia,THE World University Rankings 2024,30186.0,14.9,30.45,39.68,0.0671,1.0,16.4,27.95,30.450000000000003,16.4,8.9,60.2,16.2,39.2
1001–1200,1001.0,Kanazawa University,Japan,THE World University Rankings 2024,10271.0,9.9,30.45,28.76,0.101,6.0,35.5,32.35,30.450000000000003,35.5,18.8,35.4,70.4,33.6
1001–1200,1001.0,Kansai Medical University,Japan,THE World University Rankings 2024,1217.0,1.6,30.45,35.2,0.625,3.0,30.0,30.54,30.450000000000003,30.0,10.6,51.6,47.9,21.0
1001–1200,1001.0,Karlstad University,Sweden,THE World University Rankings 2024,10279.0,12.8,30.45,38.04,0.0781,2.0,19.9,30.44,30.450000000000003,19.9,14.4,53.8,29.4,57.4
1001–1200,1001.0,Karnatak University Dharwad,India,THE World University Rankings 2024,4968.0,12.1,30.45,35.38,0.0826,0.0,35.1,26.47,30.450000000000003,35.1,9.7,52.5,21.6,27.8
1001–1200,1001.0,Kerman University of Medical Sciences,Iran,THE World University Rankings 2024,5350.0,3.9,30.45,35.44,0.2564,3.0,32.7,26.9,30.450000000000003,32.7,11.8,51.2,20.5,25.6
1001–1200,1001.0,Kharkiv National University of Radio Electronics,Ukraine,THE World University Rankings 2024,7744.0,10.8,30.45,20.56,0.0926,11.0,22.2,16.98,30.450000000000003,22.2,9.4,28.0,16.5,32.9
1001–1200,1001.0,Kindai University,Japan,THE World University Rankings 2024,34545.0,17.7,30.45,35.86,0.0565,2.0,18.4,31.6,30.450000000000003,18.4,11.8,51.9,50.2,30.9
1001–1200,1001.0,Kohat University of Science and Technology,Pakistan,THE World University Rankings 2024,7055.0,43.0,30.45,35.08,0.0233,0.0,21.9,27.37,30.450000000000003,21.9,14.2,49.0,20.8,59.5
1001–1200,1001.0,University of Kragujevac,Serbia,THE World University Rankings 2024,16543.0,13.7,30.45,40.28,0.073,1.0,23.8,29.53,30.450000000000003,23.8,10.7,60.0,21.2,31.8
1001–1200,1001.0,Kurume University,Japan,THE World University Rankings 2024,5007.0,9.0,30.45,34.48,0.1111,1.0,27.5,30.44,30.450000000000003,27.5,13.6,48.4,44.7,26.3
1001–1200,1001.0,Kuwait University,Kuwait,THE World University Rankings 2024,34147.0,14.7,30.45,37.26,0.068,13.0,19.5,28.71,30.450000000000003,19.5,9.9,55.5,28.9,66.4
1001–1200,1001.0,Kwame Nkrumah University of Science and Technology,Ghana,THE World University Rankings 2024,71529.0,60.8,30.45,38.76,0.0164,1.0,16.2,35.93,30.450000000000003,16.2,20.7,50.8,52.0,47.2
1001–1200,1001.0,University of Lagos,Nigeria,THE World University Rankings 2024,41048.0,27.5,30.45,45.06,0.0364,0.0,14.6,33.26,30.450000000000003,14.6,14.4,65.5,20.9,41.5
1001–1200,1001.0,University of La Laguna,Spain,THE World University Rankings 2024,19228.0,13.3,30.45,39.14,0.0752,5.0,21.9,31.35,30.450000000000003,21.9,15.8,54.7,28.7,50.7
1001–1200,1001.0,University of Las Palmas de Gran Canaria,Spain,THE World University Rankings 2024,15681.0,17.0,30.45,33.8,0.0588,6.0,19.8,27.79,30.450000000000003,19.8,16.1,45.6,25.2,42.1
1001–1200,1001.0,University of Latvia,Latvia,THE World University Rankings 2024,12125.0,30.2,30.45,35.02,0.0331,7.0,18.6,34.03,30.450000000000003,18.6,27.1,40.3,42.5,47.6
