Institution_Name,Country,Country_Code,Region,Size,Focus,Research,Age,Status,Rank_2026,Previous_Rank_2025,Rank_2024,Rank_2023,Overall_Score_2026,Overall_Score_2024,Academic_Reputation_Score_2026,Academic_Reputation_Rank_2026,Employer_Reputation_Score_2026,Employer_Reputation_Rank_2026,Faculty_Student_Score_2026,Faculty_Student_Rank_2026,Citations_per_Faculty_Score_2026,Citations_per_Faculty_Rank_2026,International_Faculty_Score_2026,International_Faculty_Rank_2026,International_Students_Score_2026,International_Students_Rank_2026,International_Students_Diversity_Score_2026,International_Students_Diversity_Rank_2026,International_Research_Network_Score_2026,International_Research_Network_Rank_2026,Employment_Outcomes_Score_2026,Employment_Outcomes_Rank_2026,Sustainability_Score_2026,Sustainability_Rank_2026,Academic_Reputation_Score_2024,Academic_Reputation_Rank_2024,Employer_Reputation_Score_2024,Employer_Reputation_Rank_2024,Faculty_Student_Score_2024,Faculty_Student_Rank_2024,Citations_per_Faculty_Score_2024,Citations_per_Faculty_Rank_2024,International_Faculty_Score_2024,International_Faculty_Rank_2024,International_Students_Score_2024,International_Students_Rank_2024,International_Research_Network_Score_2024,International_Research_Network_Rank_2024,Employment_Outcomes_Score_2024,Employment_Outcomes_Rank_2024,Sustainability_Score_2024,Sustainability_Rank_2024
Al-Ahliyya Amman University,Jordan,JO,Asia,M,FO,VH,3,Private not for Profit,761-770,801-850,801-850,,-,-,17.1,701+,21.0,625,15.8,801+,6.4,801+,93.7,196,100.0,29,98.0,79,32.7,801+,6.0,801+,38.2,801+,6.8,601+,5.9,601+,9.3,701+,2.3,701+,72.9,262,100.0,25,1.0,701+,10.4,701+,1.6,701+
Al Ain University,United Arab Emirates,AE,Asia,S,FO,VH,2,Private not for Profit,558,552,611-620,601-650,29.5,-,25.6,494,20.8,631,20.8,801+,17.0,764,100.0,1,100.0,20,74.4,238,37.1,801+,7.3,801+,42.9,801+,17.4,509,11.0,601+,11.9,701+,4.2,701+,100.0,1,100.0,21,1.4,701+,11.4,701+,1,701+
Al Azhar University,Egypt,EG,Africa,XL,CO,VH,4,Public,1001-1200,1001-1200,1201-1400,1201-1400,-,-,21.5,574,13.9,701+,14.9,801+,2.0,801+,1.7,801+,16.8,782,12.7,801+,64.4,630,33.2,510,35.3,801+,11.2,601+,6.8,601+,11.1,701+,1.3,701+,1.5,701+,10.4,701+,5.2,701+,13.6,628,1.2,701+
Al-Balqa Applied University,Jordan,JO,Asia,L,FC,HI,3,Public,1201-1400,1201-1400,1401+,1201-1400,-,-,10.2,701+,15.4,701+,6.0,801+,5.8,801+,15.2,801+,5.2,801+,9.2,801+,46.0,801+,5.5,801+,41.8,801+,5.0,601+,6.7,601+,4.3,701+,2.4,701+,3.8,701+,1.8,701+,2.0,701+,7.6,701+,1,701+
Al-Farabi Kazakh National University,Kazakhstan,KZ,Asia,L,FC,HI,4,Public,166,163,=230,150,59.8,41.6,60.7,172,86.3,85,99.6,36,2.1,801+,80.9,288,83.2,204,79.3,213,75.7,426,66.2,234,62.8,443,51.4,155,74.9,85,98.9,38,1.4,701+,28.8,497,34.0,386,12.0,634,11.5,701+,5.1,701+
Al Jouf University,Saudi Arabia,,Asia,M,FC,VH,,Public,901-950,801-850,,,-,,12.6,701+,9.8,701+,44.8,440,7.0,801+,99.2,126,3.2,801+,7.3,801+,56.9,740,2.9,801+,23.7,801+,,,,,,,,,,,,,,,,,,
Al Nahrain University,Iraq,,Asia,M,FO,VH,,Public,951-1000,,,,-,,8.2,701+,24.1,559,98.9,45,3.7,801+,2.5,801+,1.0,801+,5.5,801+,15.6,801+,10.1,801+,29.4,801+,,,,,,,,,,,,,,,,,,
Al-Quds University,Palestine,,Asia,M,FC,MD,,Public,951-1000,851-900,,,-,,10.1,701+,20.5,644,19.4,801+,2.8,801+,72.3,327,90.5,163,76.3,229,15.0,801+,12.3,801+,40.1,801+,,,,,,,,,,,,,,,,,,
Al Quds University The Arab University in Jerusalem,"Palestinian Territory, Occupied",PS,,M,FC,MD,3,A,,,1001-1200,1001-1200,,-,,,,,,,,,,,,,,,,,,,,,4.2,601+,10.7,601+,11.3,701+,1.6,701+,55.1,335,34.5,384,1.1,701+,12.3,701+,1,701+
Al Zaytoonah University,Jordan,,Asia,M,CO,HI,,Private not for Profit,1201-1400,,,,-,,5.9,701+,7.7,701+,4.9,801+,8.1,801+,26.9,628,52.4,394,48.3,432,16.8,801+,5.3,801+,14.1,801+,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universitaet Freiburg,Germany,DE,,L,FC,VH,5,A,,,=192,189,,46.7,,,,,,,,,,,,,,,,,,,,,46.1,179,19.8,460,29.1,531,63.3,187,68.8,281,36.3,371,82.7,131,25.3,328,68.2,213
Alexandria University,Egypt,EG,Africa,XL,FC,VH,4,Public,781-790,801-850,901-950,1001-1200,-,-,32.7,376,24.2,555,7.2,801+,3.5,801+,1.9,801+,13.6,801+,19.0,780,80.7,341,33.0,514,56.6,568=,21.5,400,13.1,601+,5.0,701+,1.9,701+,1.7,701+,5.0,701+,28.7,466,13.5,635,2.7,701+
Alexandru Ioan Cuza University,Romania,RO,Europe,L,CO,HI,5,Public,1001-1200,1201-1400,1201-1400,1201-1400,-,-,11.7,701+,20.6,641,7.8,801+,5.8,801+,4.6,801+,17.0,779,21.4,742,49.1,801+,23.1,668,48.7,737=,8.0,601+,8.0,601+,5.3,701+,2.9,701+,3.6,701+,10.9,693,1.8,701+,8,701+,1.2,701+
Alfaisal University,Saudi Arabia,SA,Asia,S,FO,VH,2,Private not for Profit,801-850,791-800,731-740,651-700,-,-,7.9,701+,5.9,701+,31.7,605,21.8,687,100.0,29,96.7,102,92.4,127,28.1,801+,5.7,801+,31.0,801+,3.9,601+,3.2,601+,23.9,594,10.7,701+,100.0,26,89.4,120,1.1,701+,9.2,701+,1.2,701+
Aligarh Muslim University,India,IN,,L,CO,VH,5,A,,,1001-1200,1001-1200,,-,,,,,,,,,,,,,,,,,,,,,9.7,601+,2.5,601+,20.8,651,10.2,701+,1.2,701+,1.7,701+,5.0,701+,6.1,701+,17.1,579=
"Aligarh Muslim University (AMU), Aligarh",India,,Asia,L,CO,VH,,Public,1001-1200,1001-1200,,,-,,15.4,701+,5.3,701+,18.4,801+,24.7,645,,,1.8,801+,6.2,801+,64.8,622,3.2,801+,45.8,801+,,,,,,,,,,,,,,,,,,
Alma Mater Studiorum - University of Bologna,Italy,IT,Europe,XL,FC,VH,5,Public,138,133,=154,167=,63.3,50.5,90.6,66,67.5,156,6.0,801+,51.9,363,29.9,585,26.5,639,32.5,583,95.6,67,67.4,229,83.2,133,79.6,73,40.0,237,3.4,701+,49.5,267,8.0,701+,10.9,695,91.0,75,34.8,219,56.5,268=
Almaty Technological University,Kazakhstan,KZ,Asia,M,CO,MD,4,Public,1001-1200,951-1000,801-850,561-570,-,-,5.9,701+,8.9,701+,93.9,86,1.1,801+,27.8,613,14.4,801+,17.4,801+,4.4,801+,4.2,801+,26.6,801+,5.1,601+,3.3,601+,92.1,75,1.0,701+,26.0,523,5.2,701+,1.0,701+,11.8,701+,1,701+
Altai State University,Russia,RU,Europe,M,CO,VH,4,Public,851-900,741-750,701-710,521-530,-,-,12.9,701+,7.0,701+,90.7,101,1.9,801+,8.6,801+,71.3,266,68.1,283,18.3,801+,2.0,801+,46.2,801+,10.0,601+,3.7,601+,84.4,110,1.4,701+,6.7,701+,69.9,212,1.0,701+,7.6,701+,6.1,701+
American International University-Bangladesh (AIUB),Bangladesh,,Asia,M,FO,VH,,Private not for Profit,1401+,,,,-,,8.3,701+,8.5,701+,9.0,801+,4.4,801+,5.4,801+,17.7,770,18.5,788,7.9,801+,4.6,801+,30.3,801+,,,,,,,,,,,,,,,,,,
American University,United States,US,Americas,M,CO,VH,5,Private not for Profit,587,711-720,791-800,701-750,28.6,-,19.8,624,50.2,253,45.1,433,7.6,801+,16.7,770,27.0,630,33.1,574,34.6,801+,51.6,328,74.6,247=,16.2,542,22.8,418,30.0,522,4.1,701+,3.0,701+,15.6,610,1.2,701+,33.3,231,3,701+
American University in Dubai,United Arab Emirates,AE,Asia,S,FO,HI,3,Private for Profit,678,621-630,601-610,651-700,26,-,14.4,701+,38.3,364,26.2,714,3.8,801+,100.0,2,100.0,11,100.0,6,4.3,801+,45.6,383,25.4,801+,9.8,601+,16.8,513,20.4,657,1.9,701+,100.0,3,100.0,8,1.0,701+,37.3,195,1,701+
American University of Beirut (AUB),Lebanon,LB,Asia,M,FC,VH,5,Private not for Profit,237,250,=226,252,51.6,41.9,41.5,288,58.1,200,52.3,358,37.8,494,71.4,330,45.2,449,50.2,413,68.7,554,98.7,33,77.7,204,27.6,316,41.6,225,57.3,254,24.2,499,67.8,288,46.8,310,35.6,415,88.5,40,93.2,70=
American University of Central Asia,Kyrgyzstan,,Asia,S,FO,MD,,Private not for Profit,901-950,,,,-,,12.7,701+,14.5,701+,60.9,296,2.4,801+,58.0,398,96.4,105,81.5,193,4.3,801+,6.6,801+,7.5,801+,,,,,,,,,,,,,,,,,,
American University of Ras Al Khaimah ( AURAK ),United Arab Emirates,,Asia,S,SP,MD,,Public,591,485,,,28.5,,8.4,701+,9.5,701+,37.6,536,48.6,383,100.0,9,100.0,15,97.4,88,15.3,801+,4.4,801+,25.3,801+,,,,,,,,,,,,,,,,,,
American University of Sharjah,United Arab Emirates,AE,,S,CO,VH,3,B,,,=364,369=,,30.3,,,,,,,,,,,,,,,,,,,,,20.0,438,39.1,243,20.7,653,20.0,559,100.0,2,100.0,6,6.4,701+,36.9,202,3,701+
American University of Sharjah (AUS),United Arab Emirates,,Asia,M,CO,VH,,Private not for Profit,272,332,,,48.2,,31.7,388,65.1,163,24.6,742,43.8,428,100.0,3,100.0,9,100.0,4,50.6,801+,60.6,268,54.4,613=,,,,,,,,,,,,,,,,,,
American University of the Middle East,Kuwait,KW,Asia,M,SP,HI,2,Private for Profit,563,611-620,671-680,701-750,29.4,-,25.9,487,34.7,416,28.9,652,8.9,801+,100.0,7,36.9,528,38.6,512,67.2,586,6.1,801+,47.2,783=,17.7,504,18.0,487,17.8,701+,3.3,701+,100.0,6,25.0,474,1.3,701+,12.7,680,1.1,701+
Amirkabir University of Technology,Iran (Islamic Republic of),,Asia,M,SP,VH,,Public,456,403,,,34.1,,8.5,701+,26.7,513,7.4,801+,100.0,9,41.7,485,5.7,801+,4.5,801+,67.2,583,5.4,801+,35.5,801+,,,,,,,,,,,,,,,,,,
Amirkabir University of Technology,"Iran, Islamic Republic of",IR,,M,FO,VH,4,A,,,=375,443=,,29.5,,,,,,,,,,,,,,,,,,,,,4.1,601+,33.4,295,5.1,701+,99.8,13,15.9,652,2.8,701+,9.5,681,10.3,701+,16.5,586=
Amity University,India,IN,Asia,L,CO,VH,2,Private not for Profit,951-1000,1001-1200,1001-1200,1001-1200,-,-,10.5,701+,18.3,700,18.2,801+,14.9,801+,12.1,801+,34.9,540,36.3,531,67.5,578,4.9,801+,54.7,608=,8.5,601+,7.6,601+,10.6,701+,5.9,701+,3.8,701+,21.8,519,22.4,524,9.1,701+,1.9,701+
Amman Arab University,Jordan,,Asia,S,FO,VH,,Private not for Profit,1201-1400,,,,-,,8.4,701+,6.0,701+,13.0,801+,16.0,783,10.6,801+,58.6,349,53.4,384,12.2,801+,5.4,801+,8.9,801+,,,,,,,,,,,,,,,,,,
Amrita Vishwa Vidyapeetham,India,IN,Asia,L,FC,VH,2,Private not for Profit,1001-1200,1001-1200,1001-1200,1001-1200,-,-,6.9,701+,6.6,701+,39.2,518,10.7,801+,36.7,524,2.5,801+,2.1,801+,67.4,579,1.2,801+,26.8,801+,4.8,601+,4.1,601+,25.3,579,5.2,701+,37.0,438,1.7,701+,1.4,701+,4.5,701+,1.1,701+
An-Najah National University,Palestine,,Asia,L,FC,MD,,Public,1001-1200,1001-1200,,,-,,13.5,701+,14.5,701+,11.5,801+,4.3,801+,49.8,441,47.4,426,43.8,475,39.0,801+,11.3,801+,47.1,785=,,,,,,,,,,,,,,,,,,
An-Najah National University,"Palestinian Territory, Occupied",PS,,L,FC,MD,4,A,,,1001-1200,1001-1200,,-,,,,,,,,,,,,,,,,,,,,,6.4,601+,16.5,518,7.3,701+,2.2,701+,36.2,446,25.0,473,1.3,701+,10.9,701+,3.1,701+
Anadolu University,Turkey,TR,Asia,L,SP,VH,4,Public,1401+,1201-1400,1201-1400,1201-1400,-,-,6.2,701+,8.4,701+,17.5,801+,5.1,801+,2.2,801+,5.3,801+,4.2,801+,24.9,801+,22.3,691,22.3,801+,4.0,601+,4.0,601+,13.8,701+,2.9,701+,1.9,701+,3.1,701+,1.4,701+,10.6,701+,1.1,701+
Ankara Üniversitesi,Turkey,TR,Asia,XL,FC,HI,4,Public,697,801-850,901-950,1001-1200,25.1,-,30.6,400,30.4,468,12.8,801+,4.6,801+,2.8,801+,9.7,801+,15.4,801+,74.0,466,61.2,262,61.0,480=,18.5,481,11.7,601+,8.1,701+,2.7,701+,2.5,701+,5.4,701+,32.4,441,15.4,546,16.1,592=
Anna University,India,IN,Asia,L,SP,VH,3,Public,465,383,427,551-560,33.8,26.5,15.0,701+,19.4,674,9.2,801+,99.8,23,,,1.6,801+,6.0,801+,47.3,801+,17.8,763,64.5,409=,8.5,601+,8.5,601+,5.3,701+,99.8,12,,,1.5,701+,33.8,427,9.8,701+,,
Aoyama Gakuin University,Japan,JP,Asia,L,FO,HI,4,Private not for Profit,1401+,1201-1400,1201-1400,1201-1400,-,-,7.1,701+,16.8,701+,7.4,801+,2.5,801+,20.3,707,4.5,801+,3.6,801+,9.5,801+,14.5,801+,9.6,801+,6.9,601+,12.3,601+,5.4,701+,2.0,701+,16.3,648,2.7,701+,1.0,701+,11.4,701+,1,701+
Applied Science Private University - Jordan,Jordan,,Asia,M,CO,HI,,Private for Profit,791-800,851-900,,,-,,16.4,701+,27.8,497,30.0,631,7.4,801+,36.3,528,82.1,212,79.3,214,44.9,801+,5.9,801+,39.4,801+,,,,,,,,,,,,,,,,,,
Applied Science University - Bahrain,Bahrain,BH,Asia,S,FO,VH,2,Private not for Profit,613,539,=582,561-570,27.8,20.3,26.6,473,29.4,485,51.6,367,4.5,801+,100.0,14,62.3,324,46.5,447,12.3,801+,11.9,801+,23.9,801+,18.2,493,21.9,429,36.8,431,1.7,701+,100.0,21,44.9,324,1.0,701+,8.3,701+,,
