rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,url,nid,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,disabled,website_url,ranking_source,stats_number_students_clean,stats_student_staff_ratio_clean,stats_pc_intl_students_clean,clean_rank
601–800,University of Lille,39.4,6970,32.5,571,23.2,678,58.6,809,67.2,494,68.0,432,master_account,0,/world-university-rankings/university-lille,587766,France,"79,372",31.5,13%,61:39:00,University of Lille,"General Engineering,Mathematics & Statistics,Business & Management,Other Health,Physics & Astronomy,Accounting & Finance,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Chemistry,Law,Archaeology,Communication & Media Studies,Computer Science,Chemical Engineering,Geography,Architecture,Mechanical & Aerospace Engineering,Biological Sciences,Psychology,Electrical & Electronic Engineering,Sociology,Economics & Econometrics,Art, Performing Arts & Design,Civil Engineering,Sport Science,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Education",False,False,False,,THE World University Rankings 2024,79372.0,31.5,13.0,601.0
601–800,London South Bank University,39.4,6980,18.6,1494,12.4,1365,65.9,650,52.4,761,92.3,97,master_account,0,/world-university-rankings/london-south-bank-university,131793,United Kingdom,"14,510",17.5,37%,56:44:00,London South Bank University,"Civil Engineering,Psychology,Sociology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Accounting & Finance,Communication & Media Studies,General Engineering,Business & Management,Electrical & Electronic Engineering,Sport Science,Law,Agriculture & Forestry,Chemical Engineering,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Biological Sciences,Education,Computer Science,Architecture,Other Health",False,False,False,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-95568503,THE World University Rankings 2024,14510.0,17.5,37.0,601.0
601–800,University of Lorraine,39.4,6990,27.3,860,18.9,869,58.0,822,60.6,632,72.9,365,master_account,0,/world-university-rankings/university-lorraine,589277,France,"63,803",20.0,16%,53:47:00,University of Lorraine,"Mechanical & Aerospace Engineering,Geography,History, Philosophy & Theology,Veterinary Science,Geology, Environmental, Earth & Marine Sciences,Business & Management,Languages, Literature & Linguistics,Agriculture & Forestry,Law,Art, Performing Arts & Design,Electrical & Electronic Engineering,Communication & Media Studies,Computer Science,Physics & Astronomy,Economics & Econometrics,Civil Engineering,Mathematics & Statistics,Psychology,Other Health,Sport Science,Education,Archaeology,Biological Sciences,Politics & International Studies (incl Development Studies),Medicine & Dentistry,General Engineering,Chemistry,Accounting & Finance,Architecture,Chemical Engineering,Sociology",False,False,False,,THE World University Rankings 2024,63803.0,20.0,16.0,601.0
601–800,Louisiana State University,39.4,7000,32.7,561,21.4,753,61.1,751,63.1,584,47.8,868,public,0,/world-university-rankings/louisiana-state-university,131540,United States,"31,112",19.4,4%,55:45:00,Louisiana State University,"Education,Sociology,Economics & Econometrics,Other Health,Physics & Astronomy,Accounting & Finance,Chemistry,Medicine & Dentistry,Law,Communication & Media Studies,Biological Sciences,History, Philosophy & Theology,Agriculture & Forestry,Architecture,Mechanical & Aerospace Engineering,Business & Management,Sport Science,General Engineering,Civil Engineering,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Geography,Languages, Literature & Linguistics,Art, Performing Arts & Design,Chemical Engineering,Computer Science,Psychology,Mathematics & Statistics",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-48956002,THE World University Rankings 2024,31112.0,19.4,4.0,601.0
601–800,Lviv Polytechnic National University,39.4,7010,22.9,1157,11.3,1489,34.2,1345,18.8,1603,27.1,1610,master_account,0,/world-university-rankings/national-university-lviv-polytechnic,131716,Ukraine,"22,580",11.9,1%,41:59:00,Lviv Polytechnic National University,"Architecture,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,General Engineering,Law,Education,Communication & Media Studies,Mathematics & Statistics,Economics & Econometrics,Physics & Astronomy,Languages, Literature & Linguistics,Sociology,Computer Science,Accounting & Finance,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemical Engineering,Civil Engineering,Psychology,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Business & Management",False,False,False,,THE World University Rankings 2024,22580.0,11.9,1.0,601.0
601–800,Mahidol University,39.4,7020,39.3,327,25.0,610,46.3,1087,78.6,281,48.7,841,master_account,0,/world-university-rankings/mahidol-university,838,Thailand,"28,790",8.9,5%,64:36:00,Mahidol University,"Art, Performing Arts & Design,Civil Engineering,Chemistry,Business & Management,History, Philosophy & Theology,Sport Science,Accounting & Finance,Medicine & Dentistry,Veterinary Science,Mechanical & Aerospace Engineering,Communication & Media Studies,Economics & Econometrics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Physics & Astronomy,Languages, Literature & Linguistics,Chemical Engineering,Education,Archaeology,Mathematics & Statistics,Psychology,General Engineering,Politics & International Studies (incl Development Studies),Computer Science,Biological Sciences,Sociology",False,False,False,,THE World University Rankings 2024,28790.0,8.9,5.0,601.0
601–800,Malaviya National Institute of Technology,39.4,7030,29.9,694,15.6,1076,76.5,405,19.8,1544,20.3,1858,master_account,0,/world-university-rankings/malaviya-national-institute-technology,724022,India,"4,715",17.3,0%,31 : 69,Malaviya National Institute of Technology,"Mathematics & Statistics,Languages, Literature & Linguistics,Chemistry,Chemical Engineering,Computer Science,Accounting & Finance,Civil Engineering,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Electrical & Electronic Engineering,Architecture,Mechanical & Aerospace Engineering,Business & Management",False,False,False,,THE World University Rankings 2024,4715.0,17.3,0.0,601.0
601–800,Universiti Malaysia Pahang,39.4,7040,27.4,851,19.0,862,67.5,611,28.3,1225,57.9,623,master_account,0,/world-university-rankings/universiti-malaysia-pahang,625131,Malaysia,"8,331",13.5,8%,49:51:00,Universiti Malaysia Pahang,"Chemical Engineering,Mathematics & Statistics,Chemistry,Computer Science,Electrical & Electronic Engineering,Business & Management,Civil Engineering,Mechanical & Aerospace Engineering,Accounting & Finance,Languages, Literature & Linguistics,General Engineering",False,False,False,,THE World University Rankings 2024,8331.0,13.5,8.0,601.0
601–800,Manipal Academy of Higher Education,39.4,7050,45.0,205,18.5,889,46.3,1088,44.9,896,48.3,856,master_account,0,/world-university-rankings/manipal-university-formerly-known-manipal-academy-higher-education,131750,India,"23,602",9.1,12%,47:53:00,Manipal Academy of Higher Education,"Languages, Literature & Linguistics,Chemical Engineering,Architecture,Geography,Other Health,Mathematics & Statistics,Communication & Media Studies,Medicine & Dentistry,Art, Performing Arts & Design,Biological Sciences,Computer Science,Physics & Astronomy,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Economics & Econometrics,Business & Management,Accounting & Finance,Chemistry",False,False,False,,THE World University Rankings 2024,23602.0,9.1,12.0,601.0
601–800,Marche Polytechnic University,39.4,7060,23.2,1137,22.6,702,75.6,429,64.9,551,36.0,1277,master_account,0,/world-university-rankings/universita-politecnica-delle-marche,131584,Italy,"14,332",28.9,5%,47:53:00,Marche Polytechnic University,"Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Electrical & Electronic Engineering,General Engineering,Biological Sciences,Computer Science,Agriculture & Forestry,Business & Management,Architecture,Accounting & Finance,Mechanical & Aerospace Engineering,Other Health,Economics & Econometrics",False,False,False,,THE World University Rankings 2024,14332.0,28.9,5.0,601.0
601–800,"University of Maryland, Baltimore County",39.4,7070,28.8,753,24.6,623,61.5,743,66.8,508,50.1,799,public,0,/world-university-rankings/university-maryland-baltimore-county,791,United States,"11,668",17.2,11%,46:54:00,"University of Maryland, Baltimore County","General Engineering,Biological Sciences,Economics & Econometrics,Civil Engineering,Other Health,Business & Management,Mathematics & Statistics,Education,Agriculture & Forestry,Accounting & Finance,History, Philosophy & Theology,Chemistry,Sociology,Physics & Astronomy,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Geography,Computer Science,Psychology,Languages, Literature & Linguistics,Chemical Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Communication & Media Studies",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-79454013,THE World University Rankings 2024,11668.0,17.2,11.0,601.0
601–800,Masaryk University,39.4,7080,25.9,944,31.0,443,50.1,1018,41.7,944,66.3,460,master_account,0,/world-university-rankings/masaryk-university,983,Czech Republic,"32,789",18.4,23%,62:38:00,Masaryk University,"Archaeology,Physics & Astronomy,Sociology,Accounting & Finance,Computer Science,Art, Performing Arts & Design,Sport Science,Law,Biological Sciences,Chemical Engineering,Psychology,Politics & International Studies (incl Development Studies),Chemistry,Mathematics & Statistics,Languages, Literature & Linguistics,Geography,History, Philosophy & Theology,Agriculture & Forestry,Communication & Media Studies,Other Health,Business & Management,Education,Medicine & Dentistry,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences",False,False,False,,THE World University Rankings 2024,32789.0,18.4,23.0,601.0
601–800,Mashhad University of Medical Sciences,39.4,7090,34.9,466,14.7,1147,63.9,692,28.5,1221,29.7,1504,master_account,0,/world-university-rankings/mashhad-university-medical-sciences,624726,Iran,"8,666",9.0,4%,57:43:00,Mashhad University of Medical Sciences,"Other Health,Medicine & Dentistry",False,False,False,,THE World University Rankings 2024,8666.0,9.0,4.0,601.0
601–800,Mazandaran University of Medical Sciences,39.4,7100,44.1,216,12.4,1367,65.6,662,28.1,1232,24.7,1715,master_account,0,/world-university-rankings/mazandaran-university-medical-sciences,622251,Iran,"6,715",12.4,1%,56:44:00,Mazandaran University of Medical Sciences,"Biological Sciences,Medicine & Dentistry,Other Health",False,False,False,,THE World University Rankings 2024,6715.0,12.4,1.0,601.0
601–800,University of Minho,39.4,7110,26.3,921,30.3,462,59.3,797,74.7,340,51.9,742,master_account,0,/world-university-rankings/university-minho,903,Portugal,"20,001",19.5,13%,56:44:00,University of Minho,"Mechanical & Aerospace Engineering,Medicine & Dentistry,General Engineering,Chemistry,Accounting & Finance,Civil Engineering,Architecture,History, Philosophy & Theology,Chemical Engineering,Communication & Media Studies,Education,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Mathematics & Statistics,Law,Biological Sciences,Archaeology,Sociology,Other Health,Psychology,Art, Performing Arts & Design,Computer Science,Physics & Astronomy,Agriculture & Forestry,Geography,Business & Management,Geology, Environmental, Earth & Marine Sciences",False,False,False,,THE World University Rankings 2024,20001.0,19.5,13.0,601.0
601–800,Mississippi State University,39.4,7120,27.3,861,20.0,813,58.8,804,66.2,522,50.7,781,public,0,/world-university-rankings/mississippi-state-university,593198,United States,"21,181",14.6,4%,53:47:00,Mississippi State University,"Education,Mechanical & Aerospace Engineering,Sport Science,Business & Management,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Accounting & Finance,Veterinary Science,Electrical & Electronic Engineering,Architecture,Art, Performing Arts & Design,Chemistry,Sociology,Agriculture & Forestry,Other Health,Mathematics & Statistics,Civil Engineering,Biological Sciences,Languages, Literature & Linguistics,Psychology,General Engineering,Computer Science,Physics & Astronomy,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Communication & Media Studies,Economics & Econometrics",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-54461282,THE World University Rankings 2024,21181.0,14.6,4.0,601.0
601–800,Monterrey Institute of Technology,39.4,7130,24.0,1080,22.7,700,61.9,739,60.1,644,65.8,466,master_account,11,/world-university-rankings/monterrey-institute-technology,1009,Mexico,"16,693",14.9,12%,43:57:00,Monterrey Institute of Technology Tecnológico de Monterrey Instituto Tecnológico y de Estudios Superiores de Monterrey ITESM,"Geology, Environmental, Earth & Marine Sciences,Computer Science,Law,History, Philosophy & Theology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Physics & Astronomy,Civil Engineering,Architecture,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Psychology,Sociology,General Engineering,Chemical Engineering,Other Health,Agriculture & Forestry,Education,Biological Sciences,Languages, Literature & Linguistics,Business & Management,Medicine & Dentistry,Mathematics & Statistics,Chemistry,Accounting & Finance,Communication & Media Studies,Art, Performing Arts & Design",False,False,False,,THE World University Rankings 2024,16693.0,14.9,12.0,601.0
601–800,University of Namur,39.4,7140,24.4,1049,27.2,536,53.7,926,62.8,597,69.7,411,master_account,0,/world-university-rankings/university-namur,623949,Belgium,"6,616",22.2,12%,58:42:00,University of Namur,"Accounting & Finance,Archaeology,Biological Sciences,Chemistry,Business & Management,Languages, Literature & Linguistics,Computer Science,Veterinary Science,Law,Communication & Media Studies,Mathematics & Statistics,Physics & Astronomy,Medicine & Dentistry,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Geography,Other Health,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences",False,False,False,,THE World University Rankings 2024,6616.0,22.2,12.0,601.0
601–800,Nanjing University of Aeronautics and Astronautics,39.4,7150,28.2,797,31.6,428,50.1,1019,71.4,399,24.7,1717,master_account,0,/world-university-rankings/nanjing-university-aeronautics-and-astronautics,623613,China,"33,883",15.4,3%,,Nanjing University of Aeronautics and Astronautics,"General Engineering,Biological Sciences,Accounting & Finance,Computer Science,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Business & Management,Civil Engineering,Law,Mathematics & Statistics,Economics & Econometrics,Languages, Literature & Linguistics,Chemistry,Art, Performing Arts & Design,Communication & Media Studies,Electrical & Electronic Engineering,Sociology,Physics & Astronomy,Chemical Engineering,Education",False,False,False,,THE World University Rankings 2024,33883.0,15.4,3.0,601.0
601–800,Nanjing Forestry University,39.4,7160,22.6,1178,21.2,761,79.4,335,28.7,1213,28.0,1576,master_account,0,/world-university-rankings/nanjing-forestry-university,623880,China,"32,345",16.5,1%,,Nanjing Forestry University,"General Engineering,Business & Management,Economics & Econometrics,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Agriculture & Forestry,Civil Engineering,Biological Sciences,Politics & International Studies (incl Development Studies),Chemical Engineering",False,False,False,,THE World University Rankings 2024,32345.0,16.5,1.0,601.0
601–800,Nanjing Tech University,39.4,7170,21.8,1247,16.2,1035,69.1,578,68.1,480,37.1,1234,master_account,0,/world-university-rankings/nanjing-tech-university,587781,China,"38,866",13.5,3%,,Nanjing Tech University,"General Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Business & Management,Mathematics & Statistics,Civil Engineering,Chemistry,Sport Science,Law,Architecture,Electrical & Electronic Engineering,Accounting & Finance,Languages, Literature & Linguistics,Chemical Engineering,Biological Sciences,Computer Science,Physics & Astronomy",False,False,False,,THE World University Rankings 2024,38866.0,13.5,3.0,601.0
601–800,National Institute of Applied Sciences of Lyon (INSA Lyon),39.4,7180,37.2,385,27.0,542,38.3,1252,93.8,130,75.1,328,master_account,0,/world-university-rankings/institut-national-des-sciences-appliquees-de-lyon-insa,131369,France,"6,130",18.7,29%,36 : 64,National Institute of Applied Sciences of Lyon (INSA Lyon),"Computer Science,General Engineering,Biological Sciences,Civil Engineering,Mechanical & Aerospace Engineering,Chemical Engineering,Electrical & Electronic Engineering",False,False,False,,THE World University Rankings 2024,6130.0,18.7,29.0,601.0
601–800,National University of Sciences and Technology,39.4,7190,25.1,994,19.4,845,71.2,531,34.9,1093,55.1,672,master_account,0,/world-university-rankings/national-university-sciences-and-technology,1040,Pakistan,"12,212",9.3,5%,34 : 66,National University of Sciences and Technology,"Mechanical & Aerospace Engineering,Sociology,Civil Engineering,Accounting & Finance,Psychology,Other Health,Architecture,Chemistry,Physics & Astronomy,Computer Science,Law,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Business & Management,Electrical & Electronic Engineering,Communication & Media Studies,Art, Performing Arts & Design,Agriculture & Forestry,Economics & Econometrics,Geography,Chemical Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,General Engineering,Sport Science,Education",False,False,False,,THE World University Rankings 2024,12212.0,9.3,5.0,601.0
601–800,National University of Science and Technology (MISiS),39.4,7200,39.1,330,27.1,539,43.2,1162,64.1,565,65.6,473,master_account,0,/world-university-rankings/national-university-science-and-technology-misis,131519,Russia,"7,198",12.0,21%,40 : 60,National University of Science and Technology (MISiS) Russia Moscow,"Electrical & Electronic Engineering,Economics & Econometrics,Chemical Engineering,Physics & Astronomy,General Engineering,Accounting & Finance,Biological Sciences,Computer Science,Business & Management,Mathematics & Statistics,Mechanical & Aerospace Engineering,Chemistry,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences",False,False,True,,THE World University Rankings 2024,7198.0,12.0,21.0,601.0
601–800,National Sun Yat-Sen University,39.4,7210,28.2,798,33.7,386,43.8,1145,79.1,274,47.2,885,master_account,0,/world-university-rankings/national-sun-yat-sen-university,728,Taiwan,"8,497",12.6,9%,42:58:00,National Sun Yat-Sen University,"Accounting & Finance,Biological Sciences,Computer Science,General Engineering,Physics & Astronomy,Business & Management,Languages, Literature & Linguistics,Agriculture & Forestry,Mechanical & Aerospace Engineering,Chemical Engineering,Law,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Geography,Other Health,Medicine & Dentistry,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Civil Engineering,Communication & Media Studies,Chemistry,History, Philosophy & Theology,Education,Psychology,Sociology,Architecture,Mathematics & Statistics",False,False,False,,THE World University Rankings 2024,8497.0,12.6,9.0,601.0
601–800,National Technical University of Athens,39.4,7220,26.3,922,23.0,686,59.1,801,59.7,651,38.1,1187,master_account,0,/world-university-rankings/national-technical-university-athens,131780,Greece,"13,532",20.3,6%,37 : 63,National Technical University of Athens,"Architecture,Electrical & Electronic Engineering,Chemistry,Civil Engineering,General Engineering,Biological Sciences,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Computer Science,Mathematics & Statistics,Geography,Chemical Engineering",False,False,False,,THE World University Rankings 2024,13532.0,20.3,6.0,601.0
601–800,National Institute of Technology Rourkela,39.4,7230,30.6,660,20.2,800,64.7,678,29.9,1185,23.1,1774,master_account,0,/world-university-rankings/national-institute-technology-rourkela,587715,India,"7,661",20.6,4%,0.970833333,National Institute of Technology Rourkela,"Architecture,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Chemical Engineering,Physics & Astronomy,Computer Science,Business & Management,Biological Sciences,Civil Engineering,General Engineering,Mathematics & Statistics,Chemistry,Electrical & Electronic Engineering",False,False,False,,THE World University Rankings 2024,7661.0,20.6,4.0,601.0
601–800,National Institute of Technology Silchar,39.4,7240,32.4,574,19.5,839,71.7,519,18.4,1636,20.5,1849,master_account,0,/world-university-rankings/national-institute-technology-silchar,690028,India,"4,704",16.3,2%,0.888888889,National Institute of Technology Silchar,"Business & Management,Mechanical & Aerospace Engineering,Civil Engineering,Chemistry,Physics & Astronomy,Electrical & Electronic Engineering,Computer Science,Mathematics & Statistics",False,False,False,,THE World University Rankings 2024,4704.0,16.3,2.0,601.0
601–800,Near East University,39.4,7250,25.9,945,18.8,879,66.6,633,49.9,810,86.8,172,master_account,0,/world-university-rankings/near-east-university,624027,Northern Cyprus,"23,137",29.2,86%,45:55:00,Near East University,"Chemistry,Agriculture & Forestry,Physics & Astronomy,Computer Science,Geography,Languages, Literature & Linguistics,History, Philosophy & Theology,Psychology,Biological Sciences,Mathematics & Statistics,Accounting & Finance,Sport Science,Other Health,Medicine & Dentistry,Veterinary Science,Business & Management,Education,Architecture,Mechanical & Aerospace Engineering,Civil Engineering,Art, Performing Arts & Design,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),General Engineering,Law,Economics & Econometrics,Communication & Media Studies",False,False,False,,THE World University Rankings 2024,23137.0,29.2,86.0,601.0
601–800,"University of Nevada, Las Vegas",39.4,7260,29.3,730,25.6,587,64.7,679,51.5,783,38.3,1179,public,0,/world-university-rankings/university-nevada-las-vegas,593342,United States,"26,730",23.2,4%,57:43:00,"University of Nevada, Las Vegas","Veterinary Science,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Other Health,Communication & Media Studies,Sport Science,Education,Agriculture & Forestry,Mechanical & Aerospace Engineering,Computer Science,Economics & Econometrics,Accounting & Finance,Electrical & Electronic Engineering,Architecture,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Psychology,Business & Management,Law,Chemistry,Physics & Astronomy,General Engineering,Medicine & Dentistry,Civil Engineering,Languages, Literature & Linguistics,Geography,Biological Sciences,History, Philosophy & Theology,Sociology,Archaeology",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-66952912,THE World University Rankings 2024,26730.0,23.2,4.0,601.0
601–800,University of New Brunswick UNB,39.4,7270,24.3,1058,25.0,613,62.4,722,64.0,569,81.1,237,master_account,0,/world-university-rankings/university-new-brunswick-unb,623655,Canada,"8,308",15.0,14%,53:47:00,University of New Brunswick UNB,"Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Business & Management,Civil Engineering,Physics & Astronomy,Biological Sciences,Mathematics & Statistics,Psychology,History, Philosophy & Theology,Other Health,Veterinary Science,Law,General Engineering,Chemistry,Education,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Agriculture & Forestry,Geography,Accounting & Finance,Chemical Engineering,Sociology,Archaeology,Mechanical & Aerospace Engineering,Sport Science,Art, Performing Arts & Design,Computer Science,Communication & Media Studies",False,False,False,https://www.timeshighereducation.com/student/register-interest/applyboard?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-16822921,THE World University Rankings 2024,8308.0,15.0,14.0,601.0
601–800,University of North Carolina at Charlotte,39.4,7280,23.2,1139,22.1,725,74.4,455,58.7,667,37.0,1239,public,0,/world-university-rankings/university-north-carolina-charlotte,593828,United States,"26,819",20.6,6%,49:51:00,University of North Carolina at Charlotte,"Sociology,History, Philosophy & Theology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Other Health,General Engineering,Business & Management,Art, Performing Arts & Design,Education,Communication & Media Studies,Civil Engineering,Psychology,Geography,Chemistry,Architecture,Biological Sciences,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Computer Science,Accounting & Finance,Physics & Astronomy,Economics & Econometrics,Sport Science",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-81322783,THE World University Rankings 2024,26819.0,20.6,6.0,601.0
601–800,"Northeastern University, China",39.4,7290,31.5,615,28.1,514,57.8,825,73.7,355,46.7,904,master_account,0,/world-university-rankings/northeastern-university-china,589202,China,"39,996",13.2,3%,,"Northeastern University, China","Biological Sciences,Architecture,Other Health,Law,Mechanical & Aerospace Engineering,Communication & Media Studies,Business & Management,Medicine & Dentistry,Mathematics & Statistics,Civil Engineering,Education,General Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Sport Science,Sociology,Languages, Literature & Linguistics,Chemistry,Computer Science,Physics & Astronomy",False,False,False,,THE World University Rankings 2024,39996.0,13.2,3.0,601.0
601–800,Northern Illinois University,39.4,7300,26.3,923,15.9,1053,60.0,781,60.4,637,62.8,524,public,0,/world-university-rankings/northern-illinois-university,592415,United States,"13,248",14.3,6%,54:46:00,Northern Illinois University,"Electrical & Electronic Engineering,Law,Chemistry,Economics & Econometrics,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Art, Performing Arts & Design,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Psychology,Business & Management,Other Health,Mechanical & Aerospace Engineering,Communication & Media Studies,Biological Sciences,Sociology,History, Philosophy & Theology,Geography,Computer Science,Education,Agriculture & Forestry,Accounting & Finance,Physics & Astronomy,Sport Science,General Engineering",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-77425433,THE World University Rankings 2024,13248.0,14.3,6.0,601.0
601–800,North-West University,39.4,7310,22.7,1171,18.7,883,64.3,685,48.0,844,56.6,652,master_account,0,/world-university-rankings/north-west-university,623391,South Africa,"39,684",25.5,3%,61:39:00,North-West University,"Other Health,Psychology,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Chemistry,Electrical & Electronic Engineering,Sport Science,History, Philosophy & Theology,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Law,Biological Sciences,General Engineering,Education,Medicine & Dentistry,Communication & Media Studies,Accounting & Finance,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Physics & Astronomy,Sociology,Mathematics & Statistics,Business & Management,Geography,Computer Science,Chemical Engineering",False,False,False,,THE World University Rankings 2024,39684.0,25.5,3.0,601.0
601–800,Norwegian University of Life Sciences,39.4,7320,32.1,585,14.7,1148,64.0,690,36.5,1061,70.8,394,master_account,0,/world-university-rankings/norwegian-university-life-sciences,587790,Norway,"7,275",8.2,12%,61:39:00,Norwegian University of Life Sciences,"Physics & Astronomy,Mechanical & Aerospace Engineering,Business & Management,Mathematics & Statistics,Agriculture & Forestry,Accounting & Finance,Veterinary Science,Architecture,Education,General Engineering,Politics & International Studies (incl Development Studies),Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Chemistry,Civil Engineering,Economics & Econometrics",False,False,False,,THE World University Rankings 2024,7275.0,8.2,12.0,601.0
601–800,Novosibirsk State University,39.4,7330,42.2,260,36.6,313,31.6,1409,40.7,963,51.9,743,master_account,0,/world-university-rankings/novosibirsk-state-university,1030,Russia,"7,264",6.6,20%,,Novosibirsk State University,"Agriculture & Forestry,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Business & Management,General Engineering,Chemistry,Psychology,Archaeology,Physics & Astronomy,Law,Languages, Literature & Linguistics,Chemical Engineering,Accounting & Finance,Computer Science,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Communication & Media Studies,Medicine & Dentistry,Mathematics & Statistics,Economics & Econometrics,Art, Performing Arts & Design,Biological Sciences,Sociology,Education",False,False,True,,THE World University Rankings 2024,7264.0,6.6,20.0,601.0
601–800,Ohio University (Main campus),39.4,7340,30.6,662,20.1,807,61.2,747,54.7,732,37.2,1230,public,0,/world-university-rankings/ohio-university-main-campus,131281,United States,"20,948",19.9,4%,58:42:00,Ohio University (Main campus),"Education,History, Philosophy & Theology,Biological Sciences,Business & Management,Languages, Literature & Linguistics,Sport Science,Other Health,Physics & Astronomy,General Engineering,Communication & Media Studies,Medicine & Dentistry,Mathematics & Statistics,Art, Performing Arts & Design,Chemical Engineering,Sociology,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Civil Engineering,Geography,Computer Science,Chemistry,Psychology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-02343009,THE World University Rankings 2024,20948.0,19.9,4.0,601.0
