rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,url,nid,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,disabled,website_url,ranking_source,stats_number_students_clean,stats_student_staff_ratio_clean,stats_pc_intl_students_clean,clean_rank
1001â€“1200,Firat University,16.2,10550,19.2,1452,10.3,1609,64.5,681,19.7,1547,31.5,1444,master_account,0,/world-university-rankings/firat-university,624366,Turkey,"35,348",25.4,6%,49:51:00,Firat University,"Chemical Engineering,Communication & Media Studies,History, Philosophy & Theology,Mathematics & Statistics,Education,Other Health,Biological Sciences,Geography,Civil Engineering,Sociology,Medicine & Dentistry,Sport Science,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Architecture,Physics & Astronomy,Computer Science,Veterinary Science,Economics & Econometrics,Art, Performing Arts & Design,Electrical & Electronic Engineering,Chemistry,Accounting & Finance",False,False,False,,QS World University Rankings 2026,35348.0,25.4,6.0,1001.0
1001â€“1200,Florida Agricultural and Mechanical University,57.25,10560,33.4,525,16.7,991,39.8,1224,37.3,1032,50.3,795,public,0,/world-university-rankings/florida-agricultural-and-mechanical-university,592160,United States,"8,850",15.7,1%,67:33:00,Florida Agricultural and Mechanical University,"Civil Engineering,Economics & Econometrics,Biological Sciences,Mathematics & Statistics,Education,History, Philosophy & Theology,Sport Science,Physics & Astronomy,Mechanical & Aerospace Engineering,Accounting & Finance,Business & Management,Agriculture & Forestry,Languages, Literature & Linguistics,Other Health,Geology, Environmental, Earth & Marine Sciences,Law,Psychology,Communication & Media Studies,Architecture,Sociology,Chemistry,Electrical & Electronic Engineering,Chemical Engineering,Politics & International Studies (incl Development Studies),Computer Science,Art, Performing Arts & Design,Geography,General Engineering",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-61414832,QS World University Rankings 2026,8850.0,15.7,1.0,1001.0
1001â€“1200,University of Franche-ComtÃ©,43.599999999999994,10570,21.3,1280,15.7,1069,40.6,1210,44.9,895,70.6,399,master_account,0,/world-university-rankings/university-franche-comte,631998,France,"24,908",33.5,11%,58:42:00,University of Franche-ComtÃ©,"Physics & Astronomy,Mechanical & Aerospace Engineering,Computer Science,Geography,Communication & Media Studies,Civil Engineering,Education,Other Health,Sociology,Business & Management,Medicine & Dentistry,Economics & Econometrics,Biological Sciences,General Engineering,Art, Performing Arts & Design,Chemistry,Chemical Engineering,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Sport Science,Mathematics & Statistics,History, Philosophy & Theology,Law,Archaeology,Psychology,Agriculture & Forestry",False,False,False,,QS World University Rankings 2026,24908.0,33.5,11.0,1001.0
1001â€“1200,Fu Jen Catholic University,25.5,10580,24.0,1078,29.2,491,26.3,1531,65.5,538,31.1,1459,master_account,0,/world-university-rankings/fu-jen-catholic-university,131690,Taiwan,"16,382",27.2,6%,59:41:00,Fu Jen Catholic University,"Chemical Engineering,Computer Science,Art, Performing Arts & Design,Civil Engineering,Sociology,Economics & Econometrics,History, Philosophy & Theology,Physics & Astronomy,Business & Management,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Communication & Media Studies,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Archaeology,Electrical & Electronic Engineering,Psychology,Accounting & Finance,Agriculture & Forestry,Architecture,Chemistry,Law,Sport Science,Medicine & Dentistry,General Engineering,Other Health,Education,Geography,Biological Sciences",False,False,False,,QS World University Rankings 2026,16382.0,27.2,6.0,1001.0
1001â€“1200,Fujian Agriculture and Forestry University,43.599999999999994,10590,18.3,1527,15.5,1082,62.0,734,34.8,1095,32.7,1396,master_account,0,/world-university-rankings/fujian-agriculture-and-forestry-university,624978,China,"30,262",17.1,1%,53:47:00,Fujian Agriculture and Forestry University,"Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Architecture,Accounting & Finance,Mechanical & Aerospace Engineering,Business & Management,General Engineering,Economics & Econometrics,Chemical Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Art, Performing Arts & Design,Biological Sciences,Agriculture & Forestry,Computer Science,Sociology,Civil Engineering",False,False,False,,QS World University Rankings 2026,30262.0,17.1,1.0,1001.0
1001â€“1200,Fujita Health University,25.5,10600,27.6,831,13.0,1301,55.4,879,53.3,745,22.3,1794,master_account,0,/world-university-rankings/fujita-health-university,609558,Japan,"3,071",3.6,1%,58:42:00,Fujita Health University Fujita Gakuen Fujita Medical  Fujita Academy,"Medicine & Dentistry,Other Health,Biological Sciences",False,False,False,,QS World University Rankings 2026,3071.0,3.6,1.0,1001.0
1001â€“1200,Gauhati University,30.450000000000003,10610,36.2,420,26.6,551,23.3,1601,34.3,1106,22.2,1801,master_account,0,/world-university-rankings/gauhati-university,623247,India,"6,817",17.3,0%,53:47:00,Gauhati University,"Civil Engineering,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Computer Science,Mathematics & Statistics,Agriculture & Forestry,Geography,Mechanical & Aerospace Engineering,Physics & Astronomy,Psychology,Biological Sciences,Business & Management,Languages, Literature & Linguistics,Law,Art, Performing Arts & Design,Communication & Media Studies,History, Philosophy & Theology,Sociology,Education,General Engineering,Politics & International Studies (incl Development Studies),Chemistry,Accounting & Finance",False,False,False,,QS World University Rankings 2026,6817.0,17.3,0.0,1001.0
1001â€“1200,GdaÅ„sk University of Technology,25.5,10620,19.7,1399,17.0,973,48.3,1048,50.7,797,35.0,1316,master_account,0,/world-university-rankings/gdansk-university-technology,131337,Poland,"13,903",17.9,5%,38 : 62,GdaÅ„sk University of Technology,"Chemical Engineering,General Engineering,Physics & Astronomy,Chemistry,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Computer Science,Business & Management,Electrical & Electronic Engineering,Economics & Econometrics,Civil Engineering,Mechanical & Aerospace Engineering",False,False,False,,QS World University Rankings 2026,13903.0,17.9,5.0,1001.0
1001â€“1200,University of Ghana,30.450000000000003,10630,14.9,1759,21.3,754,42.1,1180,37.3,1033,52.3,732,master_account,0,/world-university-rankings/university-ghana,131352,Ghana,"59,744",35.9,1%,49:51:00,University of Ghana,"General Engineering,Biological Sciences,Accounting & Finance,History, Philosophy & Theology,Mathematics & Statistics,Sociology,Computer Science,Politics & International Studies (incl Development Studies),Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Other Health,Chemistry,Business & Management,Languages, Literature & Linguistics,Communication & Media Studies,Medicine & Dentistry,Sport Science,Law,Physics & Astronomy,Psychology,Archaeology,Veterinary Science,Education,Agriculture & Forestry,Geography",False,False,False,,QS World University Rankings 2026,59744.0,35.9,1.0,1001.0
1001â€“1200,Gifu University,25.5,10640,30.6,658,23.2,677,29.5,1456,65.9,531,29.5,1517,master_account,0,/world-university-rankings/gifu-university,131324,Japan,"7,134",14.6,4%,38 : 62,Gifu University,"Electrical & Electronic Engineering,Accounting & Finance,Mechanical & Aerospace Engineering,Agriculture & Forestry,Economics & Econometrics,General Engineering,Civil Engineering,Sociology,Education,Chemical Engineering,Other Health,Veterinary Science,Medicine & Dentistry,Business & Management,Biological Sciences",False,False,False,,QS World University Rankings 2026,7134.0,14.6,4.0,1001.0
