University,Location,Overall Teaching Score,Research Score,Research Quality,Industry Income Score,International Outlook Score,Overall Score,Rank
Koç University,Turkey,32.0,41.3,70.1,89.6,58.4,58.279999999999994,335
University of Oulu,Finland,34.3,38.9,84.7,69.7,63.6,58.239999999999995,336
University of Waikato,New Zealand,22.7,30.7,75.8,72.3,88.6,58.02,337
Missouri University of Science and Technology,United States,29.9,29.2,66.2,90.2,73.9,57.879999999999995,338
Humanitas University,Italy,32.2,28.0,98.4,64.3,65.8,57.74000000000001,339
Norwegian University of Science and Technology,Norway,35.3,39.3,75.4,72.3,66.3,57.720000000000006,340
"City, University of London",United Kingdom,27.8,30.3,76.8,58.5,95.1,57.7,341
Western Sydney University,Australia,24.8,31.5,88.3,56.0,87.9,57.7,342
Hokkaido University,Japan,52.6,44.7,47.8,95.9,47.4,57.68000000000001,343
Middle East Technical University,Turkey,44.2,44.1,53.4,88.0,58.3,57.6,344
University of Fribourg,Switzerland,36.1,34.2,63.3,70.9,83.4,57.580000000000005,345
York University,Canada,28.0,32.5,73.5,71.0,82.9,57.58,346
University of Hohenheim,Germany,35.6,36.6,79.9,73.9,61.7,57.540000000000006,347
Leibniz University Hannover,Germany,37.8,42.0,64.6,84.2,58.7,57.459999999999994,348
École Nationale des Ponts et Chaussées - Institut Polytechnique de Paris,France,41.5,26.0,48.6,87.4,83.2,57.339999999999996,349
Dublin City University,Ireland,28.0,37.5,78.6,69.4,72.9,57.279999999999994,350
University of Sharjah,United Arab Emirates,22.0,27.1,94.6,44.1,98.6,57.279999999999994,351
University of Pavia,Italy,38.3,34.4,80.3,81.8,51.5,57.260000000000005,352
Chung-Ang University,South Korea,37.9,38.8,54.7,91.9,63.0,57.25999999999999,353
Graz University of Technology,Austria,39.9,21.3,49.4,93.7,81.7,57.2,354
University of Electronic Science and Technology of China,China,35.6,37.2,80.7,98.3,33.7,57.1,355
National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,33.9,38.0,63.9,95.0,54.6,57.080000000000005,356
Federation University Australia,Australia,20.1,23.4,79.0,73.6,89.1,57.04,357
Gwangju Institute of Science and Technology (GIST),South Korea,48.2,39.4,51.7,99.7,45.9,56.98,358
Hunan University,China,34.2,32.9,91.7,93.1,32.9,56.96,359
National Tsing Hua University,Taiwan,35.1,43.6,59.5,99.8,46.7,56.94,360
Rutgers University – New Brunswick,United States,44.1,29.9,79.2,69.1,61.8,56.81999999999999,361
Scuola Normale Superiore di Pisa,Italy,59.5,46.5,82.6,36.4,59.0,56.8,362
Ruhr University Bochum,Germany,35.8,39.3,71.8,74.9,61.9,56.739999999999995,363
Chongqing University,China,29.1,33.9,78.3,95.2,46.8,56.660000000000004,364
Boston College,United States,46.3,32.3,85.3,58.3,60.5,56.54,365
University of Guelph,Canada,33.9,36.3,66.4,80.4,65.7,56.54,366
Montpellier University,France,38.4,34.7,72.3,68.5,68.8,56.54,367
Massey University,New Zealand,28.4,28.8,59.7,78.7,87.0,56.52,368
Università Cattolica del Sacro Cuore,Italy,36.5,31.6,88.8,77.4,48.2,56.5,369
Stevens Institute of Technology,United States,27.2,28.0,76.1,68.4,82.6,56.46,370
University of Connecticut,United States,41.1,31.5,76.0,68.6,65.0,56.44,371
Vita-Salute San Raffaele University,Italy,34.2,33.5,99.0,67.2,48.0,56.379999999999995,372
Brandeis University,United States,36.5,26.6,72.5,64.8,81.4,56.35999999999999,373
Xiamen University,China,40.4,33.5,83.3,87.1,37.1,56.279999999999994,374
Washington State University,United States,36.9,33.9,69.1,82.1,59.1,56.21999999999999,375
Justus Liebig University Giessen,Germany,34.7,39.4,72.5,70.6,63.8,56.2,376
Amirkabir University of Technology,Iran,35.3,33.0,76.3,90.6,45.5,56.14,377
National Yang Ming Chiao Tung University (NYCU),Taiwan,42.8,43.2,54.7,99.9,39.8,56.08,378
University of Trento,Italy,33.7,35.1,78.9,70.7,61.7,56.02,379
University of Bremen,Germany,40.8,40.6,70.3,63.7,64.3,55.94,380
Drexel University,United States,43.4,25.4,72.4,74.7,63.6,55.9,381
Florida State University,United States,37.3,40.5,76.3,67.3,58.0,55.879999999999995,382
King Abdulaziz University,Saudi Arabia,29.2,23.8,89.6,63.8,72.9,55.85999999999999,383
New Jersey Institute of Technology,United States,27.8,23.8,65.3,69.4,92.7,55.8,384
Sharif University of Technology,Iran,36.5,36.6,78.7,95.4,31.6,55.760000000000005,385
American University of Beirut,Lebanon,33.2,23.1,66.6,85.2,70.7,55.760000000000005,386
Universiti Teknologi Malaysia,Malaysia,41.1,29.9,65.1,69.5,72.9,55.7,387
Institut Agro,France,47.7,35.6,60.7,70.7,63.8,55.7,388
University of Tartu,Estonia,35.0,32.4,85.4,64.3,61.4,55.7,389
Aix-Marseille University,France,43.5,27.5,66.7,63.8,76.6,55.620000000000005,390
Konkuk University,South Korea,33.8,38.5,49.3,94.2,61.8,55.52,391
James Cook University,Australia,28.1,31.1,77.0,61.9,79.3,55.48,392
Royal Veterinary College,United Kingdom,30.4,20.0,72.3,59.3,94.3,55.260000000000005,393
University of Portsmouth,United Kingdom,23.8,20.0,86.6,50.3,95.4,55.220000000000006,394
Polytechnic University of Turin,Italy,30.5,30.5,74.2,86.9,53.8,55.17999999999999,395
Dalian University of Technology,China,36.2,34.9,70.0,97.2,37.5,55.160000000000004,396
Iowa State University,United States,39.7,36.1,66.7,88.1,45.2,55.160000000000004,397
Bangor University,United Kingdom,28.7,25.7,70.7,61.9,88.3,55.06,398
Oregon Health and Science University,United States,39.0,21.2,91.6,89.4,33.7,54.980000000000004,399
University of Kiel,Germany,31.9,33.9,82.4,63.5,62.8,54.9,400
University of Windsor,Canada,28.7,30.5,59.7,65.9,89.7,54.9,401
ENSTA Bretagne,France,40.2,29.3,52.9,89.7,62.2,54.86,402
The University of Tennessee-Knoxville,United States,37.8,31.8,79.1,71.0,54.5,54.839999999999996,403
Concordia University,Canada,23.9,30.6,65.2,66.5,87.5,54.739999999999995,404
Kyungpook National University (KNU),South Korea,33.8,39.3,51.1,96.3,53.2,54.739999999999995,405
Autonomous University of Madrid,Spain,40.1,31.1,75.2,66.4,60.7,54.7,406
Lebanese American University,Lebanon,37.2,30.6,91.4,29.0,85.2,54.68000000000001,407
University of Milan,Italy,35.4,32.8,86.9,70.8,46.7,54.519999999999996,408
University of Canberra,Australia,23.1,31.4,74.5,52.9,90.2,54.42,409
University of Houston,United States,32.5,26.8,67.3,68.2,77.0,54.36,410
University of Tsukuba,Japan,50.5,43.8,49.6,77.1,50.6,54.32000000000001,411
TU Dortmund University,Germany,35.5,42.1,60.1,76.9,56.9,54.3,412
Daegu Gyeongbuk Institute of Science and Technology (DGIST),South Korea,48.0,38.5,66.4,88.3,29.9,54.21999999999999,413
Tokyo Medical and Dental University (TMDU),Japan,46.4,34.2,55.5,96.9,37.8,54.160000000000004,414
Hebrew University of Jerusalem,Israel,45.1,37.2,70.9,72.0,45.6,54.160000000000004,415
University of Texas at Dallas,United States,28.5,26.7,79.4,73.0,62.9,54.1,416
Ajou University,South Korea,35.6,38.7,53.9,94.2,47.8,54.040000000000006,417
University of Toulouse,France,30.4,31.1,65.7,68.7,73.9,53.96,418
National and Kapodistrian University of Athens,Greece,22.2,24.4,78.0,89.1,55.8,53.9,419
University of Hull,United Kingdom,23.6,24.2,77.4,55.5,88.6,53.85999999999999,420
Hamburg University of Technology,Germany,36.5,26.8,59.3,85.5,61.1,53.839999999999996,421
Université du Québec,Canada,31.7,34.2,56.5,71.8,74.9,53.82000000000001,422
École Centrale de Lyon,France,37.2,27.8,35.2,90.2,78.5,53.779999999999994,423
University of Turku,Finland,31.7,35.6,82.6,65.6,53.0,53.7,424
University of Plymouth,United Kingdom,22.8,22.0,77.0,65.0,81.6,53.67999999999999,425
University of Coimbra,Portugal,30.8,40.3,61.4,80.2,55.3,53.6,426
Taipei Medical University,Taiwan,46.0,32.3,57.6,84.2,47.9,53.6,427
University of Bordeaux,France,36.8,30.5,68.3,65.8,66.5,53.58,428
Zayed University,United Arab Emirates,27.8,26.5,85.9,53.4,74.3,53.58,429
University of Lisbon,Portugal,30.4,39.6,66.4,71.4,60.0,53.56,430
University of Bradford,United Kingdom,20.4,22.0,76.1,57.5,91.7,53.54,431
Southern Medical University,China,45.0,39.0,81.5,71.0,31.0,53.5,432
University of Marburg,Germany,36.7,31.8,70.0,68.5,60.5,53.5,433
Lincoln University (New Zealand),New Zealand,31.5,26.2,63.3,56.6,89.8,53.48,434
Universiti Kebangsaan Malaysia,Malaysia,45.5,28.9,62.2,49.6,81.1,53.46,435
Free University of Bozen-Bolzano,Italy,33.3,23.1,85.9,46.1,78.9,53.46,436
University of Cyprus,Cyprus,27.4,26.0,74.1,63.2,76.2,53.379999999999995,437
Universiti Sains Malaysia,Malaysia,42.2,28.5,63.5,56.6,75.2,53.2,438
University of Genoa,Italy,37.3,30.6,74.8,76.3,46.9,53.17999999999999,439
University of Iceland,Iceland,24.5,35.2,68.6,82.1,55.3,53.14,440
Carleton University,Canada,22.1,30.4,65.2,70.4,77.5,53.120000000000005,441
Northumbria University,United Kingdom,23.1,25.0,80.0,47.3,90.2,53.11999999999999,442
Shanghai University,China,33.1,38.6,63.8,89.0,40.9,53.08,443
Bilkent University,Turkey,29.0,26.8,50.1,92.5,66.8,53.04,444
University of Limerick,Ireland,26.2,33.2,60.9,67.0,77.8,53.02,445
National Cheng Kung University (NCKU),Taiwan,35.6,38.6,49.4,99.8,41.6,53.0,446
Claude Bernard University Lyon 1,France,39.8,26.9,63.3,71.1,63.6,52.94,447
University of the West of Scotland,United Kingdom,24.0,16.1,69.0,66.0,89.6,52.94,448
University of Canterbury,New Zealand,27.5,27.8,62.7,64.0,82.6,52.92,449
Victoria University,Australia,23.5,29.7,74.5,62.1,74.5,52.86,450
Mohammed VI Polytechnic University,Morocco,37.8,32.6,69.2,52.4,72.2,52.84000000000001,451
Keele University,United Kingdom,22.0,22.8,72.7,63.6,83.1,52.839999999999996,452
National Institute of Applied Sciences of Lyon (INSA Lyon),France,37.1,24.2,37.9,92.7,71.9,52.75999999999999,453
Victoria University of Wellington,New Zealand,26.3,32.4,70.6,54.4,79.9,52.720000000000006,454
TU Braunschweig,Germany,35.3,25.5,59.8,83.7,59.1,52.68000000000001,455
Southern Cross University,Australia,22.5,28.1,67.5,63.0,82.2,52.660000000000004,456
University of Colorado Denver/Anschutz Medical Campus,United States,34.1,25.4,93.6,73.1,36.9,52.61999999999999,457
University of Stirling,United Kingdom,23.3,25.6,79.8,42.5,91.8,52.6,458
University of Nebraska-Lincoln,United States,33.9,31.5,66.9,66.8,63.6,52.540000000000006,459
Colorado School of Mines,United States,36.1,35.6,63.5,85.4,41.9,52.5,460
National Taiwan Normal University,Taiwan,34.7,31.7,54.9,86.9,54.2,52.480000000000004,461
George Mason University,United States,28.9,28.8,81.2,62.9,60.5,52.46,462
Wake Forest University,United States,38.7,23.2,78.0,83.0,39.3,52.44,463
University of Porto,Portugal,31.3,36.9,69.8,66.4,57.4,52.36,464
Auckland University of Technology,New Zealand,22.5,21.4,81.5,44.4,91.8,52.32000000000001,465
Istanbul Technical University,Turkey,36.0,40.1,50.2,91.5,43.6,52.28000000000001,466
Charles University,Czechia,37.0,33.0,64.5,61.4,65.5,52.279999999999994,467
Bournemouth University,United Kingdom,24.0,20.8,87.8,39.7,88.8,52.220000000000006,468
Donghua University,China,30.1,23.9,75.0,91.7,40.4,52.21999999999999,469
University of Central Florida,United States,31.6,36.9,77.2,77.3,38.0,52.2,470
Ewha Womans University,South Korea,36.6,36.9,47.9,88.4,51.0,52.160000000000004,471
Iran University of Science and Technology,Iran,33.5,36.3,78.8,84.2,27.8,52.120000000000005,472
Near East University,Northern Cyprus,24.0,19.3,70.0,54.1,93.1,52.1,473
"Asia University, Taiwan",Taiwan,17.4,36.5,83.5,72.7,50.3,52.080000000000005,474
University of South Carolina-Columbia,United States,35.5,24.2,76.9,64.5,59.3,52.080000000000005,475
NOVA University of Lisbon,Portugal,30.2,34.1,60.2,72.9,63.0,52.08,476
École Nationale des Travaux Publics de l'État (ENTPE),France,37.3,37.7,37.1,75.7,72.0,51.96,477
University of Manitoba,Canada,28.1,34.4,73.1,63.3,60.4,51.85999999999999,478
Pusan National University,South Korea,38.7,39.0,47.8,93.0,40.7,51.839999999999996,479
Tulane University,United States,43.2,23.1,74.4,66.1,52.3,51.82000000000001,480
Pontificia Universidad Católica de Chile,Chile,29.3,35.2,61.6,74.4,58.5,51.8,481
"University of California, Merced",United States,29.0,24.0,86.6,68.0,51.2,51.760000000000005,482
Université Côte d'Azur,France,27.2,22.6,64.1,64.4,80.3,51.720000000000006,483
University of Kentucky,United States,42.2,29.9,69.3,71.5,45.4,51.65999999999999,484
University of Passau,Germany,32.7,37.0,58.9,69.7,59.2,51.5,485
University of Klagenfurt,Austria,32.8,20.6,67.0,49.6,87.0,51.4,486
Boğaziçi University,Turkey,28.0,29.7,62.0,84.3,52.9,51.379999999999995,487
Middlesex University,United Kingdom,24.3,18.2,78.3,42.3,93.6,51.339999999999996,488
Kermanshah University of Medical Sciences,Iran,49.0,23.4,70.7,55.3,58.0,51.28000000000001,489
Verona University,Italy,33.2,28.9,81.3,68.0,44.6,51.2,490
Alfaisal University,Saudi Arabia,23.3,17.1,71.1,47.1,97.4,51.2,491
American University of Sharjah,United Arab Emirates,23.9,24.0,65.5,54.6,88.0,51.2,492
University of Turin,Italy,24.2,31.7,82.2,73.7,44.1,51.18,493
University of Brighton,United Kingdom,19.2,19.4,66.4,64.1,86.8,51.17999999999999,494
University of New Brunswick UNB,Canada,22.1,23.6,61.9,67.1,81.2,51.17999999999999,495
University of Oregon,United States,32.6,29.6,79.0,72.6,42.1,51.17999999999999,496
University of Greifswald,Germany,35.1,33.4,73.4,61.7,52.1,51.14,497
Lehigh University,United States,34.2,23.0,58.8,67.3,72.3,51.120000000000005,498
University of Kaiserslautern,Germany,34.9,30.3,55.3,83.0,51.8,51.06,499
"Colorado State University, Fort Collins",United States,36.3,31.8,70.7,71.1,45.3,51.04,500
Maynooth University,Ireland,21.3,33.8,71.5,51.9,76.6,51.019999999999996,501
University of Huddersfield,United Kingdom,26.6,24.7,69.8,44.2,89.6,50.980000000000004,502
Roskilde University,Denmark,21.7,34.1,67.0,76.5,55.6,50.980000000000004,503
University of Greenwich,United Kingdom,18.2,18.0,83.6,37.4,97.7,50.98,504
SUNY University at Albany,United States,28.4,30.1,69.0,68.4,58.7,50.92,505
Charles Darwin University,Australia,22.7,30.3,76.2,44.8,80.6,50.92,506
Prince Sultan University (PSU),Saudi Arabia,21.1,22.8,90.5,35.5,84.6,50.9,507
Beijing University of Chemical Technology,China,25.8,27.7,85.1,93.1,22.7,50.879999999999995,508
Bar-Ilan University,Israel,32.5,34.2,53.5,86.2,47.7,50.82000000000001,509
University of Mons,Belgium,25.8,31.4,59.5,64.2,73.0,50.78,510
Åbo Akademi University,Finland,26.8,32.1,62.1,64.3,68.6,50.78,511
Montanuniversität Leoben,Austria,36.4,22.8,37.9,79.9,76.9,50.78,512
Syracuse University,United States,33.8,30.8,69.5,65.6,54.2,50.779999999999994,513
University of Neuchâtel,Switzerland,31.8,25.7,63.9,46.5,85.9,50.760000000000005,514
National Yunlin University of Science and Technology,Taiwan,23.7,28.0,79.0,76.3,46.8,50.760000000000005,515
Mizzou - University of Missouri,United States,40.0,25.6,65.0,69.9,53.0,50.7,516
Edinburgh Napier University,United Kingdom,18.2,19.0,78.8,41.7,95.8,50.7,517
"Northeastern University, China",China,31.2,28.7,60.7,92.5,40.3,50.67999999999999,518
Yangzhou University,China,32.7,27.5,66.4,78.3,48.3,50.64,519
École des Mines de Saint-Étienne,France,42.6,31.5,32.5,76.8,69.8,50.64,520
Aberystwyth University,United Kingdom,25.7,21.9,63.2,57.0,85.3,50.620000000000005,521
Florida International University,United States,32.1,32.1,74.3,64.5,49.9,50.58,522
Jiangsu University,China,27.4,17.2,81.6,70.8,55.5,50.5,523
Al-Ahliyya Amman University,Jordan,18.5,18.9,74.2,51.3,89.6,50.49999999999999,524
"Soochow University, China",China,28.7,25.6,79.1,90.6,28.2,50.43999999999999,525
Paderborn University,Germany,32.3,38.8,53.7,78.0,49.3,50.42,526
Wayne State University,United States,38.5,21.8,72.0,77.7,41.8,50.36,527
Polytechnic University of Valencia,Spain,29.8,25.5,52.9,85.7,57.7,50.31999999999999,528
University of Modena and Reggio Emilia,Italy,32.2,25.2,76.4,78.1,39.5,50.28,529
University of Nicosia,Cyprus,22.0,23.2,75.8,39.7,90.5,50.239999999999995,530
The University of Aizu,Japan,29.8,13.4,68.1,57.0,82.8,50.220000000000006,531
University of Graz,Austria,31.9,23.5,64.2,49.6,81.8,50.2,532
UWE Bristol (University of the West of England),United Kingdom,18.7,15.1,80.2,55.0,81.9,50.18,533
Australian Catholic University,Australia,16.7,25.4,97.1,25.0,86.1,50.059999999999995,534
"China University of Petroleum, Beijing",China,31.6,37.0,58.8,94.0,28.8,50.04,535
"Goldsmiths, University of London",United Kingdom,26.5,23.7,76.8,40.9,82.1,50.0,536
Virginia Commonwealth University,United States,36.9,23.3,80.6,73.2,35.7,49.94,537
SOAS University of London,United Kingdom,40.6,34.5,63.9,29.2,81.2,49.879999999999995,538
University of Valencia,Spain,27.9,27.0,72.0,68.6,53.8,49.86,539
London South Bank University,United Kingdom,18.6,12.8,74.3,48.6,94.9,49.84,540
University of Minho,Portugal,27.6,32.7,57.6,81.5,49.6,49.8,541
Al Ain University,United Arab Emirates,34.9,38.0,59.7,17.3,98.7,49.720000000000006,542
Tehran University of Medical Sciences,Iran,49.4,25.3,54.2,77.3,42.2,49.67999999999999,543
Ca’ Foscari University of Venice,Italy,36.7,37.9,52.8,54.6,66.3,49.660000000000004,544
Universitat Politècnica de Catalunya,Spain,33.4,20.8,58.0,74.7,61.3,49.64,545
Chulalongkorn University,Thailand,36.0,32.4,53.0,81.6,45.0,49.6,546
Princess Nourah bint Abdulrahman University,Saudi Arabia,27.0,19.8,76.3,32.0,92.6,49.54,547
Paris Lodron Universität Salzburg,Austria,32.1,21.1,53.6,47.1,93.5,49.480000000000004,548
Ajman University,United Arab Emirates,25.9,25.2,78.9,18.1,99.3,49.48,549
Sunway University,Malaysia,23.9,21.2,86.4,32.7,83.1,49.459999999999994,550
Universiti Tenaga Nasional (UNITEN),Malaysia,25.6,17.5,64.1,75.6,64.2,49.4,551
Arabian Gulf University,Bahrain,44.5,12.7,68.9,27.3,93.5,49.38,552
Gachon University,South Korea,34.5,25.7,57.0,71.4,58.2,49.36,553
University of Eastern Finland,Finland,28.8,29.8,72.5,66.5,49.1,49.339999999999996,554
Jinan University (China),China,25.8,24.3,76.0,60.1,60.3,49.3,555
The Catholic University of Korea,South Korea,31.7,39.2,48.3,87.8,39.5,49.3,556
Universiti Putra Malaysia,Malaysia,36.1,28.8,51.5,51.0,79.0,49.28,557
University of Lille,France,31.8,24.0,57.4,65.5,67.7,49.279999999999994,558
University of Pretoria,South Africa,29.8,34.3,56.4,64.1,61.7,49.260000000000005,559
National Sun Yat-Sen University,Taiwan,32.0,34.6,42.9,88.3,48.4,49.24,560
Auburn University,United States,35.0,26.7,56.8,69.9,57.6,49.2,561
CY Cergy Paris University,France,25.3,25.0,46.2,57.7,91.8,49.2,562
University of the Sunshine Coast,Australia,21.0,28.2,70.7,56.9,69.1,49.18,563
Georgia State University,United States,31.3,25.8,71.5,61.9,55.1,49.12,564
Liverpool John Moores University,United Kingdom,19.3,19.5,79.7,45.4,81.4,49.06,565
Ulster University,United Kingdom,21.7,22.4,63.2,52.7,84.9,48.980000000000004,566
University of Ulsan,South Korea,29.5,27.3,73.1,90.6,24.2,48.93999999999999,567
Nottingham Trent University,United Kingdom,19.9,13.9,83.3,37.0,90.4,48.9,568
University of Tehran,Iran,37.0,33.7,72.5,65.6,35.7,48.9,569
De Montfort University,United Kingdom,17.7,15.7,73.3,44.0,93.7,48.879999999999995,570
Hiroshima University,Japan,39.1,30.4,46.4,76.2,51.9,48.800000000000004,571
University of Lorraine,France,27.8,20.1,57.4,67.7,70.8,48.760000000000005,572
University of Wuppertal,Germany,31.2,31.4,61.4,64.0,55.2,48.64,573
Isfahan University of Technology,Iran,33.9,29.7,61.4,83.4,34.6,48.6,574
Nazarbayev University,Kazakhstan,24.3,29.2,70.5,45.3,73.5,48.56,575
Universiti Pendidikan Sultan Idris,Malaysia,36.6,26.4,50.4,53.4,75.9,48.540000000000006,576
University of Alaska Fairbanks,United States,34.0,31.0,55.3,51.9,70.3,48.5,577
Nantes Université,France,27.2,22.4,66.6,66.1,60.2,48.5,578
University of Siegen,Germany,31.6,37.0,60.2,56.4,57.2,48.480000000000004,579
Universiti Utara Malaysia,Malaysia,38.4,28.6,66.9,27.3,80.9,48.42,580
Toronto Metropolitan University,Canada,19.5,31.4,59.9,67.7,63.3,48.36,581
Umm Al-Qura University,Saudi Arabia,35.2,24.1,75.4,35.1,71.8,48.32000000000001,582
Central Queensland University,Australia,19.1,25.3,83.0,43.9,70.3,48.32000000000001,583
American University of the Middle East,Kuwait,36.2,25.0,69.5,25.3,85.6,48.32,584
University of Rennes 1,France,33.1,20.4,53.2,71.4,62.5,48.120000000000005,585
Saint Louis University,United States,42.7,17.9,76.9,60.3,42.8,48.120000000000005,586
Anglia Ruskin University (ARU),United Kingdom,20.6,15.0,82.4,29.1,93.3,48.08,587
University of Vaasa,Finland,23.9,27.7,90.2,31.8,66.7,48.06,588
Bond University,Australia,27.7,21.7,85.5,24.7,80.5,48.019999999999996,589
"UEES, Espiritu Santo University",Ecuador,36.8,14.9,58.3,37.7,92.0,47.94,590
Tallinn University of Technology,Estonia,28.3,20.2,63.3,58.9,69.0,47.94,591
University of Ferrara,Italy,31.7,25.4,73.6,65.8,43.0,47.9,592
University of L’Aquila,Italy,33.4,23.6,66.1,77.8,38.3,47.839999999999996,593
Yeungnam University,South Korea,24.3,21.2,73.8,56.9,62.9,47.82,594
Coventry University,United Kingdom,21.6,15.3,68.2,39.0,94.9,47.800000000000004,595
Worcester Polytechnic Institute,United States,30.0,22.5,62.9,66.0,57.2,47.720000000000006,596
The University of Tulsa,United States,37.3,17.6,72.5,63.6,47.5,47.7,597
University of Nebraska Medical Center,United States,37.4,16.3,78.8,65.9,39.9,47.660000000000004,598
Nanjing University of Aeronautics and Astronautics,China,29.9,34.1,52.7,96.7,24.9,47.660000000000004,599
University of Hertfordshire,United Kingdom,18.6,13.2,72.0,41.7,92.7,47.64,600
Manchester Metropolitan University,United Kingdom,19.8,18.7,78.8,39.0,81.7,47.6,601
Kobe University,Japan,39.4,27.3,45.5,86.2,39.2,47.52,602
Polytechnic University of Bari,Italy,24.4,28.8,73.1,69.1,42.0,47.48,603
Tecnológico de Monterrey,Mexico,23.3,23.4,61.0,62.5,66.3,47.3,604
"University of Maryland, Baltimore County",United States,28.0,25.1,61.1,66.3,55.9,47.28,605
University of Jyväskylä,Finland,29.4,34.2,76.6,47.5,48.6,47.26,606
Federal University of Rio de Janeiro,Brazil,41.3,37.3,37.0,84.0,36.4,47.2,607
Complutense University of Madrid,Spain,40.6,32.4,58.9,56.5,47.2,47.120000000000005,608
Chang Gung University,Taiwan,28.3,34.8,48.3,95.3,28.7,47.08,609
UEH University,Vietnam,13.3,26.8,93.2,53.6,48.5,47.08,610
University of Salford,United Kingdom,19.7,15.3,62.5,53.7,84.2,47.08,611
University of Trieste,Italy,33.0,26.4,70.8,54.8,50.4,47.08,612
University of Texas at Arlington,United States,25.4,23.4,64.8,64.8,56.7,47.019999999999996,613
Ben-Gurion University of the Negev,Israel,35.8,31.7,59.9,72.0,35.5,46.980000000000004,614
National University of Sciences and Technology,Pakistan,26.0,20.4,73.2,61.0,54.3,46.98,615
Xidian University,China,27.5,25.5,63.6,92.6,25.7,46.98,616
University of KwaZulu-Natal,South Africa,32.2,37.1,62.8,46.0,56.5,46.92,617
East China University of Science and Technology,China,29.7,26.6,61.0,93.8,23.2,46.86,618
Arts et Métiers,France,31.0,20.1,38.4,75.9,68.2,46.720000000000006,619
University of Namur,Belgium,22.3,27.1,52.7,60.8,70.7,46.720000000000006,620
Eastern Mediterranean University,Northern Cyprus,23.1,14.8,74.8,35.9,84.9,46.7,621
Oklahoma State University,United States,35.0,20.2,61.5,60.9,55.9,46.7,622
Louisiana State University,United States,34.3,22.1,65.4,65.5,46.1,46.68,623
Rovira i Virgili University,Spain,28.2,25.2,66.0,54.1,59.8,46.660000000000004,624
Shoolini University of Biotechnology and Management Sciences,India,29.9,21.3,87.2,22.6,71.4,46.480000000000004,625
University of Messina,Italy,32.8,28.3,76.0,61.5,33.8,46.48,626
UiT The Arctic University of Norway,Norway,27.9,23.0,66.9,48.7,65.7,46.44,627
Juntendo University,Japan,37.7,17.4,68.6,83.0,25.4,46.42,628
Majmaah University,Saudi Arabia,28.3,25.7,64.7,36.7,76.0,46.28,629
Kansas State University,United States,33.6,22.7,53.4,66.7,54.8,46.239999999999995,630
University of Arkansas,United States,29.4,31.9,68.1,65.4,36.4,46.239999999999995,631
Örebro University,Sweden,20.7,23.9,80.3,50.6,55.3,46.160000000000004,632
Saveetha Institute of Medical and Technical Sciences,India,34.0,16.0,88.6,19.4,72.5,46.1,633
Technische Universität Ilmenau,Germany,33.2,22.4,33.7,76.9,63.6,45.96,634
University of Lincoln,United Kingdom,20.2,18.7,75.9,31.5,83.4,45.940000000000005,635
Applied Science Private University,Jordan,22.0,17.7,84.2,20.5,85.2,45.92,636
University of Westminster,United Kingdom,18.7,16.8,58.5,46.8,88.1,45.78,637
Nanjing Tech University,China,23.3,17.1,70.0,82.9,35.5,45.760000000000005,638
ISCTE-University Institute of Lisbon,Portugal,29.2,35.2,56.0,56.0,52.3,45.739999999999995,639
Rush University,United States,44.0,15.4,78.7,61.7,28.7,45.7,640
Keio University,Japan,37.0,27.5,48.4,75.0,40.5,45.68,641
Anna University,India,36.9,28.7,76.7,65.8,20.2,45.660000000000004,642
Kingston University,United Kingdom,20.0,15.5,53.1,48.4,91.0,45.6,643
University of Granada,Spain,28.8,26.4,62.2,55.2,55.1,45.540000000000006,644
Leuphana University of Lüneburg,Germany,25.7,26.6,83.8,28.5,63.1,45.54,645
Universiti Brunei Darussalam,Brunei Darussalam,28.1,30.4,70.4,26.0,72.4,45.46,646
Jiangnan University,China,26.8,24.1,62.3,91.6,22.5,45.46,647
Sultan Qaboos University,Oman,29.4,20.4,64.7,39.0,73.7,45.44,648
University of Salerno,Italy,30.6,26.9,72.5,59.6,37.6,45.44,649
Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil,35.8,33.5,39.7,74.7,43.2,45.379999999999995,650
Texas Tech University,United States,30.1,21.2,56.4,60.8,58.2,45.339999999999996,651
University of Toledo,United States,36.4,17.5,53.3,62.6,56.8,45.31999999999999,652
Mississippi State University,United States,28.3,20.5,62.2,64.0,51.3,45.260000000000005,653
University of North Carolina at Charlotte,United States,23.3,21.4,79.3,62.3,39.9,45.24,654
Zhejiang University of Technology,China,21.4,23.1,65.3,85.8,30.5,45.22,655
Czech University of Life Sciences Prague (CZU),Czechia,21.8,16.8,60.0,48.6,78.8,45.2,656
University of Indonesia,Indonesia,45.6,23.9,33.3,59.0,64.2,45.2,657
University of Crete,Greece,20.0,25.4,70.5,64.0,46.1,45.2,658
University of Cagliari,Italy,33.1,22.6,67.0,62.1,41.0,45.160000000000004,659
Yuan Ze University,Taiwan,19.8,26.2,46.8,79.5,53.5,45.160000000000004,660
Marche Polytechnic University,Italy,23.7,22.9,75.0,67.6,36.5,45.14,661
Florida Atlantic University,United States,22.7,22.8,61.1,63.3,55.8,45.14,662
Imam Abdulrahman Bin Faisal University,Saudi Arabia,32.9,20.1,75.1,21.8,75.6,45.1,663
