University Name,Country,THE Rank,QS Rank,THE Overall Score,QS Overall Score,Academic Reputation,Employer Reputation,Teaching Score,Research Score,THE Citation Score,QS Citation Score,Industry Income,Faculty Student Score,Student Staff Ratio,Number of Students,International Students %,International Faculty Score,International Students Score,International Research Network,International Outlook,Employment Outcomes,Sustainability Score
Johns Hopkins University,United States,15,28,91.1,84.5,87.3,59.7,84.4,92.3,97.2,89.4,100.0,100.0,4.1,15772.0,0.28,64.4,91.4,98.1,84.2,74.5,84.6
"University of California, Los Angeles",United States,18,29,90.1,83.8,100.0,99.8,85.7,91.9,96.4,84.8,92.3,36.6,9.6,42634.0,0.15,43.4,24.8,89.8,74.3,97.0,91.2
McGill University,Canada,49,30,76,83.7,93.7,87.6,62.3,72.3,88.8,62.1,76.1,64.0,11.9,30821.0,0.29,88.9,93.3,86.2,92.5,92.5,94.2
University of Manchester,United Kingdom,51,32,75.6,82.2,95.4,98.0,61.4,67.1,93.1,49.1,73.1,53.8,15.6,40725.0,0.45,93.5,99.4,99.7,95.6,71.9,92.3
University of Michigan-Ann Arbor,United States,23,33,87.4,81.7,98.3,89.9,84.7,87.4,95.5,56.2,80.7,82.2,8.1,45783.0,0.16,67.0,27.6,95.4,69.0,94.3,83.7
The Australian National University,Australia,67,34,72.6,81.5,93.2,70.2,55.9,68.0,86.6,92.8,82.0,34.9,15.1,17293.0,0.48,100.0,93.3,78.5,94.8,43.9,87.4
University of British Columbia,Canada,41,34,78,81.5,98.2,93.5,62.5,76.6,90.5,57.0,76.7,44.4,19.4,58987.0,0.34,96.4,74.1,96.3,95.0,60.1,99.9
École Polytechnique Fédérale de Lausanne,Switzerland,33,36,81.4,80.4,84.6,59.9,74.5,73.2,90.3,98.0,99.8,92.4,13.5,12543.0,0.64,100.0,100.0,65.6,95.8,19.4,42.3
Technical University of Munich,Germany,30,37,82.5,80,83.9,98.2,69.8,85.1,90.0,59.6,100.0,88.8,44.4,35506.0,0.39,76.5,97.3,86.7,83.1,25.0,84.8
Institut Polytechnique de Paris,France,71,38,71.3,79.5,44.8,99.6,71.0,61.6,70.8,93.8,98.8,97.3,6.8,6073.0,0.42,98.5,98.3,76.9,97.1,90.3,72.5
New York University,United States,27,38,83.5,79.5,95.9,98.5,73.2,84.0,94.9,26.7,75.4,95.5,11.8,48461.0,0.42,26.4,95.0,85.4,80.7,99.7,98.3
Paris Sciences et Lettres – PSL Research University Paris,France,40,,78.5,,10.95,9.5,75.7,72.8,83.2,10.4,99.7,16.85,15.0,16120.0,0.22,13.5,10.25,6.95,81.6,11.8,8.4
Kings College London,United Kingdom,38,40,79,79.3,89.5,82.3,59.8,75.1,97.7,61.1,74.2,64.6,13.9,32835.0,0.53,98.8,100.0,99.2,97.5,34.4,81.1
Seoul National University,South Korea,62,41,73.4,78.5,99.0,98.2,74.2,75.3,74.6,64.9,100.0,85.1,16.1,28620.0,0.13,11.5,14.5,36.9,43.7,100.0,73.8
Monash University,Australia,54,42,75.2,78.2,88.4,75.2,55.3,67.8,94.7,88.4,99.7,9.6,43.1,58460.0,0.38,100.0,100.0,86.8,91.1,61.0,71.8
University of Queensland,Australia,70,43,72,78.1,87.1,73.7,52.9,64.3,89.1,87.0,99.8,21.6,39.1,42847.0,0.42,100.0,100.0,95.0,94.0,44.4,73.1
Zhejiang University,China,55,44,75,77.8,73.8,95.7,70.2,75.3,78.7,97.6,99.0,66.5,12.0,48169.0,0.16,97.7,26.5,74.7,65.5,37.7,51.5
The London School of Economics and Political Science,United Kingdom,46,45,76.8,76.9,67.7,96.1,59.5,73.5,95.4,80.2,55.9,39.6,12.6,11945.0,0.72,100.0,100.0,32.4,94.1,98.6,97.8
Kyoto University,Japan,55,46,75,76.3,98.7,99.1,85.4,84.3,60.0,49.3,100.0,94.7,9.0,21817.0,0.11,14.9,20.8,57.3,45.7,53.2,88.4
The Chinese University of Hong Kong,Hong Kong SAR,53,47,75.4,76.2,88.4,46.3,59.1,61.5,97.6,92.3,95.9,60.0,18.8,18290.0,0.25,100.0,77.1,32.7,93.6,78.6,61.3
Delft University of Technology,Netherlands,48,47,76.3,76.2,73.0,79.0,66.7,78.2,76.5,84.9,100.0,36.9,15.9,21262.0,0.3,100.0,89.3,91.4,92.8,42.1,98.4
Universität Heidelberg,Germany,47,,76.7,,10.95,9.5,67.7,64.3,94.6,10.4,99.3,16.85,13.3,19315.0,0.2,13.5,10.25,6.95,76.4,11.8,8.4
Northwestern University,United States,28,47,83.2,76.2,83.8,60.2,72.3,78.8,97.8,70.3,99.7,98.9,13.1,18894.0,0.18,48.2,44.2,79.2,75.9,97.7,78.0
Fudan University,China,44,50,77.5,74.4,84.7,89.8,76.5,75.3,83.5,72.4,96.0,84.5,12.6,38101.0,0.09,88.3,33.0,22.7,56.1,49.6,43.8
Karolinska Institute,Sweden,50,,75.9,,10.95,9.5,58.9,67.9,95.3,10.4,96.0,16.85,9.9,8085.0,0.27,13.5,10.25,6.95,85.7,11.8,8.4
Shanghai Jiao Tong University,China,43,51,77.7,74.3,83.7,83.3,76.6,82.5,75.4,99.4,100.0,54.7,12.6,38472.0,0.09,39.2,35.5,38.3,60.6,55.5,44.1
Carnegie Mellon University,United States,24,52,86.3,73.7,71.2,75.3,75.0,84.6,98.9,99.9,87.3,49.1,11.9,13562.0,0.44,46.6,98.2,57.4,85.5,60.0,47.2
University of Amsterdam,Netherlands,61,53,73.6,73.4,83.6,44.2,55.0,63.1,96.7,98.1,77.6,21.2,13.2,28649.0,0.36,92.4,79.9,97.4,93.2,49.9,64.8
LMU Munich,Germany,38,54,79,72.5,92.7,83.5,65.3,76.8,92.2,51.4,100.0,46.7,33.5,34622.0,0.18,73.3,37.7,94.4,76.9,48.5,77.3
University of Bristol,United Kingdom,81,55,69.8,72.4,74.9,84.7,48.7,56.5,97.3,64.7,72.3,47.3,14.8,27335.0,0.31,85.5,86.8,84.4,92.5,39.6,81.3
KAIST,South Korea,83,56,69.2,72.2,89.9,88.8,67.1,65.8,77.4,97.7,100.0,66.2,10.7,10130.0,0.08,22.3,11.6,10.6,41.6,41.8,14.2
Duke University,United States,26,57,83.9,72,85.7,69.3,79.3,76.1,96.2,40.2,100.0,100.0,3.9,15527.0,0.18,16.8,52.2,90.0,74.8,89.3,95.0
University of Texas at Austin,United States,52,58,75.5,71.8,93.5,83.2,66.0,75.7,91.0,86.7,81.4,8.9,16.4,48558.0,0.08,9.3,11.0,79.4,47.3,70.0,77.7
Sorbonne University,France,75,59,70.5,71.7,88.6,53.2,64.7,60.8,83.7,85.4,69.5,43.3,14.5,41527.0,0.22,35.2,49.8,100.0,78.8,39.5,75.8
The Hong Kong University of Science and Technology,Hong Kong SAR,64,60,73,71.1,83.3,42.6,54.0,62.1,92.9,99.1,100.0,53.6,19.9,9794.0,0.3,100.0,91.4,5.3,95.5,50.3,31.0
Katholieke Universiteit Leuven,Belgium,45,61,77,70.1,84.6,42.4,60.1,74.9,91.9,92.7,100.0,7.0,37.3,49435.0,0.19,93.1,45.7,99.9,79.6,56.1,75.6
"University of California, San Diego",United States,34,62,81,70,89.1,50.4,66.0,78.4,97.6,74.3,100.0,49.6,12.0,40596.0,0.19,68.1,51.3,94.9,74.3,17.7,72.5
University of Washington,United States,25,63,85.3,69.2,84.0,50.4,78.0,83.5,98.2,93.5,77.6,19.1,10.1,49486.0,0.16,19.0,33.2,94.0,73.2,70.0,88.1
University of Illinois Urbana-Champaign,United States,42,64,77.9,69.1,85.0,70.8,69.5,81.5,85.2,86.5,85.3,7.5,19.6,50250.0,0.23,11.1,49.2,76.4,64.0,66.0,83.5
Universiti Malaya,Malaysia,251-300,65,53.1-55.8,68.7,81.2,96.0,43.4,35.4,72.6,32.7,52.5,71.6,10.2,19346.0,0.22,52.8,58.9,79.3,84.7,28.1,93.4
The Hong Kong Polytechnic University,Hong Kong SAR,87,65,68.2,68.7,68.1,30.2,45.7,54.1,94.5,88.8,87.4,68.0,30.6,20034.0,0.3,100.0,87.4,42.0,96.3,49.2,92.8
University of Warwick,United Kingdom,106,67,66.1,68.6,71.3,88.0,48.1,52.1,89.0,49.0,70.5,37.3,14.4,24905.0,0.44,98.2,99.3,89.7,96.4,47.2,62.5
The University of Auckland,New Zealand,150,68,62,68,81.6,40.8,39.7,45.7,88.3,61.7,95.8,19.3,24.4,35663.0,0.31,100.0,91.6,64.4,89.9,94.3,99.6
National Taiwan University,Taiwan,152,69,61.9,67.9,92.8,91.3,57.3,54.8,70.8,47.0,99.9,30.9,11.1,24744.0,0.13,17.7,20.0,33.2,51.2,99.7,95.6
City University of Hong Kong,Hong Kong SAR,82,70,69.3,67.7,59.6,27.3,52.2,52.4,91.1,99.9,100.0,86.6,13.2,9076.0,0.67,100.0,100.0,17.4,98.7,29.5,82.1
Paris-Saclay University,France,58,71,74.4,67.6,58.9,99.1,70.9,66.1,82.4,45.8,92.4,99.8,13.0,31662.0,0.24,39.1,60.8,98.7,78.6,34.3,73.6
University of Western Australia,Australia,143,72,62.7,66.9,56.2,44.6,37.7,48.6,88.7,98.9,97.2,16.5,22.4,19382.0,0.26,100.0,99.8,90.0,93.5,66.0,70.1
KTH Royal Institute of Technology,Sweden,97,73,66.9,66.4,45.7,51.1,53.5,57.8,81.0,90.2,97.7,66.2,15.9,13269.0,0.26,93.2,68.1,80.7,82.5,56.9,96.1
Brown University,United States,64,73,73,66.4,58.3,42.4,69.8,59.6,89.7,85.9,69.3,77.8,10.3,9781.0,0.19,84.5,52.0,58.3,72.1,74.8,70.4
University of Leeds,United Kingdom,129,75,63.9,65.5,70.3,76.7,46.1,49.1,87.3,42.3,68.8,37.3,14.4,33450.0,0.32,85.2,90.0,98.7,94.6,37.8,90.9
University of Glasgow,United Kingdom,87,76,68.2,65.2,76.3,70.7,48.1,51.8,96.8,31.8,69.7,41.7,14.4,32270.0,0.43,96.0,99.5,90.0,96.1,26.7,99.5
Yonsei University,South Korea,76,76,70.4,65.2,80.0,96.3,68.1,64.3,79.3,36.2,99.9,87.4,13.9,18961.0,0.17,19.6,49.7,25.0,51.8,70.9,38.1
Durham University,United Kingdom,174,78,60.6,65.1,59.5,89.3,43.5,44.5,83.5,53.3,65.6,27.8,14.0,19575.0,0.32,97.5,86.9,86.2,95.8,29.2,97.6
Korea University,South Korea,201-250,79,55.9-58.6,64.7,82.2,94.0,48.6,46.6,72.0,36.6,99.7,81.0,16.3,22324.0,0.31,13.6,36.3,19.6,62.5,70.6,58.6
Osaka University,Japan,175,80,60.4,63.9,81.3,89.1,62.5,65.7,50.5,62.7,100.0,55.3,10.4,22274.0,0.1,28.6,13.2,26.7,51.0,23.4,58.6
Trinity College Dublin,Ireland,134,81,63.2,63.5,69.3,39.8,44.0,48.4,87.6,64.1,76.6,23.7,22.2,18778.0,0.34,99.8,92.5,82.2,91.4,70.6,75.6
University of Southampton,United Kingdom,97,81,66.9,63.5,51.5,51.2,48.9,50.1,92.7,71.4,73.1,52.8,13.0,19920.0,0.35,96.1,97.4,97.0,96.5,32.5,82.7
Pennsylvania State University,United States,122,83,65,63.1,77.5,63.0,53.1,58.7,83.7,62.9,70.4,28.4,14.2,45875.0,0.15,23.4,26.8,96.6,58.4,47.5,95.1
University of Birmingham,United Kingdom,101,84,66.6,63,67.5,75.7,46.1,49.3,95.5,38.2,72.1,41.3,15.2,32625.0,0.32,92.3,83.9,96.0,95.1,29.5,80.4
Universidade de São Paulo,Brazil,201-250,85,55.9-58.6,62.8,92.4,82.9,59.8,60.7,57.3,29.9,68.2,19.2,13.9,83182.0,0.02,6.0,2.3,90.9,42.5,89.7,96.1
University of Minnesota,United States,85,,68.7,,10.95,9.5,61.0,58.5,87.2,10.4,99.8,16.85,11.8,59556.0,0.09,13.5,10.25,6.95,48.3,11.8,8.4
Lund University,Sweden,106,85,66.1,62.8,69.3,47.5,46.7,56.6,86.6,37.7,99.8,50.2,12.0,30349.0,0.18,98.8,77.4,95.2,79.8,66.0,99.1
Purdue University West Lafayette,United States,86,,68.5,,10.95,9.5,64.0,65.3,71.8,10.4,84.3,16.85,18.3,42633.0,0.17,13.5,10.25,6.95,76.7,11.8,8.4
Ruprecht-Karls-Universität Heidelberg,Germany,,87,,62.2,78.3,52.0,25.8,17.2,52.4,38.2,41.0,99.7,16.3,16267.0,0.06,52.5,50.4,89.7,45.3,19.8,42.6
Lomonosov Moscow State University,Russia,95,87,67,62.2,81.2,78.3,87.5,75.2,33.9,4.6,91.1,99.8,9.6,32680.0,0.37,20.3,92.3,85.2,73.8,82.2,13.4
The University of Adelaide,Australia,111,89,65.8,62,54.2,36.5,42.4,50.6,92.8,87.1,95.0,16.2,36.4,23792.0,0.31,100.0,99.6,78.8,92.9,38.4,96.3
