university,year_QS,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count,University_Standard,year_THE,Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook,rank_prefix
Mahidol University,2022,255,38.1,https://www.topuniversities.com/universities/mahidol-university,Thailand,Nakhon Pathom,Asia,https://www.topuniversities.com/sites/default/files/mahidol-university_381_small.jpg,Public,Very High,7.0,"1,415",L,"3,850",Mahidol University,2022,601–800,Mahidol University,Thailand,32.0–37.9,33.5,22.4,42.8,76.1,46.1,
Tel Aviv University,2022,255,38.1,https://www.topuniversities.com/universities/tel-aviv-university,Israel,Tel Aviv,Asia,https://www.topuniversities.com/sites/default/files/tel-aviv-university_592560cf2aeae70239af4cde_small.jpg,Public,Very High,22.0,"1,294",L,"1,048",Tel Aviv University,2022,201–250,Tel Aviv University,Israel,50.4–53.9,40.6,51.7,68.4,43.1,56.4,
Sciences Po,2022,261,37.3,https://www.topuniversities.com/universities/sciences-po,France,Paris,Europe,https://www.topuniversities.com/sites/default/files/sciences-po-_592560cf2aeae70239af4c64_small.jpg,Public,Very High,6.0,"4,841",M,"1,808",Sciences Po,2022,401–500,Sciences Po,France,40.9–44.0,33.3,24.0,57.3,36.9,83.7,
Kyung Hee University,2022,264,37.2,https://www.topuniversities.com/universities/kyung-hee-university,South Korea,,Asia,https://www.topuniversities.com/sites/default/files/kyung-hee-university_592560cf2aeae70239af4bcd_small.jpg,Private,Very High,7.0,"4,715",L,"3,435",Kyung Hee University,2022,251–300,Kyung Hee University,South Korea,48.1–50.3,35.5,40.5,64.6,89.7,63.7,
Rutgers University–New Brunswick,2022,264,37.2,https://www.topuniversities.com/universities/rutgers-university-new-brunswick,United States,New Brunswick,North America,https://www.topuniversities.com/sites/default/files/rutgers-university-new-brunswick_538_small.jpg,Public,Very High,9.0,"7,965",XL,"5,009",Rutgers University–New Brunswick,2022,190,Rutgers University–New Brunswick,United States,54.5,46.6,47.5,70.4,47.2,52.8,=
University of Navarra,2022,266,37.1,https://www.topuniversities.com/universities/university-navarra,Spain,Pamplona,Europe,https://www.topuniversities.com/sites/default/files/university-of-navarra_592560cf2aeae70239af4c40_small.jpg,Private,Very High,9.0,"2,978",M,"1,175",University of Navarra,2022,251–300,University of Navarra,Spain,48.1–50.3,28.7,29.3,85.1,65.9,71.7,
Technical University of Darmstadt,2022,269,36.9,https://www.topuniversities.com/universities/technical-university-darmstadt,Germany,Darmstadt,Europe,https://www.topuniversities.com/sites/default/files/technische-universitt-darmstadt_628_small.jpg,Public,Very High,20.0,"3,979",L,804,Technical University of Darmstadt,2022,301–350,Technical University of Darmstadt,Germany,46.1–48.0,43.7,45.0,46.8,88.4,58.5,
Heriot-Watt University,2022,270,36.7,https://www.topuniversities.com/universities/heriot-watt-university,United Kingdom,Edinburgh,Europe,https://www.topuniversities.com/sites/default/files/heriot-watt-university_592560cf2aeae70239af4d5f_small.jpg,Public,Very High,12.0,"3,536",M,806,Heriot-Watt University,2022,501–600,Heriot-Watt University,United Kingdom,38.1–40.8,27.7,27.7,53.2,45.0,94.2,
Dalhousie University,2022,272,36.6,https://www.topuniversities.com/universities/dalhousie-university,Canada,Halifax,North America,https://www.topuniversities.com/sites/default/files/dalhousie-university_151_small.jpg,Public,Very High,14.0,"4,483",L,"1,150",Dalhousie University,2022,251–300,Dalhousie University,Canada,48.1–50.3,27.6,29.7,77.5,43.3,89.0,
University of Surrey,2022,272,36.6,https://www.topuniversities.com/universities/university-surrey,United Kingdom,Guildford,Europe,https://www.topuniversities.com/sites/default/files/university-of-surrey_584_small.jpg,Public,Very High,13.0,"5,556",L,"1,221",University of Surrey,2022,201–250,University of Surrey,United Kingdom,50.4–53.9,31.5,34.7,75.0,43.0,94.6,
Tufts University,2022,275,36.5,https://www.topuniversities.com/universities/tufts-university,United States,Medford,North America,https://www.topuniversities.com/sites/default/files/tufts-university_630_small.jpg,Private,Very High,8.0,"1,798",M,"1,459",Tufts University,2022,172,Tufts University,United States,55.8,45.6,33.0,91.6,39.5,50.4,=
Graz University of Technology,2022,277,36.4,https://www.topuniversities.com/universities/graz-university-technology,Austria,Graz,Europe,https://www.topuniversities.com/sites/default/files/graz-university-of-technology_1239_small.jpg,Public,Very High,5.0,"1,473",M,"1,427",Graz University of Technology,2022,601–800,Graz University of Technology,Austria,32.0–37.9,29.4,18.0,47.2,71.6,81.2,
King Saud University,2022,277,36.4,https://www.topuniversities.com/universities/king-saud-university,Saudi Arabia,Riyadh,Asia,https://www.topuniversities.com/sites/default/files/king-saud-university_1175_small.jpg,Public,Very High,9.0,"3,896",XL,"4,216",King Saud University,2022,351–400,King Saud University,Saudi Arabia,44.1–46.0,26.1,27.8,70.9,82.6,82.3,
Deakin University,2022,283,36.1,https://www.topuniversities.com/universities/deakin-university,Australia,Geelong,Oceania,https://www.topuniversities.com/sites/default/files/download-48x48.png,Public,Very High,23.0,"10,684",XL,"1,851",Deakin University,2022,251–300,Deakin University,Australia,48.1–50.3,26.5,32.3,79.3,42.8,89.2,
Massey University,2022,284,35.9,https://www.topuniversities.com/universities/massey-university,New Zealand,Palmerston North,Oceania,https://www.topuniversities.com/sites/default/files/massey-university_395_small.jpg,Public,Very High,9.0,"4,836",M,"1,209",Massey University,2022,601–800,Massey University,New Zealand,32.0–37.9,23.3,23.9,39.9,41.8,93.1,
University of Tsukuba,2022,285,35.6,https://www.topuniversities.com/universities/university-tsukuba,Japan,Tsukuba City,Asia,https://www.topuniversities.com/sites/default/files/university-of-tsukuba_592560cf2aeae70239af4cf7_small.jpg,Public,Very High,8.0,"2,358",L,"2,073",University of Tsukuba,2022,501–600,University of Tsukuba,Japan,38.1–40.8,43.6,38.3,37.9,48.1,42.5,
United Arab Emirates University,2022,288,35.4,https://www.topuniversities.com/universities/united-arab-emirates-university,United Arab Emirates,Al Ain,Asia,https://www.topuniversities.com/sites/default/files/united-arab-emirates-university_778_small.jpg,Public,High,8.0,"1,238",M,919,United Arab Emirates University,2022,351–400,United Arab Emirates University,United Arab Emirates,44.1–46.0,24.5,21.4,73.3,65.9,88.8,
Griffith University,2022,290,35.1,https://www.topuniversities.com/universities/griffith-university,Australia,Nathan,Oceania,https://www.topuniversities.com/sites/default/files/griffith-university_242_small.jpg,Public,Very High,17.0,"5,875",XL,"1,918",Griffith University,2022,201–250,Griffith University,Australia,50.4–53.9,27.5,35.3,80.4,50.6,82.8,
Belarusian State University,2022,295,34.9,https://www.topuniversities.com/universities/belarusian-state-university,Belarus,Minsk,Europe,https://www.topuniversities.com/sites/default/files/belarusian-state-university_14128_small.jpg,Public,Very High,5.0,"4,264",L,"4,173",Belarusian State University,2022,1201+,Belarusian State University,Belarus,10.6–22.3,21.3,8.4,8.9,38.5,61.7,
University of Porto,2022,295,34.9,https://www.topuniversities.com/universities/university-porto,Portugal,Porto,Europe,https://www.topuniversities.com/sites/default/files/university-of-porto_760_small.jpg,Public,Very High,14.0,"3,783",L,"2,028",University of Porto,2022,401–500,University of Porto,Portugal,40.9–44.0,25.1,28.9,64.0,40.8,60.8,
University of Turku,2022,295,34.9,https://www.topuniversities.com/universities/university-turku,Finland,Turku,Europe,https://www.topuniversities.com/sites/default/files/university-of-turku_592560cf2aeae70239af4cfe_small.jpg,Public,Very High,8.0,604,L,"1,505",University of Turku,2022,351–400,University of Turku,Finland,44.1–46.0,27.6,31.4,75.3,37.0,54.1,
Simon Fraser University,2022,298,34.8,https://www.topuniversities.com/universities/simon-fraser-university,Canada,Burnaby,North America,https://www.topuniversities.com/sites/default/files/simon-fraser-university_562_small.jpg,Public,Very High,21.0,"8,051",L,"1,193",Simon Fraser University,2022,201–250,Simon Fraser University,Canada,50.4–53.9,27.7,35.0,81.5,49.0,92.1,
University College Cork,2022,298,34.8,https://www.topuniversities.com/universities/university-college-cork,Ireland,Cork,Europe,https://www.topuniversities.com/sites/default/files/university-college-cork_142_small.jpg,Public,High,10.0,"3,002",L,"1,619",University College Cork,2022,251–300,University College Cork,Ireland,48.1–50.3,26.2,27.6,88.1,49.2,83.7,
North Carolina State University,2022,300,34.7,https://www.topuniversities.com/universities/north-carolina-state-university,United States,Raleigh,North America,https://www.topuniversities.com/sites/default/files/north-carolina-state-university_592560cf2aeae70239af4c2a_small.jpg,Public,Very High,15.0,"3,156",L,"1,944",North Carolina State University,2022,301–350,North Carolina State University,United States,46.1–48.0,39.3,37.0,60.5,46.2,53.6,
University of Tartu,2022,300,34.7,https://www.topuniversities.com/universities/university-tartu,Estonia,Tartu,Europe,https://www.topuniversities.com/sites/default/files/university-of-tartu_592560cf2aeae70239af4d08_small.jpg,Public,Very High,7.0,"1,400",M,"1,605",University of Tartu,2022,251–300,University of Tartu,Estonia,48.1–50.3,25.9,31.0,89.3,43.3,62.6,
University of Strathclyde,2022,302,34.4,https://www.topuniversities.com/universities/university-strathclyde,United Kingdom,Glasgow,Europe,https://www.topuniversities.com/sites/default/files/university-of-strathclyde_579_small.jpg,Public,Very High,13.0,"5,397",L,"1,532",University of Strathclyde,2022,401–500,University of Strathclyde,United Kingdom,40.9–44.0,30.4,32.1,54.2,49.5,88.2,
University of Tasmania,2022,303,34.2,https://www.topuniversities.com/universities/university-tasmania,Australia,Hobart,Oceania,https://www.topuniversities.com/sites/default/files/university-of-tasmania_592560cf2aeae70239af4cd5_small.jpg,Public,Very High,13.0,"5,260",L,982,University of Tasmania,2022,301–350,University of Tasmania,Australia,46.1–48.0,27.6,32.3,70.3,47.0,91.3,
Gwangju Institute of Science and Technology (GIST),2022,305,34.1,https://www.topuniversities.com/universities/gwangju-institute-science-technology-gist,South Korea,Gwangju,Asia,https://www.topuniversities.com/sites/default/files/gwangju-institute-of-science-and-technology-gist_718_small.jpg,Public,Very High,10.0,122,S,180,Gwangju Institute of Science and Technology (GIST),2022,501–600,Gwangju Institute of Science and Technology (GIST),South Korea,38.1–40.8,41.4,39.9,33.2,75.9,39.9,
University of Warsaw,2022,308,33.9,https://www.topuniversities.com/universities/university-warsaw,Poland,Warsaw,Europe,https://www.topuniversities.com/sites/default/files/university-of-warsaw_663_small.jpg,Public,Very High,10.0,"2,892",XL,"3,658",University of Warsaw,2022,601–800,University of Warsaw,Poland,32.0–37.9,29.5,27.3,44.1,35.9,44.1,
Jagiellonian University,2022,309,33.8,https://www.topuniversities.com/universities/jagiellonian-university,Poland,Krakow,Europe,https://www.topuniversities.com/sites/default/files/jagiellonian-university_300_small.jpg,Public,Very High,8.0,"2,907",XL,"4,089",Jagiellonian University,2022,501–600,Jagiellonian University,Poland,38.1–40.8,30.4,23.8,66.5,35.7,40.6,
University of Cologne,2022,311,33.7,https://www.topuniversities.com/universities/university-cologne,Germany,Cologne,Europe,https://www.topuniversities.com/sites/default/files/university-of-cologne_592560cf2aeae70239af4bc6_small.jpg,Public,Very High,11.0,"4,890",XL,"2,724",University of Cologne,2022,172,University of Cologne,Germany,55.8,42.2,43.7,77.1,76.9,66.7,=
University of Miami,2022,311,33.7,https://www.topuniversities.com/universities/university-miami,United States,Miami,North America,https://www.topuniversities.com/sites/default/files/university-of-miami_401_small.jpg,Private,Very High,6.0,"2,646",L,"2,565",University of Miami,2022,201–250,University of Miami,United States,50.4–53.9,45.2,32.1,75.9,47.5,59.5,
National Taiwan University of Science and Technology (Taiwan Tech),2022,314,33.6,https://www.topuniversities.com/universities/national-taiwan-university-science-technology-taiwan-tech,Taiwan,Taipei City,Asia,https://www.topuniversities.com/sites/default/files/national-taiwan-university-of-science-and-technology-taiwan-tech_590_small.jpg,Public,Very High,9.0,"1,537",M,"1,005",National Taiwan University of Science and Technology (Taiwan Tech),2022,601–800,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,32.0–37.9,28.6,38.4,36.9,64.8,50.3,
Université Grenoble Alpes,2022,314,33.6,https://www.topuniversities.com/universities/universite-grenoble-alpes,France,Grenoble,Europe,https://www.topuniversities.com/sites/default/files/universit-grenoble-alpes_592560cf2aeae70239af5ab2_small.jpg,Public,Very High,17.0,"8,880",XL,"3,088",Université Grenoble Alpes,2022,351–400,Université Grenoble Alpes,France,44.1–46.0,37.4,31.9,58.0,38.7,68.7,
University of Milan,2022,316,33.5,https://www.topuniversities.com/universities/university-milan,Italy,Milan,Europe,https://www.topuniversities.com/sites/default/files/university-of-milan_1873_small.jpg,Public,Very High,20.0,"3,269",XL,"2,516",University of Milan,2022,301–350,University of Milan,Italy,46.1–48.0,32.7,29.7,82.6,39.8,43.5,
Swinburne University of Technology,2022,321,33.0,https://www.topuniversities.com/universities/swinburne-university-technology,Australia,Melbourne,Oceania,https://www.topuniversities.com/sites/default/files/swinburne-university-of-technology_759_small.jpg,Public,Very High,14.0,"4,000",L,946,Swinburne University of Technology,2022,301–350,Swinburne University of Technology,Australia,46.1–48.0,24.8,29.3,76.7,42.2,81.8,
University of Dundee,2022,322,32.9,https://www.topuniversities.com/universities/university-dundee,United Kingdom,Dundee,Europe,https://www.topuniversities.com/sites/default/files/-university-of-dundee_592560cf2aeae70239af4b2c_small.jpg,Public,High,14.0,"3,025",L,953,University of Dundee,2022,201–250,University of Dundee,United Kingdom,50.4–53.9,25.4,30.7,89.1,48.9,83.2,
Aalborg University,2022,326,32.8,https://www.topuniversities.com/universities/aalborg-university,Denmark,Aalborg,Europe,https://www.topuniversities.com/sites/default/files/aalborg-university_1262_small.jpg,Public,Very High,10.0,2.474,L,1.716,Aalborg University,2022,201–250,Aalborg University,Denmark,50.4–53.9,27.0,38.0,79.3,49.8,78.5,
University of South Australia,2022,326,32.8,https://www.topuniversities.com/universities/university-south-australia,Australia,Magill,Oceania,https://www.topuniversities.com/sites/default/files/university-of-south-australia_566_small.jpg,Public,Very High,13.0,4.886,L,1.524,University of South Australia,2022,301–350,University of South Australia,Australia,46.1–48.0,23.5,36.6,68.1,84.3,88.4,
Linköping University,2022,329,32.5,https://www.topuniversities.com/universities/linkoping-university,Sweden,Linköping,Europe,https://www.topuniversities.com/sites/default/files/linkping-university_348_small.jpg,Public,Very High,11.0,2.514,L,1.471,Linköping University,2022,251–300,Linköping University,Sweden,48.1–50.3,24.8,38.4,77.9,60.7,69.0,
"City, University of London",2022,330,32.4,https://www.topuniversities.com/universities/city-university-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/city-university-of-london_354_small.jpg,Public,Very High,16.0,7.362,L,970,"City, University of London",2022,351–400,"City, University of London",United Kingdom,44.1–46.0,25.0,26.3,70.9,36.2,95.2,
"Birkbeck, University of London",2022,332,32.3,https://www.topuniversities.com/universities/birkbeck-university-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/birkbeck-university-of-london_1636_small.jpg,Public,Very High,14.0,3.214,M,585,"Birkbeck, University of London",2022,351–400,"Birkbeck, University of London",United Kingdom,44.1–46.0,30.5,32.6,64.1,35.1,89.9,
National Taiwan Normal University,2022,334,32.2,https://www.topuniversities.com/universities/national-taiwan-normal-university,Taiwan,Taipei City,Asia,https://www.topuniversities.com/sites/default/files/national-taiwan-normal-university_440_small.jpg,Public,Very High,8.0,1.499,M,1.374,National Taiwan Normal University,2022,601–800,National Taiwan Normal University,Taiwan,32.0–37.9,32.2,36.4,29.3,85.2,54.4,
Hiroshima University,2022,343,31.8,https://www.topuniversities.com/universities/hiroshima-university,Japan,Higashihiroshima City,Asia,https://www.topuniversities.com/sites/default/files/hiroshima-university_264_small.jpg,Public,Very High,6.0,1.680,L,2.366,Hiroshima University,2022,801–1000,Hiroshima University,Japan,27.2–31.9,31.1,21.8,30.4,49.5,40.0,
Virginia Polytechnic Institute and State University,2022,346,31.6,https://www.topuniversities.com/universities/virginia-polytechnic-institute-state-university,United States,Blacksburg,North America,https://www.topuniversities.com/sites/default/files/virginia-polytechnic-institute-and-state-university_592560cf2aeae70239af4d15_small.jpg,Public,Very High,12.0,4.477,XL,2.802,Virginia Polytechnic Institute and State University,2022,251–300,Virginia Polytechnic Institute and State University,United States,48.1–50.3,35.8,36.5,74.3,48.4,56.4,
"University of California, Santa Cruz",2022,347,31.4,https://www.topuniversities.com/universities/university-california-santa-cruz,United States,Santa Cruz,North America,https://www.topuniversities.com/sites/default/files/university-of-california-santa-cruz_92_small.jpg,Public,Very High,18.0,2.130,L,1.045,"University of California, Santa Cruz",2022,201–250,"University of California, Santa Cruz",United States,50.4–53.9,31.5,31.2,96.7,42.1,65.6,
George Washington University,2022,355,31.1,https://www.topuniversities.com/universities/george-washington-university,United States,Ashburn,North America,https://www.topuniversities.com/sites/default/files/george-washington-university_223_small.jpg,Private,Very High,11.0,4.024,L,2.016,George Washington University,2022,201–250,George Washington University,United States,50.4–53.9,46.3,31.4,79.0,36.0,57.9,
Tilburg University,2022,356,31.0,https://www.topuniversities.com/universities/tilburg-university,Netherlands,Tilburg,Europe,https://www.topuniversities.com/sites/default/files/tilburg-university_592560cf2aeae70239af4ce5_small.jpg,Public,Very High,15.0,2.189,M,745,Tilburg University,2022,201–250,Tilburg University,Netherlands,50.4–53.9,36.0,49.4,63.3,51.0,81.9,
University of Lisbon,2022,356,31.0,https://www.topuniversities.com/universities/university-lisbon,Portugal,Lisbon ,Europe,https://www.topuniversities.com/sites/default/files/university-of-lisbon_1475_small.jpg,Public,Very High,14.0,8.546,XL,3.389,University of Lisbon,2022,501–600,University of Lisbon,Portugal,38.1–40.8,24.8,32.6,56.2,42.0,60.6,
University of Jyväskylä,2022,358,30.9,https://www.topuniversities.com/universities/university-jyvaskyla,Finland,Jyväskylä,Europe,https://www.topuniversities.com/sites/default/files/university-of-jyvskyl_306_small.jpg,Public,Very High,7.0,339,M,1.573,University of Jyväskylä,2022,351–400,University of Jyväskylä,Finland,44.1–46.0,25.3,30.5,75.4,36.3,51.5,
University of Utah,2022,358,30.9,https://www.topuniversities.com/universities/university-utah,United States,Salt Lake City,North America,https://www.topuniversities.com/sites/default/files/university-of-utah_645_small.jpg,Public,Very High,8.0,2.134,L,3.345,University of Utah,2022,251–300,University of Utah,United States,48.1–50.3,37.2,30.7,81.8,51.2,33.1,
Ewha Womans University,2022,362,30.8,https://www.topuniversities.com/universities/ewha-womans-university,South Korea,Seoul,Asia,https://www.topuniversities.com/sites/default/files/ewha-womans-university_592560cf2aeae70239af4b38_small.jpg,Private,High,7.0,2.105,L,2.436,Ewha Womans University,2022,601–800,Ewha Womans University,South Korea,32.0–37.9,33.3,32.9,29.4,79.1,46.1,
La Trobe University,2022,362,30.8,https://www.topuniversities.com/universities/la-trobe-university,Australia,Melbourne,Oceania,https://www.topuniversities.com/sites/default/files/la-trobe-university_592560cf2aeae70239af4bd1_small.jpg,Public,Very High,20.0,9.456,L,1.252,La Trobe University,2022,201–250,La Trobe University,Australia,50.4–53.9,27.6,34.0,86.3,46.7,89.8,
Ulm University,2022,365,30.5,https://www.topuniversities.com/universities/ulm-university,Germany,Ulm,Europe,https://www.topuniversities.com/sites/default/files/university-ulm_638_small.jpg,Public,Very High,7.0,1.289,M,1.473,Ulm University,2022,146,Ulm University,Germany,57.6,39.8,38.6,92.4,85.7,56.9,=
Sultan Qaboos University,2022,368,30.4,https://www.topuniversities.com/universities/sultan-qaboos-university,Oman,Muscat,Asia,https://www.topuniversities.com/sites/default/files/sultan-qaboos-university_2530_small.jpg,Public,High,7.0,248,M,916,Sultan Qaboos University,2022,801–1000,Sultan Qaboos University,Oman,27.2–31.9,23.9,15.0,43.4,39.3,74.4,
University of Connecticut,2022,373,29.6,https://www.topuniversities.com/universities/university-connecticut,United States,Storrs,North America,https://www.topuniversities.com/sites/default/files/university-of-connecticut_140_small.jpg,Public,Very High,19.0,3.765,L,1.328,University of Connecticut,2022,401–500,University of Connecticut,United States,40.9–44.0,36.6,29.5,61.4,38.2,54.5,
University of Waikato,2022,373,29.6,https://www.topuniversities.com/universities/university-waikato,New Zealand,Hamilton ,Oceania,https://www.topuniversities.com/sites/default/files/university-of-waikato_660_small.jpg,Public,Very High,14.0,2.270,M,595,University of Waikato,2022,401–500,University of Waikato,New Zealand,40.9–44.0,22.1,29.8,64.4,46.7,95.3,
University of Oulu,2022,377,29.5,https://www.topuniversities.com/universities/university-oulu,Finland,Oulu,Europe,https://www.topuniversities.com/sites/default/files/university-of-oulu_476_small.jpg,Public,Very High,11.0,579,M,883,University of Oulu,2022,251–300,University of Oulu,Finland,48.1–50.3,30.6,35.1,76.2,51.6,57.1,
Quaid-i-Azam University,2022,378,29.4,https://www.topuniversities.com/universities/quaid-i-azam-university,Pakistan,Islamabad,Asia,https://www.topuniversities.com/sites/default/files/quaid-i-azam-university_592560cf2aeae70239af4d41_small.jpg,Public,Very High,33.0,115,L,452,Quaid-i-Azam University,2022,501–600,Quaid-i-Azam University,Pakistan,38.1–40.8,26.7,16.4,73.6,36.1,46.4,
Tokyo Medical and Dental University (TMDU),2022,381,29.3,https://www.topuniversities.com/universities/tokyo-medical-dental-university-tmdu,Japan,Tokyo,Asia,https://www.topuniversities.com/sites/default/files/tokyo-medical-and-dental-university-tmdu_592560cf2aeae70239af4e8a_small.jpg,Public,Very High,3.0,325,S,930,Tokyo Medical and Dental University (TMDU),2022,501–600,Tokyo Medical and Dental University (TMDU),Japan,38.1–40.8,45.4,28.4,41.3,70.9,29.3,
American University of Sharjah,2022,383,29.1,https://www.topuniversities.com/universities/american-university-sharjah,United Arab Emirates,Sharjah,Asia,https://www.topuniversities.com/sites/default/files/american-university-of-sharjah_1201_small.jpg,Private,Very High,12.0,3.199,S,371,American University of Sharjah,2022,801–1000,American University of Sharjah,United Arab Emirates,27.2–31.9,21.0,18.8,35.9,35.5,93.8,
University of Kent,2022,383,29.1,https://www.topuniversities.com/universities/university-kent,United Kingdom,Canterbury,Europe,https://www.topuniversities.com/sites/default/files/university-of-kent_315_small.jpg,Public,Very High,13.0,3.515,L,"4,000",University of Kent,2022,351–400,University of Kent,United Kingdom,44.1–46.0,27.8,30.6,64.5,35.4,91.5,
Kobe University,2022,386,28.9,https://www.topuniversities.com/universities/kobe-university,Japan,Kobe City,Asia,https://www.topuniversities.com/sites/default/files/kobe-university_320_small.jpg,Public,Very High,8.0,1.216,L,1.986,Kobe University,2022,601–800,Kobe University,Japan,32.0–37.9,32.9,23.1,41.8,46.0,30.9,
University of Kansas,2022,387,28.8,https://www.topuniversities.com/universities/university-kansas,United States,Lawrence,North America,https://www.topuniversities.com/sites/default/files/university-of-kansas_309_small.jpg,Public,Very High,7.0,2.014,L,3.357,University of Kansas,2022,401–500,University of Kansas,United States,40.9–44.0,36.4,25.0,67.3,45.7,48.7,
University of Pisa,2022,388,28.7,https://www.topuniversities.com/universities/university-pisa,Italy,Pisa,Europe,https://www.topuniversities.com/sites/default/files/university-of-pisa_499_small.jpg,Public,Very High,18.0,1.507,XL,1.796,University of Pisa,2022,401–500,University of Pisa,Italy,40.9–44.0,28.1,28.0,70.6,41.8,41.3,
SOAS University of London,2022,391,28.5,https://www.topuniversities.com/universities/soas-university-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/soas-university-of-london-_592560cf2aeae70239af4bf0_small.jpg,Public,Very High,11.0,2.398,S,300,SOAS University of London,2022,401–500,SOAS University of London,United Kingdom,40.9–44.0,41.9,41.1,34.7,34.9,79.6,
University of the Philippines,2022,399,28.1,https://www.topuniversities.com/universities/university-philippines,Philippines,Quezon City,Asia,https://www.topuniversities.com/sites/default/files/university-of-the-philippines_498_small.jpg,Public,High,9.0,292,XL,4.480,University of the Philippines,2022,601–800,University of the Philippines,Philippines,32.0–37.9,22.6,17.5,74.3,41.7,33.1,
Vilnius University,2022,400,28.0,https://www.topuniversities.com/universities/vilnius-university,Lithuania,Vilnius,Europe,https://www.topuniversities.com/sites/default/files/vilnius-university-_592560cf2aeae70239af4d7f_small.jpg,Public,High,7.0,1.290,L,2.461,Vilnius University,2022,801–1000,Vilnius University,Lithuania,27.2–31.9,21.3,16.9,41.4,44.2,56.1,
"University of California, Riverside",2022,403,27.9,https://www.topuniversities.com/universities/university-california-riverside,United States,Riverside,North America,https://www.topuniversities.com/sites/default/files/university-of-california-riverside_88_small.jpg,Public,Very High,17.0,2.034,L,1.497,"University of California, Riverside",2022,251–300,"University of California, Riverside",United States,48.1–50.3,30.5,29.7,84.1,40.9,65.0,
Flinders University,2022,407,27.8,https://www.topuniversities.com/universities/flinders-university,Australia,Adelaide,Oceania,https://www.topuniversities.com/sites/default/files/flinders-university_592560cf2aeae70239af4b53_small.jpg,Public,Very High,18.0,5.981,L,932,Flinders University,2022,251–300,Flinders University,Australia,48.1–50.3,25.5,31.0,83.3,40.7,89.9,
Pontificia Universidad Javeriana,2022,412,27.5,https://www.topuniversities.com/universities/pontificia-universidad-javeriana,Colombia,Bogotá,Latin America,https://www.topuniversities.com/sites/default/files/pontificia-universidad-javeriana_592560cf2aeae70239af514a_small.jpg,Private,High,14.0,415,L,2.082,Pontificia Universidad Javeriana,2022,501–600,Pontificia Universidad Javeriana,Colombia,38.1–40.8,16.5,10.9,88.2,35.1,44.0,
Tampere University,2022,414,27.4,https://www.topuniversities.com/universities/tampere-university,Finland,Tampere,Europe,https://www.topuniversities.com/sites/default/files/tampere-university_5bbf14847d023f5bc849ec9a_small.jpg,Public,Very High,12.0,996,L,1.310,Tampere University,2022,251–300,Tampere University,Finland,48.1–50.3,27.1,34.2,84.4,59.6,52.5,
Université Laval,2022,414,27.4,https://www.topuniversities.com/universities/universite-laval,Canada,Québec,North America,https://www.topuniversities.com/sites/default/files/laval-university_337_small.jpg,Public,Very High,11.0,3.673,L,2.290,Université Laval,2022,251–300,Université Laval,Canada,48.1–50.3,38.9,34.8,67.7,66.4,71.0,
National Technical University of Athens,2022,421,27.3,https://www.topuniversities.com/universities/national-technical-university-athens,Greece,Athens,Europe,https://www.topuniversities.com/sites/default/files/national-technical-university-of-athens_592560cf2aeae70239af4aa3_small.jpg,Public,Very High,20.0,846,L,689,National Technical University of Athens,2022,801–1000,National Technical University of Athens,Greece,27.2–31.9,22.6,16.8,41.1,53.5,38.3,
James Cook University,2022,424,27.1,https://www.topuniversities.com/universities/james-cook-university,Australia,Townsville,Oceania,https://www.topuniversities.com/sites/default/files/james-cook-university_833_small.jpg,Public,Very High,11.0,1.169,M,"2,940",James Cook University,2022,251–300,James Cook University,Australia,48.1–50.3,25.4,29.9,88.6,45.5,78.7,
Washington State University,2022,427,27.0,https://www.topuniversities.com/universities/washington-state-university,United States,Pullman,North America,https://www.topuniversities.com/sites/default/files/washington-state-university_666_small.jpg,Public,Very High,14.0,1.731,L,1.935,Washington State University,2022,351–400,Washington State University,United States,44.1–46.0,31.5,30.9,71.3,50.3,50.1,
Oxford Brookes University,2022,429,26.9,https://www.topuniversities.com/universities/oxford-brookes-university,United Kingdom,,Europe,https://www.topuniversities.com/sites/default/files/oxford-brookes-university_592560cf2aeae70239af4c61_small.jpg,Public,High,15.0,3.439,L,"1,471",Oxford Brookes University,2022,601–800,Oxford Brookes University,United Kingdom,32.0–37.9,26.1,23.7,49.3,35.3,81.0,
Wake Forest University,2022,429,26.9,https://www.topuniversities.com/universities/wake-forest-university,United States,Winston-Salem,North America,https://www.topuniversities.com/sites/default/files/wake-forest-university_661_small.jpg,Private,Very High,4.0,805,M,2.276,Wake Forest University,2022,301–350,Wake Forest University,United States,46.1–48.0,39.1,18.9,85.6,45.4,33.7,
Rensselaer Polytechnic Institute,2022,431,26.8,https://www.topuniversities.com/universities/rensselaer-polytechnic-institute,United States,Troy,North America,https://www.topuniversities.com/sites/default/files/rensselaer-polytechnic-institute_522_small.jpg,Private,Very High,12.0,1.594,M,639,Rensselaer Polytechnic Institute,2022,501–600,Rensselaer Polytechnic Institute,United States,38.1–40.8,30.2,27.9,52.2,52.0,57.4,
