university,year_QS,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count,University_Standard,year_THE,Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook,rank_prefix
Northwestern University,2022,30,82.8,https://www.topuniversities.com/universities/northwestern-university,United States,Evanston,North America,https://www.topuniversities.com/sites/default/files/northwestern-university_592560cf2aeae70239af4c50_small.jpg,Private,Very High,5.0,"3,846",L,"3,652",Northwestern University,2022,24,Northwestern University,United States,83.1,74.3,82.1,97.6,81.6,65.3,=
Kyoto University,2022,33,82.3,https://www.topuniversities.com/universities/kyoto-university,Japan,Kyoto,Asia,https://www.topuniversities.com/sites/default/files/kyoto-university_328_small.jpg,Public,Very High,6.0,"2,863",L,"3,911",Kyoto University,2022,61,Kyoto University,Japan,69.6,78.5,78.9,58.3,80.8,38.2,
Seoul National University,2022,36,81.7,https://www.topuniversities.com/universities/seoul-national-university,South Korea,Seoul,Asia,https://www.topuniversities.com/sites/default/files/graduate-school-of-business-seoul-national-university_553_small.jpg,Public,Very High,7.0,"1,914",L,"3,859",Seoul National University,2022,54,Seoul National University,South Korea,70.0,73.8,73.8,68.5,98.2,36.9,=
University of British Columbia,2022,46,77.1,https://www.topuniversities.com/universities/university-british-columbia,Canada,Vancouver,North America,https://www.topuniversities.com/sites/default/files/university-of-british-columbia_70_small.jpg,Public,Very High,9.0,"15,399",XL,"6,201",University of British Columbia,2022,37,University of British Columbia,Canada,75.8,61.6,74.0,89.4,47.4,94.9,
Institut Polytechnique de Paris,2022,49,75.9,https://www.topuniversities.com/universities/institut-polytechnique-de-paris,France,Palaiseau Cedex,Europe,https://www.topuniversities.com/sites/default/files/institut-polytechnique-de-paris_5f3a6d4210ca6076bc71cae4_small.jpg,Public,Very High,6.0,"2,413",M,"1,057",Institut Polytechnique de Paris,2022,91,Institut Polytechnique de Paris,France,63.3,57.3,54.7,69.0,77.1,94.5,
Technical University of Munich,2022,50,75.6,https://www.topuniversities.com/universities/technical-university-munich,Germany,Munich,Europe,https://www.topuniversities.com/sites/default/files/technical-university-of-munich_599_small.jpg,Public,Very High,5.0,"11,447",XL,"6,663",Technical University of Munich,2022,38,Technical University of Munich,Germany,75.6,64.5,74.8,85.5,100.0,76.1,
Duke University,2022,52,75.2,https://www.topuniversities.com/universities/duke-university,United States,Durham,North America,https://www.topuniversities.com/sites/default/files/duke-university_168_small.jpg,Private,Very High,3.0,"3,445",L,"5,673",Duke University,2022,23,Duke University,United States,83.5,79.2,78.6,95.6,99.0,66.6,
Carnegie Mellon University,2022,53,74.6,https://www.topuniversities.com/universities/carnegie-mellon-university,United States,Pittsburgh,North America,https://www.topuniversities.com/sites/default/files/carnegie-mellon-university_101_small.jpg,Private,Very High,9.0,"5,739",L,"1,534",Carnegie Mellon University,2022,28,Carnegie Mellon University,United States,80.6,64.7,80.0,99.0,59.0,80.8,
University of Amsterdam,2022,55,73.8,https://www.topuniversities.com/universities/university-amsterdam,Netherlands,Amsterdam,Europe,https://www.topuniversities.com/sites/default/files/university-of-amsterdam_18_small.jpg,Public,Very High,11.0,"7,969",XL,"6,000",University of Amsterdam,2022,65,University of Amsterdam,Netherlands,68.9,49.0,63.3,91.6,41.6,89.8,
Delft University of Technology,2022,57,73.1,https://www.topuniversities.com/universities/delft-university-technology,Netherlands,Delft,Europe,https://www.topuniversities.com/sites/default/files/delft-university-of-technology_155_small.jpg,Public,Very High,10.0,"6,104",L,"2,041",Delft University of Technology,2022,75,Delft University of Technology,Netherlands,65.8,57.1,71.1,59.4,97.7,93.6,=
Monash University,2022,58,72.2,https://www.topuniversities.com/universities/monash-university,Australia,Melbourne,Oceania,https://www.topuniversities.com/sites/default/files/monash-university_412_small.jpg,Public,Very High,15.0,"31,049",XL,"3,852",Monash University,2022,57,Monash University,Australia,69.9,54.3,61.7,87.7,79.2,91.0,
Brown University,2022,60,71.3,https://www.topuniversities.com/universities/brown-university,United States,Providence,North America,https://www.topuniversities.com/sites/default/files/brown-university_72_small.jpg,Private,Very High,7.0,"2,002",M,"1,389",Brown University,2022,64,Brown University,United States,69.1,62.2,56.6,92.9,37.4,61.9,
University of Bristol,2022,62,71.0,https://www.topuniversities.com/universities/university-bristol,United Kingdom,Bristol,Europe,https://www.topuniversities.com/sites/default/files/university-of-bristol_69_small.jpg,Public,Very High,8.0,"7,483",L,"20,311",University of Bristol,2022,92,University of Bristol,United Kingdom,63.1,40.6,49.2,94.7,43.7,89.1,
University of Texas at Austin,2022,67,68.4,https://www.topuniversities.com/universities/university-texas-austin,United States,Austin,North America,https://www.topuniversities.com/sites/default/files/university-of-texas-at-austin_604_small.jpg,Public,Very High,17.0,"4,953",XL,"2,887",University of Texas at Austin,2022,47,University of Texas at Austin,United States,72.9,67.9,71.5,89.4,50.1,39.8,
National Taiwan University (NTU),2022,68,68.2,https://www.topuniversities.com/universities/national-taiwan-university-ntu,Taiwan,Taipei City,Asia,https://www.topuniversities.com/sites/default/files/national-taiwan-university-ntu_592560cf2aeae70239af4c3c_small.jpg,Public,Very High,10.0,"5,058",L,"2,939",National Taiwan University (NTU),2022,113,National Taiwan University (NTU),Taiwan,61.0,55.8,64.7,64.8,75.4,46.9,=
KU Leuven,2022,70,67.2,https://www.topuniversities.com/universities/ku-leuven,Belgium,Leuven,Europe,https://www.topuniversities.com/sites/default/files/ku-leuven_592560cf2aeae70239af4aec_small.jpg,Public,Very High,18.0,"8,485",XL,"2,677",KU Leuven,2022,42,KU Leuven,Belgium,73.6,59.1,73.2,86.2,99.2,74.2,=
University of Zurich,2022,70,67.2,https://www.topuniversities.com/universities/university-zurich,Switzerland,Zürich,Europe,https://www.topuniversities.com/sites/default/files/university-of-zurich_693_small.jpg,Public,Very High,6.0,"5,044",L,"3,761",University of Zurich,2022,75,University of Zurich,Switzerland,65.8,52.2,49.6,89.4,61.9,92.5,=
Sorbonne University,2022,72,67.1,https://www.topuniversities.com/universities/sorbonne-university,France,,Europe,https://www.topuniversities.com/sites/default/files/sorbonne-university_5a6afcfecb4de709397114fe_small.jpg,Public,Very High,9.0,"8,782",XL,"4,680",Sorbonne University,2022,88,Sorbonne University,France,63.6,61.0,53.6,76.6,38.2,70.4,=
University of Glasgow,2022,73,66.8,https://www.topuniversities.com/universities/university-glasgow,United Kingdom,Glasgow,Europe,https://www.topuniversities.com/sites/default/files/university-of-glasgow_592560cf2aeae70239af4b6c_small.jpg,Public,Very High,9.0,"11,065",L,"3,314",University of Glasgow,2022,86,University of Glasgow,United Kingdom,63.7,41.9,49.9,94.0,40.7,93.1,=
Korea University,2022,74,66.3,https://www.topuniversities.com/universities/korea-university,South Korea,Seoul,Asia,https://www.topuniversities.com/sites/default/files/korea-university_325_small.jpg,Private,Very High,6.0,"3,325",L,"4,026",Korea University,2022,201–250,Korea University,South Korea,50.4–53.9,47.4,47.0,63.4,91.9,50.9,
University of Wisconsin-Madison,2022,75,66.2,https://www.topuniversities.com/universities/university-wisconsin-madison,United States,Madison,North America,https://www.topuniversities.com/sites/default/files/university-of-wisconsin-madison_678_small.jpg,Public,Very High,8.0,"5,737",XL,"5,166",University of Wisconsin-Madison,2022,58,University of Wisconsin-Madison,United States,69.8,67.4,69.5,79.2,47.5,50.4,=
University of Southampton,2022,77,65.7,https://www.topuniversities.com/universities/university-southampton,United Kingdom,Southampton,Europe,https://www.topuniversities.com/sites/default/files/university-of-southampton_567_small.jpg,Public,Very High,9.0,"8,417",L,"2,468",University of Southampton,2022,124,University of Southampton,United Kingdom,59.9,39.9,42.1,90.6,43.4,94.5,
University of Copenhagen,2022,79,65.5,https://www.topuniversities.com/universities/university-copenhagen,Denmark,Copenhagen,Europe,https://www.topuniversities.com/sites/default/files/university-of-copenhagen_141_small.jpg,Public,Very High,4.0,"4,135",XL,"7,293",University of Copenhagen,2022,96,University of Copenhagen,Denmark,62.7,46.8,47.1,88.8,54.4,86.8,=
Durham University,2022,82,65.2,https://www.topuniversities.com/universities/durham-university,United Kingdom,Durham,Europe,https://www.topuniversities.com/sites/default/files/durham-university_170_small.jpg,Public,Very High,11.0,"6,174",L,"1,775",Durham University,2022,162,Durham University,United Kingdom,56.7,44.9,47.8,69.7,37.8,93.8,=
Tohoku University,2022,82,65.2,https://www.topuniversities.com/universities/tohoku-university,Japan,Sendai City,Asia,https://www.topuniversities.com/sites/default/files/tohoku-university_611_small.jpg,Public,Very High,5.0,"1,872",L,"3,323",Tohoku University,2022,201–250,Tohoku University,Japan,50.4–53.9,56.6,58.7,37.8,97.2,49.5,
University of Illinois at Urbana-Champaign,2022,82,65.2,https://www.topuniversities.com/universities/university-illinois-urbana-champaign,United States,Champaign,North America,https://www.topuniversities.com/sites/default/files/university-of-illinois-at-urbana-champaign_2090_small.jpg,Public,Very High,17.0,"9,987",XL,"2,748",University of Illinois at Urbana-Champaign,2022,48,University of Illinois at Urbana-Champaign,United States,72.6,65.7,77.3,80.9,50.0,55.4,
University of Washington,2022,85,65.0,https://www.topuniversities.com/universities/university-washington,United States,Seattle,North America,https://www.topuniversities.com/sites/default/files/university-of-washington_592560cf2aeae70239af4d1e_small.jpg,Public,Very High,15.0,"7,362",XL,"2,796",University of Washington,2022,29,University of Washington,United States,79.8,68.8,78.8,99.0,46.3,61.7,
Université Paris-Saclay,2022,86,64.9,https://www.topuniversities.com/universities/universite-paris-saclay,France,,Europe,https://www.topuniversities.com/sites/default/files/universit-paris-saclay_592560cf2aeae70239af4c6e_small.jpg,Public,Very High,5.0,"7,649",XL,"8,010",Université Paris-Saclay,2022,117,Université Paris-Saclay,France,60.4,51.6,47.9,80.2,56.4,68.2,=
Lund University,2022,87,63.8,https://www.topuniversities.com/universities/lund-university,Sweden,Lund,Europe,https://www.topuniversities.com/sites/default/files/lund-university_371_small.jpg,Public,Very High,9.0,"6,682",L,"3,040",Lund University,2022,116,Lund University,Sweden,60.8,39.6,53.1,83.1,82.0,79.9,
Georgia Institute of Technology,2022,88,63.5,https://www.topuniversities.com/universities/georgia-institute-technology,United States,Atlanta,North America,https://www.topuniversities.com/sites/default/files/georgia-institute-of-technology_225_small.jpg,Public,Very High,19.0,"5,675",L,"1,267",Georgia Institute of Technology,2022,45,Georgia Institute of Technology,United States,73.3,58.2,69.4,91.4,71.4,77.7,
KTH Royal Institute of Technology,2022,89,63.2,https://www.topuniversities.com/universities/kth-royal-institute-technology,Sweden,Stockholm,Europe,https://www.topuniversities.com/sites/default/files/kth-royal-institute-of-technology-_592560cf2aeae70239af4c9b_small.jpg,Public,Very High,8.0,"3,057",L,"3,600",KTH Royal Institute of Technology,2022,201–250,KTH Royal Institute of Technology,Sweden,50.4–53.9,38.8,44.7,56.0,69.8,90.2,
University of Birmingham,2022,90,62.9,https://www.topuniversities.com/universities/university-birmingham,United Kingdom,Birmingham,Europe,https://www.topuniversities.com/sites/default/files/university-of-birmingham_59_small.jpg,Public,Very High,9.0,"10,457",XL,"3,586",University of Birmingham,2022,105,University of Birmingham,United Kingdom,61.5,40.3,45.2,93.3,40.6,91.7,=
University of St Andrews,2022,91,62.8,https://www.topuniversities.com/universities/university-st-andrews,United Kingdom,St. Andrews,Europe,https://www.topuniversities.com/sites/default/files/university-of-st-andrews_570_small.jpg,Public,Very High,8.0,"4,377",M,"1,208",University of St Andrews,2022,201–250,University of St Andrews,United Kingdom,50.4–53.9,45.2,43.8,60.2,37.7,95.5,
University of Leeds,2022,92,62.6,https://www.topuniversities.com/universities/university-leeds,United Kingdom,Leeds,Europe,https://www.topuniversities.com/sites/default/files/University-of-Leeds-2-1-48x48.jpg,Public,Very High,10.0,"11,584",XL,"3,593",University of Leeds,2022,127,University of Leeds,United Kingdom,59.2,43.7,46.5,81.1,39.8,90.3,=
Rice University,2022,94,62.3,https://www.topuniversities.com/universities/rice-university,United States,Houston,North America,https://www.topuniversities.com/sites/default/files/rice-university_524_small.jpg,Private,Very High,7.0,"2,278",M,996,Rice University,2022,136,Rice University,United States,58.5,47.3,37.5,87.2,44.2,77.8,
Sungkyunkwan University (SKKU),2022,97,60.5,https://www.topuniversities.com/universities/sungkyunkwan-universityskku,South Korea,Suwon,Asia,https://www.topuniversities.com/sites/default/files/sungkyunkwan-universityskku_592560cf2aeae70239af4cc9_small.jpg,Private,Very High,7.0,"3,821",L,"3,313",Sungkyunkwan University (SKKU),2022,122,Sungkyunkwan University (SKKU),South Korea,60.0,56.9,60.2,60.7,99.4,56.3,=
Technical University of Denmark,2022,99,59.9,https://www.topuniversities.com/universities/technical-university-denmark,Denmark,Kongens Lyngby,Europe,https://www.topuniversities.com/sites/default/files/technical-university-of-denmark_592560cf2aeae70239af4cd8_small.jpg,Public,Very High,4.0,"2,495",M,"2,219",Technical University of Denmark,2022,185,Technical University of Denmark,Denmark,54.8,39.6,40.6,72.4,86.0,92.2,=
University of Oslo,2022,102,59.0,https://www.topuniversities.com/universities/university-oslo,Norway,Oslo,Europe,https://www.topuniversities.com/sites/default/files/university-of-oslo_473_small.jpg,Public,Very High,7.0,"2,560",L,"2,600",University of Oslo,2022,119,University of Oslo,Norway,60.1,40.5,46.5,89.5,44.3,80.4,=
University of Nottingham,2022,103,58.9,https://www.topuniversities.com/universities/university-nottingham,United Kingdom,Nottingham,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-nottingham_592560cf2aeae70239af4c4e_small.jpg,Public,Very High,10.0,"9,659",XL,"3,386",University of Nottingham,2022,141,University of Nottingham,United Kingdom,58.1,43.6,44.2,80.1,40.5,89.2,
University of Helsinki,2022,104,58.5,https://www.topuniversities.com/universities/university-helsinki,Finland,Helsinki,Europe,https://www.topuniversities.com/sites/default/files/university-of-helsinki_260_small.jpg,Public,Very High,8.0,"1,254",L,"2,855",University of Helsinki,2022,101,University of Helsinki,Finland,62.2,44.3,56.9,88.5,37.8,57.3,=
University of Geneva,2022,105,58.3,https://www.topuniversities.com/universities/university-geneva,Switzerland,Geneva,Europe,https://www.topuniversities.com/sites/default/files/university-of-geneva_221_small.jpg,Public,Very High,9.0,"6,547",L,"1,814",University of Geneva,2022,197,University of Geneva,Switzerland,54.0,34.4,33.6,83.1,51.6,98.6,=
"University of California, Davis",2022,108,57.9,https://www.topuniversities.com/universities/university-california-davis,United States,Davis,North America,https://www.topuniversities.com/sites/default/files/university-of-california-davis_592560cf2aeae70239af4ad8_small.jpg,Public,Very High,10.0,"8,414",XL,"3,420","University of California, Davis",2022,67,"University of California, Davis",United States,67.9,58.8,64.6,81.5,50.7,68.9,
Utrecht University,2022,110,57.5,https://www.topuniversities.com/universities/utrecht-university,Netherlands,Utrecht,Europe,https://www.topuniversities.com/sites/default/files/utrecht-university_646_small.jpg,Public,Very High,10.0,"4,454",XL,"3,254",Utrecht University,2022,69,Utrecht University,Netherlands,67.6,46.6,63.1,90.1,77.0,76.3,
Université de Montréal,2022,111,57.3,https://www.topuniversities.com/universities/universite-de-montreal,Canada,Montreal,North America,https://www.topuniversities.com/sites/default/files/universit-de-montral_417_small.jpg,Public,Very High,7.0,"7,625",XL,"5,533",Université de Montréal,2022,88,Université de Montréal,Canada,63.6,50.4,52.9,81.7,69.5,85.7,=
Aalto University,2022,112,57.0,https://www.topuniversities.com/universities/aalto-university,Finland,Espoo,Europe,https://www.topuniversities.com/sites/default/files/aalto-university_261_small.jpg,Public,Very High,9.0,"2,202",L,"1,396",Aalto University,2022,201–250,Aalto University,Finland,50.4–53.9,38.9,38.6,71.6,54.2,83.7,
Boston University,2022,112,57.0,https://www.topuniversities.com/universities/boston-university,United States,Boston,North America,https://www.topuniversities.com/sites/default/files/boston-university_592560cf2aeae70239af4ac2_small.jpg,Private,Very High,10.0,"8,159",L,"2,642",Boston University,2022,62,Boston University,United States,69.5,57.3,60.2,93.8,46.5,65.5,
Leiden University,2022,112,57.0,https://www.topuniversities.com/universities/leiden-university,Netherlands,Leiden,Europe,https://www.topuniversities.com/sites/default/files/leiden-university_340_small.jpg,Public,Very High,12.0,"6,064",XL,"2,069",Leiden University,2022,71,Leiden University,Netherlands,67.1,44.8,65.1,86.8,71.8,84.1,
University of Southern California,2022,112,57.0,https://www.topuniversities.com/universities/university-southern-california,United States,Los Angeles,North America,https://www.topuniversities.com/sites/default/files/university-of-southern-california_569_small.jpg,Private,Very High,10.0,"9,107",XL,"3,116",University of Southern California,2022,63,University of Southern California,United States,69.3,62.1,58.8,90.3,41.2,65.5,
