Rank,Previous_Rank,Name,Country/Territory,Region,Size,Focus,Research,Status,Academic_Reputation_SCORE,Academic_Reputation_RANK,Employer_Reputation_SCORE,Employer_Reputation_RANK,Faculty_Student_Ratio_SCORE,Faculty_Student_Ratio_RANK,Citations_per_Faculty_SCORE,Citations_per_Faculty_RANK,International_Faculty_SCORE,International_Faculty_RANK,International_Student_SCORE,International_student_RANK,International_Students_Diversity_SCORE,International_Students_Diversity_RANK,International_Research_Network_SCORE,International_Research_Network_RANK,Employment_Outcomes_SCORE,Employment_Outcomes_RANK,Sustainability_SCORE,Sustainability_RANK,Overall_SCORE,the_rank_2026,arwu_rank_2025,the_score,arwu_score,the_teaching,the_research_env,the_research_quality,the_industry,the_intl_outlook,founded,Total_Students,International_Students_Percentage,nobel_laureates,fields_medalists,ranked_in_all_3,avg_rank_all3,university_age_2026,data_sources,university_type,university_age,Overall_Score_Normalized,Performance_Category,Rank_Category,the_score_Normalized,arwu_score_Normalized
97,108,The University of Nottingham,United Kingdom,Europe,XL,FC,VH,Public,75.4,110,78.4,110,44.5,444,48.6,382,92.7,202,78.5,231,80.6,201,97.4,30,53.7,313,92.9,36,69.4,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.309255079,Good,Top 100,0.624505929,0.475975976
98,102,Karlsruhe Institute of Technology (KIT),Germany,Europe,L,FO,VH,Public,57.1,194,87.4,82,48.9,397,77.1,168,83.8,265,56.9,363,61.1,330,86.9,219,61.5,254,79.5,180,69.1,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.30248307,Good,Top 100,0.624505929,0.475975976
98,111,Politecnico di Milano,Italy,Europe,XL,CO,VH,Public,83.4,84,90.1,72,9.3,801,53.9,343,74.4,317,69.3,281,72.3,252,87,215,72,199,72.9,275,69.1,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1863,47000,21,0,0,0,98,163,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,163,0.30248307,Good,Top 100,0.624505929,0.475975976
100,109,University of Zurich (UZH),Switzerland,Europe,L,FO,VH,Public,71,132,43.5,308,95.2,72,52.3,361,100,82,57.8,357,43.1,482,93.5,114,90.8,97,69.8,318,68.5,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.288939052,Good,Top 100,0.624505929,0.475975976
101,100,University of Copenhagen,Denmark,Europe,XL,FC,VH,Public,85.5,79,41.7,324,99.6,34,36.6,512,87.3,241,26.5,640,19.9,765,98,22,94.4,77,76.3,221,68.4,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.286681716,Good,Top 500,0.624505929,0.475975976
102,98,Pohang University of Science And Technology (POSTECH),Republic of Korea,Asia,S,FO,VH,Private not for Profit,61.3,166,83.3,94,99.9,27,98.3,45,31.6,568,4.2,801,8.3,801,29.6,801,16,801,64.3,415,67.9,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.275395034,Good,Top 500,0.624505929,0.475975976
103,145,Nanjing University,China (Mainland),Asia,XL,FC,VH,Public,72.1,128,61.2,188,37.2,541,99,39,82.9,273,15.9,799,12,801,69.5,541,39.7,440,59.5,513,67.7,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.270880361,Good,Top 500,0.624505929,0.475975976
103,105,Utrecht University,Netherlands,Europe,XL,FC,VH,Public,79.3,100,49.2,258,39.5,514,77.9,165,63.4,367,30.5,586,22.8,723,97.8,23,73.2,194,75.1,235,67.7,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.270880361,Good,Top 500,0.624505929,0.475975976
105,94,Lomonosov Moscow State University,Russian Federation,Europe,L,FC,VH,Public,83.7,83,87.9,80,99.9,26,7.3,801,25.5,641,96,112,96.1,97,87,214,98.3,37,48.8,734,67.6,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.268623025,Good,Top 500,0.624505929,0.475975976
105,99,Rheinisch-Westfälische Technische Hochschule Aachen,Germany,Europe,L,FC,VH,Public,57.7,187,95.7,46,10.7,801,79.7,157,59.6,393,93,146,93.5,122,86,237,55.9,298,82.9,135,67.6,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.268623025,Good,Top 500,0.624505929,0.475975976
107,109,Technical University of Denmark,Denmark,Europe,M,FO,VH,Public,44.8,264,36.2,396,98.4,49,90.9,99,100,52,95.9,113,96.1,96,87.1,213,60.5,269,68,351,67.5,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.266365688,Good,Top 500,0.624505929,0.475975976
108,92,Universidade de São Paulo (USP),Brazil,Americas,XL,FC,VH,Public,97.3,40,81,102,30.5,623,40.3,467,9.2,801,3.5,801,8.5,801,95.3,76,98.8,31,89,70,67.3,143,81,59.2,33.4,50.4,49.8,46.4,48.4,44.4,1934,96000,3,1,0,1,106.7,92,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,92,0.261851016,Good,Top 500,0.252964427,0
109,107,Tohoku University,Japan,Asia,L,FC,VH,Public,84.5,82,86.5,84,98.2,52,35.5,519,20.5,705,19.4,739,25.5,678,70.1,529,36.5,474,82,149,66.7,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.248306998,Good,Top 500,0.624505929,0.475975976
110,120,Queen Mary University of London (QMUL),United Kingdom,Europe,L,FC,VH,Public,63.6,160,47.1,277,31,618,83.4,134,99.9,100,99.9,45,99.9,34,91.9,146,40.1,438,82.4,144,66.6,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.246049661,Good,Top 500,0.624505929,0.475975976
110,116,University of Wisconsin-Madison,United States of America,Americas,XL,FC,VH,Public,85.7,78,63.1,172,84.3,141,28.1,606,57.7,400,37,527,42.6,488,88.9,192,91,96,72.5,281,66.6,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.246049661,Good,Top 500,0.624505929,0.475975976
112,122,Qatar University,Qatar,Asia,M,FC,VH,Public,43.3,273,56.5,208,73.8,206,73.3,188,100,26,98.6,83,98.6,70,89.6,179,98.9,29,72.2,289,66.5,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.243792325,Good,Top 500,0.624505929,0.475975976
