Rank,Previous_Rank,Name,Country/Territory,Region,Size,Focus,Research,Status,Academic_Reputation_SCORE,Academic_Reputation_RANK,Employer_Reputation_SCORE,Employer_Reputation_RANK,Faculty_Student_Ratio_SCORE,Faculty_Student_Ratio_RANK,Citations_per_Faculty_SCORE,Citations_per_Faculty_RANK,International_Faculty_SCORE,International_Faculty_RANK,International_Student_SCORE,International_student_RANK,International_Students_Diversity_SCORE,International_Students_Diversity_RANK,International_Research_Network_SCORE,International_Research_Network_RANK,Employment_Outcomes_SCORE,Employment_Outcomes_RANK,Sustainability_SCORE,Sustainability_RANK,Overall_SCORE,the_rank_2026,arwu_rank_2025,the_score,arwu_score,the_teaching,the_research_env,the_research_quality,the_industry,the_intl_outlook,founded,Total_Students,International_Students_Percentage,nobel_laureates,fields_medalists,ranked_in_all_3,avg_rank_all3,university_age_2026,data_sources,university_type,university_age,Overall_Score_Normalized,Performance_Category,Rank_Category,the_score_Normalized,arwu_score_Normalized
134,148,Universiti Putra Malaysia (UPM),Malaysia,Asia,L,FC,VH,Public,75.7,108,73.4,133,66.8,258,38.3,487,45.2,467,98.4,84,98.5,71,86.8,221,23.2,666,68.9,331,64.1,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.189616253,Good,Top 500,0.624505929,0.475975976
134,146,Universiti Sains Malaysia (USM),Malaysia,Asia,L,FC,VH,Public,77.6,104,79.8,104,47.6,410,38.4,486,34.7,539,99.3,57,99.3,48,92.5,137,29.1,568,74.5,249,64.1,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.189616253,Good,Top 500,0.624505929,0.475975976
136,94,Universidad Nacional Autónoma de México (UNAM),Mexico,Americas,XL,FC,VH,Public,99.2,28,95.9,43,47.1,419,4.1,801,10,801,5.4,801,10.7,801,93.6,110,97.9,47,82.2,146,64,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.187358916,Good,Top 500,0.624505929,0.475975976
137,129,Newcastle University,United Kingdom,Europe,L,FC,VH,Public,62.9,162,68.7,152,49.5,388,49.1,379,92.5,205,81,220,82.8,185,95.8,65,40.5,433,90.9,56,63.9,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.18510158,Good,Top 500,0.624505929,0.475975976
138,133,Alma Mater Studiorum - University of Bologna,Italy,Europe,XL,FC,VH,Public,90.6,66,67.5,156,6,801,51.9,363,29.9,585,26.5,639,32.5,583,95.6,67,67.4,229,83.2,133,63.3,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.171557562,Good,Top 500,0.624505929,0.475975976
138,133,Macquarie University,Australia,Oceania,L,FC,VH,Public,47.7,242,56.7,206,13.6,801,85.8,119,100,86,97.3,98,97.5,86,91,156,62.2,252,90.6,59,63.3,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.171557562,Good,Top 500,0.624505929,0.475975976
140,136,Eindhoven University of Technology,Netherlands,Europe,M,FO,VH,Public,40.5,296,77.3,115,43.6,455,81.9,146,100,87,95.7,119,95.9,101,74.3,459,33.1,512,74.1,255,63.2,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.169300226,Good,Top 500,0.624505929,0.475975976
140,158,Erasmus University Rotterdam,Netherlands,Europe,L,FO,VH,Public,49.4,230,74.8,129,20.7,801,75.7,174,81.8,280,81.6,216,60.8,333,81.8,318,94,81,62.2,454,63.2,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.169300226,Good,Top 500,0.624505929,0.475975976
140,155,"University of North Carolina, Chapel Hill",United States of America,Americas,L,FC,VH,Public,72.2,127,55.5,216,85.6,129,47.9,389,31.1,577,25,663,31.1,602,89.5,181,74,188,83.9,126,63.2,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.169300226,Good,Top 500,0.624505929,0.475975976
143,200,King Saud University,Saudi Arabia,Asia,XL,FC,VH,Public,54.8,204,57.7,201,55.7,336,65.6,244,100,89,29.2,600,35.2,549,96.8,41,99.4,23,63.1,439,63.1,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.167042889,Good,Top 500,0.624505929,0.475975976
144,154,Texas A&M University,United States of America,Americas,XL,FC,VH,Public,72.9,124,81.5,101,6.2,801,75.5,175,28,608,20.7,717,15.6,801,93,124,63.8,244,61,480,63,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.164785553,Good,Top 500,0.624505929,0.475975976
145,147,Technische Universität Berlin,Germany,Europe,L,CO,VH,Public,64.6,156,79.4,107,70.6,221,34.3,533,64.2,361,84.5,197,85.9,168,89,187,47.6,367,68.3,344,62.8,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.16027088,Good,Top 500,0.624505929,0.475975976
146,125,University of Southern California,United States of America,Americas,XL,FC,VH,Private not for Profit,61.2,167,69.6,150,19.6,801,66.2,240,15.8,786,81.2,219,82.9,184,87.8,204,98,45,92.1,45,62.6,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.155756208,Good,Top 500,0.624505929,0.475975976
147,128,Stockholm University,Sweden,Europe,L,CO,VH,Public,65.1,155,29.5,484,28.3,678,73.6,186,83,271,79.4,224,59.1,346,96.7,45,90.5,102,72.1,291,62.5,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.153498871,Good,Top 500,0.624505929,0.475975976
147,159,University of Groningen,Netherlands,Europe,XL,FC,VH,Public,67.2,147,41.6,326,56.2,331,53,353,95.4,174,89.4,173,66.6,293,93.4,118,53.5,317,67.6,355,62.5,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.153498871,Good,Top 500,0.624505929,0.475975976
147,165,University of Liverpool,United Kingdom,Europe,L,FC,VH,Public,60.7,171,48.8,264,37.3,538,61.7,276,92.4,206,91.1,157,91.8,133,97,39,47.8,364,92.4,42,62.5,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.153498871,Good,Top 500,0.624505929,0.475975976
150,171,University of Cape Town,South Africa,Africa,L,FC,VH,Public,58.2,183,62.3,179,14.6,801,75.4,176,66.1,353,27.9,615,33.9,562,97.7,24,97.7,49,92.1,45,62.3,178,18,55.8,65.1,48.4,47.8,43.4,45.4,60.4,1829,29000,36,0,0,0,164,197,QS Jun-2025 | THE Oct-2025 | ARWU Aug-2025,Public,197,0.148984199,Good,Top 500,0.185770751,0.475975976
151,120,Western University,Canada,Americas,L,FC,VH,Public,42.3,282,53.5,227,5.2,801,93.5,84,100,85,68.7,283,71.7,254,83.6,282,98,42,94,30,62,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.14221219,Good,Top 500,0.624505929,0.475975976
152,137,University of Vienna,Austria,Europe,XL,FC,VH,Public,82.3,88,46.4,285,31,617,22.2,682,100,71,96.6,103,96.8,90,96.3,53,92.8,85,71.8,294,61.9,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.139954853,Good,Top 500,0.624505929,0.475975976
153,181,Universiti Teknologi Malaysia (UTM),Malaysia,Asia,L,CO,VH,Public,64,158,72.1,139,58.8,309,57.8,302,15.5,797,91.4,155,92.1,132,90.6,167,19.9,730,69.2,326,61.6,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.133182844,Good,Top 500,0.624505929,0.475975976
153,155,Wageningen University & Research,Netherlands,Europe,L,CO,VH,Public,55,203,34.4,420,99.5,37,54.8,329,72,329,90.7,159,91.5,134,97.2,34,32.9,516,91.2,53,61.6,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.133182844,Good,Top 500,0.624505929,0.475975976
155,169,University of Exeter,United Kingdom,Europe,L,FC,VH,Public,57.9,186,58.5,198,42,480,55.8,320,94.8,181,77.8,235,79.9,206,95.8,66,40.9,428,93.9,32,61.5,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.130925508,Good,Top 500,0.624505929,0.475975976
155,155,University of Geneva,Switzerland,Europe,L,FC,VH,Public,55.3,201,34.8,414,47.4,414,70.3,214,100,54,98.6,81,98.6,68,92.1,144,63.1,249,66.5,370,61.5,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.130925508,Good,Top 500,0.624505929,0.475975976
157,141,Lancaster University,United Kingdom,Europe,L,FC,VH,Public,51.2,217,45.8,296,36.1,555,77.5,166,96.4,161,93.3,141,93.8,117,87,216,38.2,452,89.2,68,61.4,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.128668172,Good,Top 500,0.624505929,0.475975976
158,131,University of Basel,Switzerland,Europe,M,FC,VH,Public,34,357,20.7,639,70.2,229,94.2,80,100,47,91.4,156,68,284,90.4,170,74.9,183,88.4,74,61.3,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.126410835,Good,Top 500,0.624505929,0.475975976
159,162,Hanyang University,Republic of Korea,Asia,L,FC,VH,Private not for Profit,58.2,184,81.9,99,81.7,159,42.9,440,23.7,664,70.1,279,73,249,65.5,615,54.5,307,82.8,137,61.2,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.124153499,Good,Top 500,0.624505929,0.475975976
160,165,University of Barcelona,Spain,Europe,XL,FC,VH,Public,84.9,81,48.9,262,19,801,47.8,391,39.9,501,40.8,484,46.2,451,96.4,50,77,170,84.7,115,61,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.119638826,Good,Top 500,0.624505929,0.475975976
161,152,Michigan State University,United States of America,Americas,XL,FC,VH,Public,67.3,146,62.9,174,13.9,801,61.2,280,67.2,348,21.1,708,27.3,649,97.6,27,75.6,180,94.2,28,60.9,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.11738149,Good,Top 500,0.624505929,0.475975976
162,169,Ghent University,Belgium,Europe,XL,FC,VH,Public,68.2,141,39.1,350,84.5,140,32.4,557,83.4,267,33.8,549,39.5,504,99.2,11,84.9,136,94,30,60.8,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.115124153,Good,Top 500,0.624505929,0.475975976
163,149,King Abdul Aziz University (KAU),Saudi Arabia,Asia,XL,FC,VH,Public,67.5,145,76.6,118,41.4,490,47.8,390,83.1,270,9.2,801,14.9,801,95,84,44.9,392,77.5,206,60.7,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.112866817,Good,Top 500,0.624505929,0.475975976
164,152,Nagoya University,Japan,Asia,L,FC,VH,Public,74.2,116,71.5,141,84.2,144,38.2,491,22.6,681,27.6,619,33.6,568,66,610,39.2,443,74.1,255,60.3,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.103837472,Good,Top 500,0.624505929,0.475975976
165,139,Chalmers University of Technology,Sweden,Europe,M,FO,VH,Private not for Profit,34.6,350,56.6,207,59.5,303,80.9,152,100,56,74.3,257,76.8,226,77,405,53.3,319,82.7,138,60.2,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.101580135,Good,Top 500,0.624505929,0.475975976
166,163,Al-Farabi Kazakh National University,Kazakhstan,Asia,L,FC,HI,Public,60.7,172,86.3,85,99.6,36,2.1,801,80.9,288,83.2,204,79.3,213,75.7,426,66.2,234,62.8,443,59.8,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.09255079,Moderate,Top 500,0.624505929,0.475975976
167,171,Washington University in St. Louis,United States of America,Americas,L,FC,VH,Private not for Profit,46.5,251,25.7,529,99.8,31,62.6,263,93.1,199,81.8,214,83.5,182,74.8,445,55.1,301,85.8,102,59.6,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.088036117,Moderate,Top 500,0.624505929,0.475975976
168,159,University of Montreal,Canada,Americas,XL,FC,VH,Public,66.1,151,44,303,79.5,171,26.3,621,91.5,214,66.4,301,69.6,271,88.7,195,65.4,239,89.9,65,59.5,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.085778781,Moderate,Top 500,0.624505929,0.475975976
169,184,University of York,United Kingdom,Europe,L,FC,VH,Public,56.8,197,42.3,317,55.8,335,53.8,344,92.4,208,75.4,253,77.8,223,96,58,41,427,93.2,34,59.4,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.083521445,Moderate,Top 500,0.624505929,0.475975976
170,173,Hokkaido University,Japan,Asia,L,FC,VH,Public,71.5,129,68.8,151,76.8,185,42.7,445,28.2,604,20.5,724,26.6,664,77.5,393,26.4,617,78.5,192,59.3,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.081264108,Moderate,Top 500,0.624505929,0.475975976
170,167,Kyushu University,Japan,Asia,L,FC,VH,Public,71.3,130,72.1,140,87.1,121,34.2,534,24.5,657,39,502,44.5,468,76.4,416,20.9,710,74.8,241,59.3,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.081264108,Moderate,Top 500,0.624505929,0.475975976
172,175,Universitat Autónoma de Barcelona,Spain,Europe,XL,FC,VH,Public,76.4,105,42.1,318,15.2,801,76.2,170,26.5,632,27.2,625,33.3,572,93.7,105,30.4,546,90.3,61,59.2,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.079006772,Moderate,Top 500,0.624505929,0.475975976
173,200,Arizona State University,United States of America,Americas,XL,CO,VH,Public,63.9,159,63.3,171,9.5,801,61.5,277,72.5,326,53.2,385,57.7,353,95.2,81,42.2,415,85.8,102,59.1,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.076749436,Moderate,Top 500,0.624505929,0.475975976
173,176,McMaster University,Canada,Americas,L,FC,VH,Public,52.5,211,43.6,307,61.8,289,56.6,311,94.6,184,66.3,302,69.6,273,84.3,270,60,271,86.6,93,59.1,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.076749436,Moderate,Top 500,0.624505929,0.475975976
173,139,Universidad de Chile,Chile,Americas,XL,FC,VH,Public,91.9,61,92,63,10.9,801,18.2,747,12.2,801,8.1,801,13.1,801,77.9,384,97.6,50,69.5,321,59.1,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.076749436,Moderate,Top 500,0.624505929,0.475975976
176,210,National Tsing Hua University,Taiwan,Asia,M,CO,VH,Public,67,148,77.1,116,34.2,574,73.5,187,26.7,630,37.3,522,40.4,501,42.1,801,25.4,633,57.8,546,59,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.074492099,Moderate,Top 500,0.624505929,0.475975976
177,202,Khalifa University of Science and Technology,United Arab Emirates,Asia,S,SP,VH,Public,34.3,356,42.8,314,83.2,152,83.9,131,100,11,83,206,82.5,186,81.1,329,12.6,801,68.1,349,58.8,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.069977427,Moderate,Top 500,0.624505929,0.475975976
177,192,Tongji University,China (Mainland),Asia,XL,FC,VH,Public,45.2,261,41.2,331,31.2,613,99.6,27,92.6,204,47.4,425,52.4,393,74.6,449,33.4,507,77.2,210,58.8,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.069977427,Moderate,Top 500,0.624505929,0.475975976
179,178,"University of California, Santa Barbara (UCSB)",United States of America,Americas,L,CO,VH,Public,65.3,154,32.4,442,9.3,801,99,38,81.3,286,27.5,620,20.6,753,75.4,434,25.6,628,65.2,393,58.7,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.06772009,Moderate,Top 500,0.624505929,0.475975976
180,227,Indian Institute of Technology Madras (IITM),India,Asia,M,CO,VH,Public,56.8,196,85.8,87,21.3,801,90.2,102,3.1,801,3.2,801,7.4,801,45.6,801,45.8,380,73,274,58.4,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.060948081,Moderate,Top 500,0.624505929,0.475975976
181,186,Cardiff University,United Kingdom,Europe,L,FC,VH,Public,60.1,175,54.4,223,48.2,403,42.2,451,87.2,243,70.1,278,73,248,93.4,120,33.5,502,88.9,71,57.8,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.047404063,Moderate,Top 500,0.624505929,0.475975976
182,196,Emory University,United States of America,Americas,L,FC,VH,Private not for Profit,34.5,353,37.7,369,92.8,88,85.7,120,70,335,49.6,411,54.3,378,85,255,42.4,413,63.5,432,57.7,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.045146727,Moderate,Top 500,0.624505929,0.475975976
183,174,Curtin University,Australia,Oceania,L,CO,VH,Public,46.3,254,39.3,348,17.7,801,89.6,104,100,57,54.3,382,58.7,348,94.2,96,37.9,459,82,149,57.6,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.042889391,Moderate,Top 500,0.624505929,0.475975976
184,161,University of Bern,Switzerland,Europe,M,FC,VH,Public,38,313,26,520,49,394,99.3,32,100,58,52.9,389,57.4,356,95.5,69,37.2,466,68.9,331,57.5,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.040632054,Moderate,Top 500,0.624505929,0.475975976
184,167,University of Wollongong,Australia,Oceania,L,FC,VH,Public,41.6,287,33.1,434,21.1,801,95.6,66,99.5,113,82.2,211,83.8,179,88.6,197,25.8,626,86.1,98,57.5,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.040632054,Moderate,Top 500,0.624505929,0.475975976
186,194,Wuhan University,China (Mainland),Asia,XL,FC,VH,Public,53.6,205,46.7,283,21.3,801,98,46,47.1,452,10.7,801,8.2,801,77.8,387,58.9,276,60.8,491,57.3,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.036117381,Moderate,Top 500,0.624505929,0.475975976
187,185,Tecnológico de Monterrey (ITESM),Mexico,Americas,XL,FC,HI,Private not for Profit,69.9,136,93.9,55,69.4,236,4.8,801,24.5,658,18.3,758,24.4,696,74.6,451,97.4,52,73.8,262,57.1,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.031602709,Moderate,Top 500,0.624505929,0.475975976
187,164,University Complutense Madrid,Spain,Europe,XL,FC,VH,Public,78.5,101,73.9,131,41.6,486,12.8,801,18.2,736,32.9,561,38.7,511,92.7,132,97.3,53,80.4,163,57.1,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.031602709,Moderate,Top 500,0.624505929,0.475975976
189,206,UNIVERSITAS INDONESIA,Indonesia,Asia,XL,FC,VH,Public,69.9,135,89.3,76,68.8,240,3.9,801,86.6,249,10.9,801,16.3,801,59.6,701,87.2,124,60.9,486,57,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.029345372,Moderate,Top 500,0.624505929,0.475975976
190,208,Ohio State University,United States of America,Americas,XL,FC,VH,Public,71.1,131,63,173,53.1,353,33.8,539,37.4,519,20.6,721,26.7,661,93.7,106,66,236,69.2,326,56.9,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.027088036,Moderate,Top 500,0.624505929,0.475975976
191,193,"Queen's University, Ontario",Canada,Americas,L,FC,VH,Public,50.9,219,75.7,123,7.9,801,56.3,315,75.6,315,35.5,536,41.2,496,79,369,92.3,87,86.6,93,56.8,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.0248307,Moderate,Top 500,0.624505929,0.475975976
191,203,Université Catholique de Louvain (UCL),Belgium,Europe,L,FC,VH,Private not for Profit,61.7,164,36,398,6.4,801,59.5,291,94.5,185,63.1,319,66.6,292,91.6,150,82,150,81.3,157,56.8,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.0248307,Moderate,Top 500,0.624505929,0.475975976
193,191,Universität Hamburg,Germany,Europe,L,FO,VH,Public,64,157,51.7,238,25.6,725,54.6,333,58.8,396,31.3,576,37.1,524,93.8,103,49.9,346,94.1,29,56.5,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.018058691,Moderate,Top 500,0.624505929,0.475975976
194,172,University of Reading,United Kingdom,Europe,L,CO,VH,Public,45.7,256,46.8,280,20.2,801,63,260,95,178,85.8,192,87,162,93.3,121,57.6,287,92.4,42,56.2,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.011286682,Moderate,Top 500,0.624505929,0.475975976
194,221,Vrije Universiteit Amsterdam,Netherlands,Europe,L,FC,VH,Public,53.3,208,28.8,489,23.3,767,80.7,154,82.9,272,57.6,358,42.9,484,90.1,173,56.4,296,68.8,338,56.2,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.011286682,Moderate,Top 500,0.624505929,0.475975976
196,181,Waseda University,Japan,Asia,XL,CO,VH,Private not for Profit,73.6,118,97.2,37,29.5,639,7.3,801,35.2,535,43.7,461,48.9,426,63.1,650,90.7,98,74.3,252,56.1,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.009029345,Moderate,Top 500,0.624505929,0.475975976
197,214,University of Otago,New Zealand,Oceania,L,FC,VH,Public,60,176,36,399,14.8,801,63.2,258,100,53,39.6,496,45,464,76.5,413,68.7,222,88.2,78,55.8,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.002257336,Moderate,Top 500,0.624505929,0.475975976
197,190,Vienna University of Technology,Austria,Europe,M,FO,VH,Public,47.6,246,56.3,211,18.5,801,71.1,207,91.8,211,95.9,114,71.3,258,71.9,502,29.1,569,59,520,55.8,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0.002257336,Moderate,Top 500,0.624505929,0.475975976
199,219,National Yang Ming Chiao Tung University,Taiwan,Asia,L,FC,VH,Public,42.1,285,68.5,153,55.4,339,71.8,202,29.1,593,31.9,569,37.7,520,54.1,782,75.8,179,74.1,255,55.7,43,18,78,65.1,74.7,78.3,74.9,66.7,69.9,1828,35279,31,28,1,0,38.1,198,QS Jun-2025 only (not in THE/ARWU combined file),Public,198,0,Moderate,Top 500,0.624505929,0.475975976
