qs_2025_rank,qs_2024_rank,qs_institution_name,qs_location,qs_location_full,qs_size,qs_academic_reputation,qs_employer_reputation,qs_faculty_student,qs_citations_per_faculty,qs_international_faculty,qs_international_students,qs_international_research_network,qs_employment_outcomes,qs_sustainability,qs_qs_overall_score,the_rank,the_name,the_scores_overall,the_scores_overall_rank,the_scores_teaching,the_scores_teaching_rank,unnamed_22,the_scores_research,the_scores_citations,the_scores_citations_rank,the_scores_industry_income,the_scores_industry_income_rank,the_scores_international_outlook,the_scores_international_outlook_rank,the_record_type,the_member_level,the_url,the_nid,the_location,the_stats_number_students,the_stats_student_staff_ratio,the_stats_pc_intl_students,the_stats_female_male_ratio,the_aliases,the_subjects_offered,the_closed,the_unaccredited,the_disabled,the_website_url,qs_rank_band,the_rank_band,qs_rank_clean,the_rank_clean,university_name,rank_difference,absolute_rank_difference,qs_rank_category,the_rank_category,ranking_comparison,academic_reputation_score,faculty_student_ratio_score,global_score
210,233,National Tsing Hua University,TW,Taiwan,M,54.8,71.2,28.0,49.6,9.5,11.1,45.0,16.3,32.1,45.1,401â€“500,National Tsing Hua University,45.4â€“49.0,4600,38.9,340,42.3,223,58.4,813,99.5,61,46.2,922,master_account,0,/world-university-rankings/national-tsing-hua-university,680,Taiwan,13979,16.2,0.12,"1 day, 18:58:00",National Tsing Hua University,"General Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Accounting & Finance,Chemistry,Psychology,Education,History, Philosophy & Theology,Computer Science,Electrical & Electronic Engineering,Biological Sciences,Communication & Media Studies,Languages, Literature & Linguistics,Agriculture & Forestry,Mechanical & Aerospace Engineering,Physics & Astronomy,Law,Medicine & Dentistry,Sociology,Civil Engineering,Business & Management,Economics & Econometrics,Other Health,Archaeology,Chemical Engineering,Mathematics & Statistics,Geography,Sport Science,Geology, Environmental, Earth & Marine Sciences",False,False,False,,210,401â€“500,210.0,161.0,National Tsing Hua University,26.0,84.5,101-500,Unknown,Unavailable,54.8,28.0,45.54
211,225,Indian Institute of Science,IN,India,S,45.7,26.3,37.9,99.9,3.7,1.5,39.1,13.1,23.7,45,201â€“250,Indian Institute of Science,55.9â€“58.6,2160,62.9,65,57.8,94,53.9,918,96.0,105,31.1,1460,master_account,0,/world-university-rankings/indian-institute-science,926,India,4495,9.6,0.01,27 : 73,Indian Institute of Science,"Chemistry,Computer Science,Biological Sciences,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Mathematics & Statistics,Chemical Engineering,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences",False,False,False,,211,201â€“250,211.0,161.0,Indian Institute of Science,26.0,84.5,101-500,Unknown,Unavailable,45.7,37.9,45.48
214,206,University of Otago,NZ,New Zealand,L,45.0,24.6,12.8,38.8,100.0,37.6,79.5,59.1,96.0,44.4,301â€“350,University of Otago,51.1â€“53.0,3290,35.6,442,35.1,347,75.8,424,68.8,459,81.8,226,master_account,0,/world-university-rankings/university-otago,682,New Zealand,19350,20.6,0.16,"2 days, 13:39:00",University of Otago,"General Engineering,Chemistry,Chemical Engineering,Other Health,Communication & Media Studies,Sport Science,History, Philosophy & Theology,Education,Biological Sciences,Psychology,Geography,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Law,Mathematics & Statistics,Economics & Econometrics,Archaeology,Medicine & Dentistry,Accounting & Finance,Physics & Astronomy,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Computer Science,Business & Management,Languages, Literature & Linguistics,Veterinary Science,Sociology",False,False,False,,214,301â€“350,214.0,161.0,University of Otago,26.0,84.5,101-500,Unknown,Unavailable,45.0,12.8,44.84
215,228,National Cheng Kung University (NCKU),TW,Taiwan,L,51.5,74.0,33.4,20.3,16.3,13.9,58.7,42.4,83.8,44.2,501â€“600,National Cheng Kung University (NCKU),41.9â€“45.3,5640,35.4,450,39.2,259,47.2,1075,100.0,18,40.8,1089,master_account,11,/world-university-rankings/national-cheng-kung-university-ncku,885,Taiwan,20971,15.9,0.11,37 : 63,National Cheng Kung University (NCKU),"Computer Science,Mechanical & Aerospace Engineering,Architecture,Other Health,Sport Science,Economics & Econometrics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,General Engineering,Physics & Astronomy,Education,History, Philosophy & Theology,Biological Sciences,Psychology,Art, Performing Arts & Design,Chemistry,Business & Management,Medicine & Dentistry,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Archaeology,Mathematics & Statistics,Law,Languages, Literature & Linguistics,Civil Engineering,Chemical Engineering,Accounting & Finance",False,False,False,,215,501â€“600,215.0,161.0,National Cheng Kung University (NCKU),26.0,84.5,101-500,Unknown,Unavailable,51.5,33.4,44.7
215,168,University of Florida,US,United States,XL,46.7,42.3,62.9,32.1,17.8,10.3,98.3,44.5,60.6,44.2,132,University of Florida,63.7,1320,55.5,93,56.7,103,78.3,357,88.9,174,50.9,774,public,0,/world-university-rankings/university-florida,590,United States,48114,16.7,0.09,"2 days, 8:44:00",University of Florida,"Mechanical & Aerospace Engineering,Communication & Media Studies,Economics & Econometrics,Medicine & Dentistry,Veterinary Science,Sociology,Other Health,Biological Sciences,Psychology,Computer Science,Mathematics & Statistics,Education,Languages, Literature & Linguistics,General Engineering,Chemistry,Electrical & Electronic Engineering,Physics & Astronomy,Law,Art, Performing Arts & Design,Chemical Engineering,Geography,Architecture,Agriculture & Forestry,Business & Management,History, Philosophy & Theology,Sport Science,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Civil Engineering,Politics & International Studies (incl Development Studies)",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-25479123,215,132,215.0,132.0,University of Florida,-83.0,83.0,101-500,101-500,THE Higher,46.7,62.9,44.64
217,242,La Trobe University,AU,Australia,L,23.6,19.8,8.0,77.7,92.6,95.0,78.6,19.6,78.4,44.1,251â€“300,La Trobe University,53.1â€“55.8,2710,28.9,750,35.4,339,88.1,153,73.8,352,88.2,149,master_account,0,/world-university-rankings/la-trobe-university,835,Australia,19172,28.2,0.29,"2 days, 15:37:00",La Trobe University,"Politics & International Studies (incl Development Studies),Economics & Econometrics,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Education,General Engineering,Chemistry,Veterinary Science,Other Health,Biological Sciences,Law,Computer Science,Mathematics & Statistics,Accounting & Finance,History, Philosophy & Theology,Physics & Astronomy,Business & Management,Archaeology,Sport Science,Psychology,Electrical & Electronic Engineering,Sociology,Languages, Literature & Linguistics,Communication & Media Studies,Medicine & Dentistry,Agriculture & Forestry",False,False,False,https://www.timeshighereducation.com/student/register-interest/aecc?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-05999552,217,251â€“300,217.0,161.0,La Trobe University,26.0,84.5,101-500,Unknown,Unavailable,23.6,8.0,44.6
218,169,"University of Maryland, College Park",US,United States,XL,48.6,29.4,32.5,55.0,20.9,16.2,92.3,41.2,54.4,44,114,"University of Maryland, College Park",65.7,1140,49.4,138,58.1,93,92.8,79,70.2,430,48.6,846,public,0,/world-university-rankings/university-maryland-college-park,559,United States,33988,17.0,0.09,"2 days, 1:51:00","University of Maryland, College Park","Chemical Engineering,General Engineering,Education,Geography,Communication & Media Studies,History, Philosophy & Theology,Economics & Econometrics,Art, Performing Arts & Design,Computer Science,Civil Engineering,Other Health,Mathematics & Statistics,Languages, Literature & Linguistics,Chemistry,Mechanical & Aerospace Engineering,Archaeology,Sport Science,Politics & International Studies (incl Development Studies),Sociology,Accounting & Finance,Business & Management,Agriculture & Forestry,Physics & Astronomy,Electrical & Electronic Engineering,Architecture,Veterinary Science,Geology, Environmental, Earth & Marine Sciences,Biological Sciences",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-76110123,218,114,218.0,114.0,"University of Maryland, College Park",-104.0,104.0,101-500,101-500,THE Higher,48.6,32.5,44.49
219,217,National Yang Ming Chiao Tung University,TW,Taiwan,L,32.9,62.7,51.1,52.7,19.6,19.2,53.7,58.3,38.8,43.9,401â€“500,National Yang Ming Chiao Tung University,45.4â€“49.0,4610,44.0,219,44.3,197,52.9,944,99.9,34,41.4,1069,master_account,0,/world-university-rankings/national-yang-ming-chiao-tung-university-0,709466,Taiwan,16944,14.6,0.09,36 : 64,National Yang Ming Chiao Tung University,"Languages, Literature & Linguistics,Biological Sciences,Art, Performing Arts & Design,Education,Economics & Econometrics,Communication & Media Studies,Mathematics & Statistics,Architecture,History, Philosophy & Theology,Law,Other Health,General Engineering,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Psychology,Medicine & Dentistry,Chemistry,Business & Management,Electrical & Electronic Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Accounting & Finance,Computer Science,Politics & International Studies (incl Development Studies),Physics & Astronomy,Sociology",False,False,False,,219,401â€“500,219.0,161.0,National Yang Ming Chiao Tung University,26.0,84.5,101-500,Unknown,Unavailable,32.9,51.1,44.4
221,207,Vrije Universiteit Amsterdam,NL,Netherlands,XL,39.4,17.8,21.3,63.7,67.3,47.4,89.0,45.1,50.8,43.8,125,Vrije Universiteit Amsterdam,64.7,1250,40.4,297,51.0,137,93.4,68,91.5,151,84.3,197,master_account,0,/world-university-rankings/vrije-universiteit-amsterdam,625,Netherlands,31704,19.2,0.18,"2 days, 9:43:00",Vrije Universiteit Amsterdam,"Sport Science,Psychology,Sociology,Medicine & Dentistry,Architecture,Politics & International Studies (incl Development Studies),Chemistry,Languages, Literature & Linguistics,Other Health,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Biological Sciences,Computer Science,Communication & Media Studies,Law,Agriculture & Forestry,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Education,Economics & Econometrics,Geography,Physics & Astronomy,Business & Management,Archaeology,Mathematics & Statistics",False,False,False,,221,125,221.0,125.0,Vrije Universiteit Amsterdam,-96.0,96.0,101-500,101-500,THE Higher,39.4,21.3,44.34
224,212,Loughborough University,UK,United Kingdom,L,29.7,55.3,23.8,32.4,87.1,68.6,87.1,23.2,93.8,43.6,251â€“300,Loughborough University,53.1â€“55.8,2740,36.5,412,34.4,368,77.4,383,70.2,429,91.5,108,master_account,0,/world-university-rankings/loughborough-university,837,United Kingdom,16110,13.9,0.25,40 : 60,Loughborough University,"Law,General Engineering,Other Health,Civil Engineering,Psychology,Physics & Astronomy,Education,Economics & Econometrics,Sport Science,Biological Sciences,Languages, Literature & Linguistics,Geography,Politics & International Studies (incl Development Studies),Architecture,Mechanical & Aerospace Engineering,Business & Management,Chemistry,Accounting & Finance,Sociology,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Chemical Engineering,Electrical & Electronic Engineering,History, Philosophy & Theology,Mathematics & Statistics,Communication & Media Studies,Computer Science",False,False,False,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-89667825,224,251â€“300,224.0,161.0,Loughborough University,26.0,84.5,101-500,Unknown,Unavailable,29.7,23.8,44.05
224,220,University of Lausanne,CH,Switzerland,L,28.4,18.8,36.8,61.0,100.0,54.2,79.8,51.8,51.2,43.6,143,University of Lausanne,62.7,1430,41.7,268,46.3,175,87.3,166,99.5,59,90.4,125,master_account,0,/world-university-rankings/university-lausanne,580,Switzerland,14478,10.5,0.23,,University of Lausanne,"Geography,Biological Sciences,Communication & Media Studies,Sociology,Languages, Literature & Linguistics,Psychology,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Archaeology,Law,Economics & Econometrics,Other Health,Business & Management,Education,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Sport Science,Computer Science",False,False,False,,224,143,224.0,143.0,University of Lausanne,-81.0,81.0,101-500,101-500,THE Higher,28.4,36.8,44.07
229,211,Chulalongkorn University,TH,Thailand,XL,68.2,35.9,31.7,7.5,18.7,3.0,79.6,93.6,73.2,43.4,601â€“800,Chulalongkorn University,37.0â€“41.8,6340,36.7,402,32.2,414,50.2,1017,76.6,307,44.1,985,master_account,6,/world-university-rankings/chulalongkorn-university,942,Thailand,34552,12.7,0.03,"2 days, 8:44:00",Chulalongkorn University Chula Chulalongkorn,"History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Communication & Media Studies,Archaeology,Physics & Astronomy,Biological Sciences,Electrical & Electronic Engineering,Sociology,Computer Science,Veterinary Science,Psychology,Languages, Literature & Linguistics,Chemical Engineering,General Engineering,Chemistry,Law,Accounting & Finance,Mechanical & Aerospace Engineering,Civil Engineering,Art, Performing Arts & Design,Education,Agriculture & Forestry,Business & Management,Architecture,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Economics & Econometrics,Medicine & Dentistry,Sport Science,Other Health,Geography",False,False,False,,229,601â€“800,229.0,161.0,Chulalongkorn University,26.0,84.5,101-500,Unknown,Unavailable,68.2,31.7,43.92
230,256,Maastricht University,NL,Netherlands,L,23.0,27.8,13.2,62.8,99.4,100.0,80.5,38.2,52.5,43,138,Maastricht University,62.9,1390,41.4,271,47.1,166,86.1,190,98.1,88,97.4,18,master_account,0,/world-university-rankings/maastricht-university,663,Netherlands,21337,19.6,0.57,"2 days, 12:40:00",Maastricht University,"Education,Biological Sciences,Computer Science,Chemical Engineering,Medicine & Dentistry,Communication & Media Studies,Law,Languages, Literature & Linguistics,Economics & Econometrics,Other Health,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Sociology,Business & Management,Sport Science,Psychology,Accounting & Finance,Chemistry,Mathematics & Statistics,General Engineering,History, Philosophy & Theology",False,False,False,,230,138,230.0,138.0,Maastricht University,-92.0,92.0,101-500,101-500,THE Higher,23.0,13.2,43.48
230,189,Universite libre de Bruxelles,BE,Belgium,XL,33.3,34.5,3.0,49.9,98.7,84.4,87.5,65.5,25.2,43,201â€“250,UniversitÃ© Libre de Bruxelles,55.9â€“58.6,2210,35.8,437,45.0,188,83.5,247,76.4,312,89.6,131,master_account,0,/world-university-rankings/universite-libre-de-bruxelles,669,Belgium,30287,51.7,0.3,"2 days, 10:42:00",UniversitÃ© Libre de Bruxelles,"Art, Performing Arts & Design,Electrical & Electronic Engineering,Physics & Astronomy,Other Health,Communication & Media Studies,General Engineering,Chemistry,Business & Management,Computer Science,Agriculture & Forestry,Sociology,History, Philosophy & Theology,Civil Engineering,Sport Science,Psychology,Languages, Literature & Linguistics,Mathematics & Statistics,Education,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Archaeology,Chemical Engineering,Geography,Economics & Econometrics,Medicine & Dentistry,Veterinary Science,Law,Architecture,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance",False,False,False,,230,201â€“250,230.0,161.0,Universite libre de Bruxelles,26.0,84.5,101-500,Unknown,Unavailable,33.3,3.0,43.51
233,210,University of Twente,NL,Netherlands,M,20.7,32.0,43.3,61.3,100.0,90.4,87.6,20.0,13.8,42.7,184,University of Twente,59.7,1840,43.4,236,46.0,179,75.1,438,99.6,55,93.3,79,master_account,0,/world-university-rankings/university-twente,664,Netherlands,9964,13.9,0.38,37 : 63,University of Twente,"Law,Chemical Engineering,Sport Science,Computer Science,Biological Sciences,History, Philosophy & Theology,Sociology,Business & Management,Mathematics & Statistics,Civil Engineering,Psychology,Accounting & Finance,Physics & Astronomy,Economics & Econometrics,Politics & International Studies (incl Development Studies),General Engineering,Mechanical & Aerospace Engineering,Other Health,Geography,Agriculture & Forestry,Electrical & Electronic Engineering,Communication & Media Studies,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Chemistry,Education",False,False,False,,233,184,233.0,184.0,University of Twente,-49.0,49.0,101-500,101-500,THE Higher,20.7,43.3,43.19
235,250,University of Waikato,NZ,New Zealand,M,19.1,11.7,12.4,84.7,99.0,56.9,55.1,46.4,89.5,42.5,401â€“500,University of Waikato,45.4â€“49.0,5000,26.1,931,31.0,444,74.3,459,72.4,377,89.8,130,master_account,0,/world-university-rankings/university-waikato,812,New Zealand,10538,20.7,0.26,"2 days, 13:39:00",University of Waikato UoW,"Languages, Literature & Linguistics,Physics & Astronomy,Psychology,History, Philosophy & Theology,Sport Science,Economics & Econometrics,Agriculture & Forestry,Geography,Other Health,Biological Sciences,Education,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),General Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Electrical & Electronic Engineering,Communication & Media Studies,Civil Engineering,Chemistry,Accounting & Finance,Computer Science,Mathematics & Statistics,Law,Art, Performing Arts & Design,Chemical Engineering,Sociology",False,False,False,https://www.timeshighereducation.com/student/register-interest/aecc?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-22862122,235,401â€“500,235.0,161.0,University of Waikato,26.0,84.5,101-500,Unknown,Unavailable,19.1,12.4,43.01
236,208,University of Aberdeen,UK,United Kingdom,L,30.5,28.8,32.7,32.0,94.5,92.6,88.5,22.2,96.5,42.3,201â€“250,University of Aberdeen,55.9â€“58.6,2040,36.4,414,35.8,328,81.8,286,78.9,277,97.5,12,master_account,0,/world-university-rankings/university-aberdeen,615,United Kingdom,12755,15.3,0.4,"2 days, 10:42:00",University of Aberdeen,"Education,History, Philosophy & Theology,Physics & Astronomy,Mathematics & Statistics,Geography,Art, Performing Arts & Design,Business & Management,Medicine & Dentistry,Sport Science,Other Health,Chemical Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Computer Science,Chemistry,Accounting & Finance,Biological Sciences,Law,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,General Engineering,Economics & Econometrics,Sociology,Electrical & Electronic Engineering,Archaeology,Civil Engineering,Psychology",False,False,False,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-57429768,236,201â€“250,236.0,161.0,University of Aberdeen,26.0,84.5,101-500,Unknown,Unavailable,30.5,32.7,42.86
236,224,University of Rochester,US,United States,M,22.6,20.8,99.1,33.6,63.9,93.8,64.3,40.4,63.7,42.3,133,University of Rochester,63.6,1330,50.8,128,42.9,211,88.3,150,89.0,173,81.7,229,private,0,/world-university-rankings/university-rochester,545,United States,9855,7.3,0.34,"2 days, 2:50:00",University of Rochester,"Mechanical & Aerospace Engineering,Biological Sciences,Education,Medicine & Dentistry,History, Philosophy & Theology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Chemistry,Communication & Media Studies,Mathematics & Statistics,Chemical Engineering,Sociology,Psychology,Accounting & Finance,Electrical & Electronic Engineering,Business & Management,Languages, Literature & Linguistics,Other Health,Art, Performing Arts & Design,Archaeology,Politics & International Studies (incl Development Studies),Computer Science,Physics & Astronomy,Economics & Econometrics",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-49369082,236,133,236.0,133.0,University of Rochester,-103.0,103.0,101-500,101-500,THE Higher,22.6,99.1,42.84
239,239,Massey University,NZ,New Zealand,M,30.1,14.0,48.0,27.4,98.5,95.2,85.1,49.2,91.4,41.8,501â€“600,Massey University,41.9â€“45.3,5580,28.7,756,28.2,512,60.5,767,77.6,293,87.5,157,master_account,0,/world-university-rankings/massey-university,839,New Zealand,17883,17.4,0.27,"2 days, 16:36:00",Massey University,"Sport Science,Other Health,Architecture,Chemistry,Mechanical & Aerospace Engineering,Veterinary Science,Mathematics & Statistics,Economics & Econometrics,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Art, Performing Arts & Design,Biological Sciences,Business & Management,History, Philosophy & Theology,Civil Engineering,Chemical Engineering,Agriculture & Forestry,Computer Science,General Engineering,Politics & International Studies (incl Development Studies),Geography,Archaeology,Sociology,Accounting & Finance,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Education,Psychology,Communication & Media Studies",False,False,False,https://www.timeshighereducation.com/student/register-interest/aecc?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-92906672,239,501â€“600,239.0,161.0,Massey University,26.0,84.5,101-500,Unknown,Unavailable,30.1,48.0,42.38
241,246,Technical University of Darmstadt,DE,Germany,L,20.0,35.9,6.7,70.0,60.3,81.4,65.9,44.4,71.8,41.7,251â€“300,Technical University of Darmstadt,53.1â€“55.8,2980,42.4,256,48.1,158,62.6,718,99.8,44,65.4,476,master_account,0,/world-university-rankings/technical-university-darmstadt,745,Germany,15882,37.0,0.19,33 : 67,Technical University of Darmstadt Technical University of Darmstadt,"General Engineering,Computer Science,Chemistry,Other Health,Physics & Astronomy,Education,Biological Sciences,Psychology,Electrical & Electronic Engineering,Sociology,Architecture,Civil Engineering,Economics & Econometrics,History, Philosophy & Theology,Chemical Engineering,Languages, Literature & Linguistics,Mathematics & Statistics,Business & Management,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Sport Science,Politics & International Studies (incl Development Studies)",False,False,False,,241,251â€“300,241.0,161.0,Technical University of Darmstadt,26.0,84.5,101-500,Unknown,Unavailable,20.0,6.7,42.24
243,237,Dartmouth College,US,United States,M,22.8,31.0,65.8,60.6,9.2,40.9,42.5,68.8,71.2,41.3,161,Dartmouth College,61.4,1620,57.3,87,40.7,239,84.7,218,68.4,468,60.2,580,private,0,/world-university-rankings/dartmouth-college,554,United States,6226,7.4,0.16,"2 days, 1:51:00",Dartmouth College,"General Engineering,Geography,History, Philosophy & Theology,Mathematics & Statistics,Business & Management,Art, Performing Arts & Design,Chemical Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Agriculture & Forestry,Sociology,Mechanical & Aerospace Engineering,Communication & Media Studies,Medicine & Dentistry,Civil Engineering,Psychology,Computer Science,Geology, Environmental, Earth & Marine Sciences,Other Health,Chemistry,Economics & Econometrics,Archaeology,Biological Sciences,Electrical & Electronic Engineering,Physics & Astronomy",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-46262331,243,161,243.0,161.0,Dartmouth College,-82.0,82.0,101-500,101-500,THE Higher,22.8,65.8,41.82
244,241,Victoria University of Wellington,NZ,New Zealand,L,42.8,21.4,10.1,32.1,100.0,31.0,70.7,71.6,91.4,41.2,401â€“500,Victoria University of Wellington,45.4â€“49.0,4980,28.6,769,34.1,377,69.4,570,58.4,669,80.3,252,master_account,0,/world-university-rankings/victoria-university-wellington,736,New Zealand,18231,19.4,0.17,"2 days, 10:42:00",Victoria University of Wellington,"Architecture,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Psychology,Biological Sciences,Law,Art, Performing Arts & Design,Chemistry,Accounting & Finance,Physics & Astronomy,Education,Electrical & Electronic Engineering,Geography,Other Health,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Languages, Literature & Linguistics,Mathematics & Statistics,Business & Management,Computer Science,Sociology",False,False,False,https://www.timeshighereducation.com/student/register-interest/aecc?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-06549291,244,401â€“500,244.0,161.0,Victoria University of Wellington,26.0,84.5,101-500,Unknown,Unavailable,42.8,10.1,41.72
245,254,University of Macau,MO,Macau SAR,L,11.9,10.5,9.8,99.1,100.0,99.9,57.0,50.3,7.7,41.1,193,University of Macau,59,1940,38.4,351,38.1,285,90.3,121,61.9,614,93.7,68,master_account,11,/world-university-rankings/university-macau,1027,Macao,10908,18.6,0.41,"2 days, 6:46:00",University of Macau,"Sport Science,Law,General Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Physics & Astronomy,Biological Sciences,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Sociology,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Psychology,Languages, Literature & Linguistics,Civil Engineering,Communication & Media Studies,Economics & Econometrics,Art, Performing Arts & Design,Mathematics & Statistics,Accounting & Finance,Computer Science,Chemistry,Business & Management,Medicine & Dentistry,Education",False,False,False,,245,193,245.0,193.0,University of Macau,-52.0,52.0,101-500,101-500,THE Higher,11.9,9.8,41.69
246,248,Charles University,CZ,Czech Republic,XL,45.6,49.1,32.2,8.0,25.0,50.5,96.3,65.5,77.4,41,401â€“500,Charles University,45.4â€“49.0,4170,38.8,341,33.1,399,61.9,738,60.1,643,64.7,490,master_account,0,/world-university-rankings/charles-university,799,Czech Republic,51728,13.4,0.23,"2 days, 14:38:00",Charles University,"Politics & International Studies (incl Development Studies),Archaeology,Physics & Astronomy,Accounting & Finance,Psychology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Geography,Languages, Literature & Linguistics,Education,Art, Performing Arts & Design,Mathematics & Statistics,Biological Sciences,Business & Management,Medicine & Dentistry,Economics & Econometrics,Chemistry,Law,Sociology,Other Health,History, Philosophy & Theology,Communication & Media Studies,Sport Science",False,False,False,,246,401â€“500,246.0,161.0,Charles University,26.0,84.5,101-500,Unknown,Unavailable,45.6,32.2,41.6
246,218,University of Sussex,UK,United Kingdom,L,22.6,10.4,15.5,56.8,99.6,84.9,84.7,39.9,97.7,41,201â€“250,University of Sussex,55.9â€“58.6,2410,29.7,712,35.6,333,92.7,83,66.1,526,95.4,43,master_account,0,/world-university-rankings/university-sussex,563,United Kingdom,17640,17.3,0.34,"2 days, 7:45:00",University of Sussex,"Sociology,Mechanical & Aerospace Engineering,Education,Computer Science,Accounting & Finance,General Engineering,Law,Geography,Biological Sciences,Medicine & Dentistry,Chemistry,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Business & Management,Mathematics & Statistics,Electrical & Electronic Engineering,Psychology,Economics & Econometrics,History, Philosophy & Theology,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Languages, Literature & Linguistics,Other Health",False,False,False,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-64911343,246,201â€“250,246.0,161.0,University of Sussex,26.0,84.5,101-500,Unknown,Unavailable,22.6,15.5,41.59
248,261,Vanderbilt University,US,United States,L,24.4,21.8,100.0,53.0,30.1,36.0,78.6,34.7,24.5,40.8,92,Vanderbilt University,67.4,930,54.1,104,48.5,153,96.0,37,96.5,99,62.9,521,private,0,/world-university-rankings/vanderbilt-university,534,United States,12971,3.9,0.17,"2 days, 7:45:00",Vanderbilt University,"Physics & Astronomy,Mechanical & Aerospace Engineering,General Engineering,Sociology,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Psychology,Other Health,Economics & Econometrics,Chemistry,Mathematics & Statistics,Accounting & Finance,Communication & Media Studies,Business & Management,Civil Engineering,Medicine & Dentistry,Art, Performing Arts & Design,Geography,Politics & International Studies (incl Development Studies),Biological Sciences,Archaeology,Electrical & Electronic Engineering,Law,Education,Chemical Engineering,Languages, Literature & Linguistics",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-72359222,248,92,248.0,92.0,Vanderbilt University,-156.0,156.0,101-500,51-100,THE Higher,24.4,100.0,41.38
